IBUName,Skier,ID,Nation,StartOrder,Bib,Is_Host_Nation,In_Startlist,Elo,Individual_Elo,Sprint_Elo,Pursuit_Elo,MassStart_Elo,Race_Elo,Race1_Prob,City,Country,Race_Type,Race_Date
MENGIN Amandine,Amandine Mengin,2916,FRA,25,25,False,True,1346.3302687496184,1330.380593480464,1344.2256848662266,1274.1516909892562,1328.6505080042211,1274.1516909892562,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
DMYTRENKO Khrystyna,Khrystyna Dmytrenko,1589,UKR,52,52,False,True,1409.6902802910838,1478.1540414206945,1384.371780202439,1273.9274181404166,1265.5932105441786,1273.9274181404166,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
ZUK Kamila,Kamila Zuk,1554,POL,12,12,False,True,1455.557005415409,1255.8236608316208,1469.206777676011,1270.070535935346,1259.421741484068,1270.070535935346,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
METTLER Lydia,Lydia Mettler,2952,SUI,39,39,False,True,1246.945069563476,1212.0994805088255,1262.7789613259783,1269.0599079803274,1286.4206008706692,1269.0599079803274,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
FICHTNER Marlene,Marlene Fichtner,2697,GER,41,41,False,True,1457.5533345000326,1397.5525427121856,1389.5853696122576,1268.100539661427,1311.4874609506094,1268.100539661427,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
KAPUSTOVA Ema,Ema Kapustova,2575,SVK,51,51,False,True,1385.6979725428296,1362.501883903594,1324.870999100172,1267.3353977186205,1284.082792975689,1267.3353977186205,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
AUCHENTALLER Hannah,Hannah Auchentaller,2552,ITA,45,45,False,True,1472.5939977522432,1439.1373129887954,1420.7077126674374,1261.9631352517858,1295.8222608031906,1261.9631352517858,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
DIMITROVA Valentina,Valentina Dimitrova,2573,BUL,50,50,False,True,1239.281897201049,1255.83677754416,1239.8675686015647,1256.0571971804318,1298.9973407372584,1256.0571971804318,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
HRISTOVA Lora,Lora Hristova,2569,BUL,53,53,False,True,1481.7442404837457,1497.0360913622485,1407.8560738585277,1255.5477841929137,1277.0120022228775,1255.5477841929137,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
IRWIN Deedra,Deedra Irwin,2437,USA,27,27,False,True,1475.6677801884384,1420.3637442369488,1461.8221266777166,1244.1446496456483,1289.7070684178543,1244.1446496456483,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
KINK Julia,Julia Kink,2917,GER,38,38,False,True,1339.1359113724982,1244.5813961918034,1381.681161934417,1243.6591253676534,1304.274769295362,1243.6591253676534,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
VINKLARKOVA Tereza,Tereza Vinklarkova,1782,CZE,44,44,False,True,1297.1544747327962,1356.6764462978158,1211.8748608080127,1236.951409149266,1285.5713855454717,1236.951409149266,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
MERKUSHYNA Oleksandra,Oleksandra Merkushyna,2819,UKR,14,14,False,True,1348.3090521655758,1326.905041487995,1331.9852272699627,1236.0340058967274,1301.2380160844875,1236.0340058967274,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
PARADIS Pascale,Pascale Paradis,2454,CAN,59,59,False,True,1258.3089514182195,1211.603128899868,1278.235623901055,1223.412772955595,1291.1911044566896,1223.412772955595,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
LEVINS Chloe,Chloe Levins,1602,USA,48,48,False,True,1233.6046901225425,1207.3321618952316,1245.604728988664,1216.490733137461,1301.3811279968322,1216.490733137461,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
CHARVATOVA Lucie,Lucie Charvatova,1083,CZE,20,20,False,True,1420.3447705024596,1367.400786344553,1439.6461423260348,1205.5726801126716,1239.6425227865116,1205.5726801126716,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
MAKA Anna,Anna Maka,941,POL,43,43,False,True,1353.595459606804,1369.3054827204317,1314.0683094220165,1204.3656907748907,1288.6042327037003,1204.3656907748907,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
MOSER Nadia,Nadia Moser,1786,CAN,54,54,False,True,1357.061936602032,1292.2675144904451,1382.1687679764495,1202.5273346760946,1288.2101582455625,1202.5273346760946,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
REPINC Lena,Lena Repinc,2555,SLO,17,17,False,True,1396.112199143227,1318.338563146414,1423.0130091677745,1196.732253253989,1300.0,1196.732253253989,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
