"IBUName","Skier","ID","Nation","StartOrder","Bib","Is_Host_Nation","In_Startlist","Elo","Individual_Elo","Sprint_Elo","Pursuit_Elo","MassStart_Elo","Race_Elo","Race1_Prob","City","Country","Race_Type","Race_Date","Sex","Race2_Prob"
"STEFANSSON Malte","Malte Stefansson",4445,"SWE",62,62,"False","True",1353.55470078884,1330.59151388597,1393.57429477485,1202.85282359469,1286.75646930608,1330.59151388597,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"HARJULA Tuomas","Tuomas Harjula",1768,"FIN",10,10,"False","True",1444.20035602528,1321.60251198485,1453.2090994084,1226.83203795674,1306.11435211322,1321.60251198485,1,"Mesto","Czechia","Individual","01/22/2026","M",0.04
"HEIKKINEN Arttu","Arttu Heikkinen",4789,"FIN",72,72,"False","True",1246.85524018458,1315.26629807934,1240.19522231983,1273.92162087384,1289.40736316672,1315.26629807934,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"LESIUK Taras","Taras Lesiuk",1520,"UKR",76,76,"False","True",1267.36655854692,1309.30223059974,1260.27553837354,1227.71284876292,1288.18038674743,1309.30223059974,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"CIGAK Nikita","Nikita Cigak",4951,"LTU",84,84,"False","True",1206.14710907646,1296.54810311388,1191.62475552152,1294.4274716829,1300.00866885712,1296.54810311388,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"ADAMOV Simon","Simon Adamov",5238,"SVK",55,55,"False","True",1214.75088029694,1291.57727112662,1205.97023269196,1292.80518488214,1300,1291.57727112662,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"KARLIK Mikulas","Mikulas Karlik",3124,"CZE",21,21,"False","True",1355.62061856923,1290.1630726871,1351.63485504847,1235.45757783468,1274.36099873744,1290.1630726871,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"SLETTEMARK Sondre","Sondre Slettemark",4691,"GRL",14,14,"False","True",1229.68966528065,1287.19910138306,1218.70337301878,1283.49950546226,1288.31856719389,1287.19910138306,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"JAKOB Patrick","Patrick Jakob",1395,"AUT",51,51,"False","True",1191.90160465966,1286.61025453225,1147.96856734404,1266.28949683771,1279.40900331838,1286.61025453225,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"STROLIA Vytautas","Vytautas Strolia",1164,"LTU",18,18,"False","True",1483.15055633612,1284.94566926403,1454.95953806277,1320.38137362496,1250.19399075718,1284.94566926403,1,"Mesto","Czechia","Individual","01/22/2026","M",0.32
"KIREYEV Vladislav","Vladislav Kireyev",3528,"KAZ",17,17,"False","True",1372.32699016059,1281.40926348189,1324.00805248798,1266.49547456066,1263.01502046321,1281.40926348189,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"BRANDT Viktor","Victor Brandt",3526,"SWE",1,1,"False","True",1508.52942009108,1269.97864774137,1494.11465168312,1303.76486562358,1292.74615387343,1269.97864774137,1,"Mesto","Czechia","Individual","01/22/2026","M",0.0714285714285714
"GERMAIN Maxime","Maxime Germain",4448,"USA",31,31,"False","True",1350.01112989834,1267.02719969367,1333.87464546053,1284.27900566012,1288.11252923304,1267.02719969367,1,"Mesto","Czechia","Individual","01/22/2026","M",0.0476190476190476
"FINELLO Jeremy","Jeremy Finello",1200,"SUI",58,58,"False","True",1268.68714869728,1264.20035280105,1273.86530595772,1282.2921350649,1279.49336846733,1264.20035280105,1,"Mesto","Czechia","Individual","01/22/2026","M",0.08
"MANDZYN Vitalii","Vitalii Mandzyn",4760,"UKR",16,16,"False","True",1537.75477860074,1264.0536549187,1506.09724762392,1345.94043034229,1269.05375537059,1264.0536549187,1,"Mesto","Czechia","Individual","01/22/2026","M",0.235294117647059
"UDAM Mehis","Mehis Udam",4846,"EST",86,86,"False","True",1183.23381791355,1259.82190446247,1178.42667623585,1262.3462087286,1295.10105661499,1259.82190446247,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"WESTERVELT Bjorn","Bjorn Westervelt",4562,"USA",69,69,"False","True",1167.33644392805,1247.56387948371,1228.56879525275,1265.01807118673,1259.77962905044,1247.56387948371,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"COLTEA George","George Coltea",3484,"ROU",67,67,"False","True",1229.52334528732,1246.05832486678,1233.75532207542,1212.18633389862,1298.31962612163,1246.05832486678,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"MAKAROV Maksim","Maksim Makarov",4841,"MDA",64,64,"False","True",1142.19607047901,1244.81869550898,1135.74815420845,1272.03901412636,1293.04087916481,1244.81869550898,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"KLEMETTINEN Jimi","Jimi Klemettinen",5123,"FIN",63,63,"False","True",1285.45737835614,1244.50886749866,1276.04276976494,1292.8043198344,1299.10105661499,1244.50886749866,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"RIEBLI Matthias","Matthias Riebli",5241,"SUI",74,74,"False","True",1269.85699993505,1242.50275065628,1268.06368036677,1299.38053134499,1300,1242.50275065628,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"USOV Mihail","Mihail Usov",4419,"MDA",81,81,"False","True",1063.6528060954,1233.758090044,1043.79728533743,1227.15409725454,1293.12569158153,1233.758090044,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"NEVEROV Yaroslav","Yaroslav Neverov",5107,"EST",96,96,"False","True",1218.37409559605,1233.64379931641,1239.39061761287,1293.27705206251,1270.65333824023,1233.64379931641,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"ISKHAKOV Artur","Artur Iskhakov",5386,"SVK",82,82,"False","True",1141.09702877774,1230.33702162152,1155.34035100904,1281.96563125583,1297.15326259332,1230.33702162152,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"DUDCHENKO Anton","Anton Dudchenko",1691,"UKR",37,37,"False","True",1286.60155800656,1225.13887280212,1322.95434144457,1264.41993735566,1287.70479942373,1225.13887280212,1,"Mesto","Czechia","Individual","01/22/2026","M",0.2
