IBUName,Skier,ID,Nation,StartOrder,Bib,Is_Host_Nation,In_Startlist,Elo,Individual_Elo,Sprint_Elo,Pursuit_Elo,MassStart_Elo,Race_Elo,Race1_Prob,City,Country,Race_Type,Race_Date
Emile Perrillat-Bottonet,Emile Perrillat-Bottonet,5467,France,999,999,False,False,1294.4240611881446,1297.4898237678758,1297.9071472655553,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Anton Modigs,Anton Modigs,5142,Sweden,999,999,False,False,1289.8239930917343,1301.7378200298822,1292.9406969684746,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Topias Ollikka,Topias Ollikka,5473,Finland,999,999,True,False,1285.3423320647987,1299.2175293620537,1292.1057742399396,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Dragos Barbieru,Dragos Barbieru,5080,Romania,999,999,False,False,1179.7010152739758,1245.9445747745576,1216.4170781906432,1300.0,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Tore Sandegard,Tore Sandegard,5505,Sweden,999,999,False,False,1289.8024504891396,1302.439422110855,1294.6972214678092,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Joel Seppälä,Joel Seppälä,5506,Finland,999,999,True,False,1268.8492661935816,1296.0740265007116,1281.030156807784,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Isak Falk,Isak Falk,5461,Sweden,999,999,False,False,1259.90138489994,1290.2273546608874,1277.283820763908,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Oskar Jansson,Oskar Jansson,5159,Sweden,999,999,False,False,1268.847760273129,1297.7661464572811,1285.2294425827024,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Andreas Braunhofer,Andreas Braunhofer,5466,Italy,999,999,False,False,1294.4240611881446,1297.4898237678758,1297.9071472655553,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Elmer Nordlander,Elmer Nordlander,5499,Sweden,999,999,False,False,1291.9521805992729,1299.9150536312366,1292.6322142139518,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Oskar Bergman,Oskar Bergman,5496,Sweden,999,999,False,False,1286.4921043958425,1293.5588925712707,1289.3524198636865,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Andrey Nochev,Andrey Nochev,5479,Bulgaria,999,999,False,False,1272.9769200971116,1295.0347960038307,1281.978329124536,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Karl Grönland,Karl Grönland,5430,Sweden,999,999,False,False,1256.5856086841325,1298.3443026445152,1249.540904866867,1299.1989506349869,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Ernests Solovjovs,Ernests Solovjovs,5492,Latvia,999,999,False,False,1285.060952445745,1297.4898237678758,1289.4451576868016,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Jan Watycha,Jan Watycha,5584,Poland,999,999,False,False,1277.983808905824,1297.5305661438715,1285.8137514077723,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Elias Watson,Elias Watson,5583,USA,999,999,False,False,1277.983808905824,1297.5305661438715,1285.8137514077723,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Zakhar Kykot,Zakhar Kykot,5585,Ukraine,999,999,False,False,1276.6489643477537,1301.7378200298822,1283.986825481565,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Ivo Nagode,Ivo Nagode,5483,Slovakia,999,999,False,False,1280.4427241615529,1299.2175293620537,1283.7955934060928,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Nazarii Savonik,Nazarii Savonik,5596,Ukraine,999,999,False,False,1294.4240611881446,1297.4898237678758,1297.9071472655553,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Kristen Baumann,Kristen Baumann,5486,Estonia,999,999,False,False,1294.4240611881446,1297.4898237678758,1297.9071472655553,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
