Team_Name,Nation,Team_Rank,Race_Date,City,Country,Price,Is_Present,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,Team_API_ID,Member_1,Member_1_ID,Member_1_Elo,Member_1_Distance_Elo,Member_1_Distance_C_Elo,Member_1_Distance_F_Elo,Member_1_Sprint_Elo,Member_1_Sprint_C_Elo,Member_1_Sprint_F_Elo,Member_1_Classic_Elo,Member_1_Freestyle_Elo,Member_2,Member_2_ID,Member_2_Elo,Member_2_Distance_Elo,Member_2_Distance_C_Elo,Member_2_Distance_F_Elo,Member_2_Sprint_Elo,Member_2_Sprint_C_Elo,Member_2_Sprint_F_Elo,Member_2_Classic_Elo,Member_2_Freestyle_Elo
FRANCE I,FRANCE,11,12/12/2025,Davos,Switzerland,4840,True,2574.992932223956,2577.246610379248,2545.6598424114713,2593.4837775796314,2572.7064557022823,2536.3724112504933,2605.632839656934,2510.960034311587,2605.799669638989,3195402.0,Julie Pierrel,7444.0,1275.1444554849877,1284.2165571187018,1264.3021185041052,1295.157523112391,1270.0083415401373,1262.2938750918822,1283.9694602673542,1245.5477207353729,1288.239654586018,Leonie Perry,10413,1299.8484767389684,1293.0300532605463,1281.357723907366,1298.3262544672405,1302.6981141621447,1274.078536158611,1321.6633793895796,1265.412313576214,1317.5600150529713
GERMANY II,GERMANY,12,12/12/2025,Davos,Switzerland,4595,True,2491.7369956245047,2496.10764209406,2490.4456425638327,2505.894104032371,2543.341100691874,2503.2813501747914,2561.385168271773,2505.7906398687182,2503.117478212986,3205419.0,Theresa FUERSTENBERG,,1219.5487652026852,1228.294063758994,1245.2228212819164,1240.6866033173796,1241.601890754574,1239.0261308575673,1242.116259051327,1233.698673495549,1226.3505643628973,Lena Keck,4825,1272.1882304218193,1267.813578335066,1245.2228212819164,1265.2075007149915,1301.7392099373,1264.255219317224,1319.268909220446,1272.091966373169,1276.7669138500887
FRANCE II,FRANCE,13,12/12/2025,Davos,Switzerland,343,True,2616.277440513883,2553.6321833715347,2544.085115409412,2511.2349242277132,2649.3481993388364,2573.2976662897677,2609.61284954866,2544.9768861357143,2565.78618222491,3195405.0,Melissa Gal,4034.0,1337.057085233209,1261.5110371859137,1254.940140165653,1270.5483209103336,1363.650995454112,1296.0191301311563,1367.4965904973333,1272.1464685445064,1339.4356178620128,Justine Gaillard,11576,1279.220355280674,1292.121146185621,1289.144975243759,1240.6866033173796,1285.6972038847243,1277.2785361586114,1242.116259051327,1272.8304175912078,1226.3505643628973
CZECH REPUBLIC I,CZECH REPUBLIC,14,12/12/2025,Davos,Switzerland,9084,True,2481.3272334811118,2383.136451073805,2513.2391045171044,2412.5144121251205,2698.855043736241,2624.9528088429656,2681.441983062353,2647.748629138995,2461.199287837674,3155265.0,Anna Marie Jaklova,10190.0,1269.6641031765707,1272.4162215615704,1291.6439377230638,1277.7270837893864,1293.7962145112638,1239.0261308575673,1292.31648269597,1291.252325752259,1270.0155537718329,Tereza Beranova,3618,1211.6631303045408,1110.7202295122345,1221.5951667940403,1134.7873283357342,1405.0588292249772,1385.9266779853983,1389.1255003663828,1356.4963033867364,1191.1837340658412
FINLAND II,FINLAND,15,12/12/2025,Davos,Switzerland,1750,True,3046.355248741889,3027.631927607147,2703.436246608424,2907.485824452271,2551.1270845945546,2523.2410649474036,2525.5527292786805,2705.640917414492,2935.9836874220778,3185378.0,Vilma Ryytty,6607.0,1531.2212283350927,1522.7071434150878,1309.6693858748852,1450.2197459741133,1259.2486007284551,1239.0261308575673,1244.8403247236638,1311.0703504699295,1462.812735923583,Vilma Nissinen,3034,1515.1340204067965,1504.9247841920596,1393.766860733539,1457.2660784781576,1291.8784838660995,1284.2149340898363,1280.7124045550167,1394.5705669445622,1473.1709514984948
SWITZERLAND II,SWITZERLAND,16,12/12/2025,Davos,Switzerland,3407,True,2515.073229596293,2518.9321819536917,2610.4786405955174,2499.117225049395,2516.1818147616486,2520.477271065687,2529.838269888721,2594.9219161596543,2530.3138095672975,3515214.0,Desiree Steiner,3220.0,1248.3332671635264,1255.920602528097,1264.882098945301,1247.1387922920292,1278.1627792519512,1281.4511402081198,1309.846837764782,1247.705839496678,1273.322066069921,Giuliana Werro,3230,1266.7399624327666,1263.0115794255948,1345.5965416502163,1251.978432757366,1238.0190355096977,1239.0261308575673,1219.9914321239385,1347.2160766629763,1256.9917434973768
GREAT BRITAIN I,GREAT BRITAIN,17,12/12/2025,Davos,Switzerland,230,True,2399.9886507540436,2413.9466358870186,2490.4456425638327,2483.043245710596,2500.520837287849,2496.1043379822377,2484.232518102654,2475.9012999621564,2506.9950933474865,3225029.0,Tabitha Williams,7360.0,1218.8670273454748,1215.10215084442,1245.2228212819164,1244.021622855298,1241.601890754574,1239.0261308575673,1242.116259051327,1233.698673495549,1255.9975466737433,Anna Pryce,6640,1181.121623408569,1198.8444850425988,1245.2228212819164,1239.021622855298,1258.9189465332752,1257.0782071246706,1242.116259051327,1242.2026264666074,1250.9975466737433
AUSTRALIA I,AUSTRALIA,18,12/12/2025,Davos,Switzerland,747,True,2600.938441815774,2595.3730917287494,2414.350041814743,2624.8058084651075,2534.8821029146425,2470.366905335842,2568.142648567121,2381.954905231686,2651.7862322718,3045103.0,Phoebe Cridland,5184.0,1260.5894844394784,1259.784994566376,1222.4710125296615,1275.6004492179825,1254.667501551894,1231.3407744782749,1290.3775432058585,1190.3307585431771,1288.3288567086422,Rosie Fordham,6450,1340.3489573762954,1335.5880971623735,1191.8790292850813,1349.2053592471252,1280.2146013627485,1239.0261308575673,1277.7651053612626,1191.624146688509,1363.457375563158
ESTONIA I,ESTONIA,19,12/12/2025,Davos,Switzerland,3749,True,2448.4153213928525,2505.7401682658074,2498.971203147064,2533.2950191663426,2510.0818707020853,2474.7443704707366,2653.592545077334,2423.6006693808204,2608.8475052063936,3395159.0,Mariel Merlii Pulles,1969.0,1318.1937625907408,1277.4461045068133,1253.7483818651476,1292.608415848963,1361.8944206110823,1309.6943229755489,1389.039402185171,1295.0881618184703,1340.4530434661042,Teiloora Ojaste,1970,1130.2215588021118,1228.294063758994,1245.2228212819164,1240.6866033173796,1148.1874500910033,1165.0500474951875,1264.5531428921631,1128.5125075623498,1268.3944617402894
POLAND I,POLAND,20,12/12/2025,Davos,Switzerland,4082,True,2240.449320395114,2339.9854233095866,2443.948198233442,2361.658753831138,2400.2795357988616,2407.4927715536405,2494.888582348778,2296.357110470851,2387.748889668919,3430261.0,Aleksandra Kolodziej,8064.0,1171.214332537447,1247.6330553736852,1249.918800641817,1240.6866033173796,1198.7669664972177,1211.080202932888,1252.7723232974513,1165.9204996117942,1256.6065499905474,Andzelika Szyszka,8097,1069.2349878576667,1092.3523679359016,1194.0293975916247,1120.9721505137584,1201.512569301644,1196.4125686207524,1242.116259051327,1130.4366108590566,1131.142339678372
KAZAKHSTAN I,KAZAKHSTAN,21,12/12/2025,Davos,Switzerland,2404,True,2012.7644169131513,2065.2830066399993,2203.2668702976353,2225.075801353438,2237.646300520395,2250.2169555580576,2468.739589676871,2074.8592681619634,2234.755959454363,3675033.0,Darya Ryazhko,3468.0,991.8272923632086,1023.0711137851296,1113.7953085001805,1100.3102438333742,1121.0529319969835,1128.2370287698614,1247.5890895618766,1041.7377107185469,1102.5451662377614,Nadezhda Stepashkina,6922,1020.9371245499428,1042.2118928548698,1089.4715617974548,1124.7655575200638,1116.5933685234113,1121.979926788196,1221.1505001149949,1033.1215574434166,1132.2107932166018
JAPAN I,JAPAN,22,12/12/2025,Davos,Switzerland,1857,True,2249.4096181591913,2299.781124094449,2493.573092307602,2370.5091562343673,2423.6707187318584,2398.774529580194,2559.14986919871,2369.8067061708452,2387.5185781359487,3305201.0,Chika Kobayashi,3524.0,1225.6361274727112,1222.9701094164818,1276.567799267876,1231.7784201175266,1276.8271862422398,1239.0261308575673,1270.8277987122644,1276.912038486534,1241.1995886800696,Chika Honda,7087,1023.7734906864798,1076.811014677967,1217.0052930397262,1138.7307361168407,1146.8435324896186,1159.7483987226267,1288.3220704864457,1092.8946676843111,1146.318989455879
AUSTRALIA II,AUSTRALIA,23,12/12/2025,Davos,Switzerland,0,True,2034.1981574637693,2139.464420378031,2345.312448035227,2220.872852842547,2254.9652673293704,2279.946480139204,2483.702566882921,2125.929084085764,2235.08715757729,,Maddi Hooker,10268.0,1016.538417730591,1072.6159259223168,1178.8596694442697,1114.299527786558,1131.721081926765,1145.0870825193615,1242.116259051327,1060.401240851328,1126.8524130037968,Ellen Søhol Lie,6627,1017.6597397331782,1066.8484944557138,1166.4527785909572,1106.5733250559892,1123.2441854026056,1134.8593976198424,1241.5863078315938,1065.527843234436,1108.234744573493
KAZAKHSTAN II,KAZAKHSTAN,24,12/12/2025,Davos,Switzerland,0,True,2002.4442735392226,2079.5936927946864,2242.4554213568563,2235.0841024915007,2312.601239736139,2384.3110173094383,2441.567974031288,2128.2966201033596,2218.543132280145,,Anna Melnik,6157.0,1003.0381565356846,1075.1799961320312,1153.7595728920608,1142.8000685637892,1094.0686773358882,1109.599828255315,1230.0283819095878,1038.3003628082122,1125.0295588986148,Angelina Shuryga,1509,999.406117003538,1004.4136966626552,1088.6958484647953,1092.2840339277118,1218.5325624002512,1274.7111890541232,1211.5395921217005,1089.9962572951476,1093.5135733815305
