FIS_Name,Skier,Nation,In_FIS_List,Price,Team_Name,Team_Rank,Team_Time,Team_Position,Race_Type,Race_Date,City,Country,Elo,Distance_Elo,Distance_F_Elo,Distance_C_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,ID,Age,Exp
Mathis Desloges,Mathis Desloges,France,True,0,France I,1,,2,Relay,02/14/2026,Milano Cortina,Italy,1639.618272183994,1636.2415018173024,1558.6377501059153,1440.3023479296244,1279.32547081033,1286.4633779732944,1281.6551641484814,1436.553809658519,1583.884771111106,12767,,
Hugo Lapalus,Hugo Lapalus,France,True,0,France I,1,,3,Relay,02/14/2026,Milano Cortina,Italy,1618.8503710958273,1708.3503089886494,1608.9702355201528,1626.4595283954072,1201.735035094567,1200.168982595433,1214.3718280513704,1532.2489658673317,1559.304020211832,6018,,
Theo Schely,Theo Schely,France,True,0,France I,1,,4,Relay,02/14/2026,Milano Cortina,Italy,1590.4969165480934,1547.2090758252118,1406.583161139318,1481.3446946938875,1428.8818490404387,1388.3144551200598,1388.098073909283,1502.054867927861,1460.827233855161,12166,,
Janosch Brugger,Janosch Brugger,Germany,True,0,Germany I,1,,1,Relay,02/14/2026,Milano Cortina,Italy,1506.1938890293195,1516.1346980946462,1446.0484524893452,1464.3856595856548,1321.3340905658204,1279.0223188601285,1348.9857254481933,1404.085063463014,1481.478467219861,3657,,
Florian Notz,Florian Notz,Germany,True,0,Germany I,1,,2,Relay,02/14/2026,Milano Cortina,Italy,1499.305726406256,1572.5198010924275,1534.6138586825375,1427.8145369051924,1083.5408277351692,1157.01457774191,1052.6563537116206,1380.3882511897311,1467.0846811738968,1488,,
Jan Stölben,Jan Stölben,Germany,True,0,Germany I,1,,3,Relay,02/14/2026,Milano Cortina,Italy,1456.3418907156438,1324.0979797825005,1337.187981071702,1263.1610762356793,1576.191822325991,1449.3585638574586,1580.0036484005038,1378.9302530745615,1469.1393173577949,14033,,
Friedrich Moch,Friedrich Moch,Germany,True,0,Germany I,1,,4,Relay,02/14/2026,Milano Cortina,Italy,1377.2432296252846,1433.558859572524,1502.499579997862,1414.9187657227096,1200.2103909178236,1201.045850901248,1229.4605537368948,1363.424405823274,1428.4873771259329,9323,,
Federico Pellegrino,Federico Pellegrino,Italy,True,0,Italy I,1,,1,Relay,02/14/2026,Milano Cortina,Italy,1777.1901774282312,1704.137216508399,1541.053320940764,1592.6382373272934,1711.1640303632048,1564.5400108749704,1749.404659025171,1629.2572328705917,1685.3988739728943,44,,
Elia Barp,Elia Barp,Italy,True,0,Italy I,1,,2,Relay,02/14/2026,Milano Cortina,Italy,1679.588921757857,1674.11457421017,1554.8826840045856,1503.4749147878842,1421.8310902181197,1404.6612488393002,1361.9981860853056,1535.5811839903106,1561.2689556653274,14042,,
Davide Graz,Davide Graz,Italy,True,0,Italy I,1,,3,Relay,02/14/2026,Milano Cortina,Italy,1545.408289005736,1483.5749401548107,1489.7996321193814,1358.4734641751202,1542.3038770990113,1368.2233445263432,1596.3764339113006,1400.2096799727296,1583.9257809798455,12165,,
Martino Carollo,Martino Carollo,Italy,True,0,Italy I,1,,4,Relay,02/14/2026,Milano Cortina,Italy,1504.955110296394,1467.1893540160113,1473.436111247832,1293.039029917758,1469.2791617497298,1317.693774354953,1501.9134271677851,1308.2046398069908,1551.4334445648572,19980,,
Johannes Høsflot Klæbo,Johannes Høsflot Klæbo,Norway,True,0,Norway I,1,,1,Relay,02/14/2026,Milano Cortina,Italy,1925.8542624105771,1858.913206312462,1683.3884534572685,1727.6201975892106,1838.8852922952983,1718.8140060192086,1788.7754635773165,1808.6619712856775,1792.0235868294203,5164,,
Harald Østberg Amundsen,Harald Østberg Amundsen,Norway,True,0,Norway I,1,,2,Relay,02/14/2026,Milano Cortina,Italy,1871.1163583572825,1847.13352691689,1724.364610053383,1661.1722728703276,1695.8312268246796,1580.037642780661,1653.577504597899,1701.6835552687437,1787.857069179274,5449,,
Martin Løwstrøm Nyenget,Martin Løwstrøm Nyenget,Norway,True,0,Norway I,1,,3,Relay,02/14/2026,Milano Cortina,Italy,1799.784045294865,1811.988014348857,1678.7240156409405,1665.1327504482754,1365.4041376758485,1398.6325696761858,1339.090340730988,1673.7427154173,1690.648855396228,2295,,
Mattis Stenshagen,Mattis Stenshagen,Norway,True,0,Norway I,1,,4,Relay,02/14/2026,Milano Cortina,Italy,1783.3787025490228,1779.7210762769562,1624.9635666973727,1576.599116617377,1481.544477201579,1485.4604948604824,1353.5882248250157,1606.5884518136254,1643.646289749914,5165,,
Edvin Anger,Edvin Anger,Sweden,True,0,Sweden I,1,,1,Relay,02/14/2026,Milano Cortina,Italy,1659.2718027521803,1590.499641554524,1426.5669782888046,1590.906919375692,1697.5778572953573,1562.464143551664,1719.6223537445155,1637.7080713295663,1529.0578171133368,14039,,
William Poromaa,William Poromaa,Sweden,True,0,Sweden I,1,,2,Relay,02/14/2026,Milano Cortina,Italy,1570.3082318790923,1607.4229573377363,1531.6549321315076,1570.904453469874,1315.7687289427313,1310.1779792429083,1306.3951713302508,1532.4925620805616,1495.6268917101206,12573,,
Calle Halfvarsson,Calle Halfvarsson,Sweden,True,0,Sweden I,1,,3,Relay,02/14/2026,Milano Cortina,Italy,1540.5437279773334,1542.500440954948,1466.0956302516165,1500.2731437808009,1530.5180863510209,1536.0021294847395,1466.2507220379125,1528.5128910859137,1473.895944743744,73,,
Truls Gisselman,Truls Gisselman,Sweden,True,0,Sweden I,1,,4,Relay,02/14/2026,Milano Cortina,Italy,1538.0509396928103,1507.546569595772,1371.7791608096643,1462.4203921172405,1351.953681378269,1339.4264094741682,1320.389700650317,1469.886426886591,1396.3403243686912,12782,,
Janik Riebli,Janik Riebli,Switzerland,True,0,Switzerland I,1,,1,Relay,02/14/2026,Milano Cortina,Italy,1522.6276861988908,1324.4865256700853,1328.965179086612,1254.4491435979724,1621.970809427503,1418.8187938817368,1700.4412350377754,1350.311313372599,1566.030809201721,7725,,
Beda Klee,Beda Klee,Switzerland,True,0,Switzerland I,1,,2,Relay,02/14/2026,Milano Cortina,Italy,1493.6387722647364,1494.82368204635,1445.6890814192357,1445.423410013904,1260.7099357984926,1236.9112166747138,1267.2125820047545,1438.696059451718,1450.1648071459306,3651,,
Valerio Grond,Valerio Grond,Switzerland,True,0,Switzerland I,1,,3,Relay,02/14/2026,Milano Cortina,Italy,1431.0305549063564,1253.6351928352028,1248.9772690056543,1288.9085196957094,1673.748603284626,1532.5291779018078,1688.221730617715,1415.6307581805231,1482.3099395599618,12164,,
Noe Näff,Noe Näff,Switzerland,True,0,Switzerland I,1,,4,Relay,02/14/2026,Milano Cortina,Italy,1375.5322951077535,1267.3970541629146,1297.5235161936162,1249.4865763865278,1455.578377490376,1333.3463308150613,1462.407201947383,1302.2851325409465,1399.5848928389885,19984,,
Gus Schumacher,Gus Schumacher,USA,True,0,USA I,1,,1,Relay,02/14/2026,Milano Cortina,Italy,1735.6124775945912,1698.523400843692,1579.501916876966,1556.977719198362,1585.5232706012907,1435.8607796038316,1613.1373432232526,1570.7343073641234,1671.4644377821007,9172,,
Ben Ogden,Ben Ogden,USA,True,0,USA I,1,,2,Relay,02/14/2026,Milano Cortina,Italy,1618.532790018368,1524.4503928588558,1461.9722533487025,1440.6858592004403,1697.86412593125,1572.223484700057,1696.9801856300055,1526.7664496285042,1609.1466029395722,9179,,
James Clinton Schoonmaker,James Clinton Schoonmaker,USA,True,0,USA I,1,,3,Relay,02/14/2026,Milano Cortina,Italy,1507.568960356174,1379.2544418496352,1351.3890665409615,1291.7311982804874,1546.2320917121242,1466.7216688806102,1563.8067693592063,1395.570002999432,1516.3635737719278,9201,,
Zak Ketterson,Zak Ketterson,USA,True,0,USA I,1,,4,Relay,02/14/2026,Milano Cortina,Italy,1498.1285419824435,1439.225279128121,1419.391259613814,1352.703800087916,1470.9220465779251,1423.274539898368,1413.7844704801762,1405.5119537505066,1482.5913698970562,5988,,
