FIS_Name,Skier,Nation,In_FIS_List,Price,Team_Name,Team_Rank,Team_Time,Team_Position,Race_Type,Race_Date,City,Country,Elo,Distance_Elo,Distance_F_Elo,Distance_C_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,ID,Age,Exp
Keidy Kaasiku,Keidy Kaasiku,Estonia,True,0,Estonia I,1,,3,Relay,02/14/2026,Milano Cortina,Italy,1216.5275270321888,1256.5195862274318,1266.5632947937431,1251.7403559288891,1172.2941223688656,1174.5004512312346,1208.5684501663902,1192.811388518682,1244.0833116142885,4942,,
Teiloora Ojaste,Teiloora Ojaste,Estonia,True,0,Estonia I,1,,4,Relay,02/14/2026,Milano Cortina,Italy,1151.608431179409,1241.619421597243,1245.0708887339122,1221.751740306854,1191.967629435607,1212.7188959996513,1221.011215512804,1221.6864418585217,1179.7907534313797,1970,,
Jasmi Joensuu,Jasmi Joensuu,Finland,True,0,Finland I,1,,1,Relay,02/14/2026,Milano Cortina,Italy,1673.0728071613737,1553.0516175267717,1357.5795152650162,1545.720989824424,1692.238239619609,1602.1232593766133,1643.5323830972286,1658.296144457501,1531.8487004197734,1675,,
Johanna Matintalo,Johanna Matintalo,Finland,True,0,Finland I,1,,2,Relay,02/14/2026,Milano Cortina,Italy,1660.5486807416316,1637.3155020898855,1404.1393081310434,1565.16047087268,1488.821585704995,1549.1354602265849,1281.4895330100123,1626.8835053071064,1423.815252763713,1761,,
Kerttu Niskanen,Kerttu Niskanen,Finland,True,0,Finland I,1,,3,Relay,02/14/2026,Milano Cortina,Italy,1627.9419097805378,1668.4995318036315,1534.9466454794208,1652.0069670437863,1414.097061089846,1397.4275772374106,1404.514519941846,1600.2071694900071,1523.0898368092037,37,,
Jasmin Kähärä,Jasmin Kähärä,Finland,True,0,Finland I,1,,4,Relay,02/14/2026,Milano Cortina,Italy,1524.549089118031,1411.2828387515951,1381.88877526148,1325.434510977411,1542.8455733988317,1460.4855202240014,1524.8350428580748,1437.8674361280812,1499.499457873584,3528,,
Flora Dolci,Flora Dolci,France,True,0,France I,1,,1,Relay,02/14/2026,Milano Cortina,Italy,1514.8011233257746,1560.204646331456,1557.3579318255938,1280.968430129412,1216.4861254141947,1257.2720013238495,1200.315051980438,1285.6371870568155,1501.5783227889428,2483,,
Delphine Claudel,Delphine Claudel,France,True,0,France I,1,,2,Relay,02/14/2026,Milano Cortina,Italy,1453.111467661631,1460.228480528658,1498.4935533529313,1338.2686038386566,1285.48576346843,1207.033761135231,1316.484173066337,1338.360341747756,1488.146929946966,1694,,
Melissa Gal,Melissa Gal,France,True,0,France I,1,,3,Relay,02/14/2026,Milano Cortina,Italy,1363.9359719132406,1256.502572214758,1290.3258643303698,1218.1895907963758,1437.508189701045,1340.9899874421883,1437.1275754788203,1285.066527183447,1390.140627739294,4034,,
Lena Quintin,Lena Quintin,France,True,0,France I,1,,4,Relay,02/14/2026,Milano Cortina,Italy,1363.1745487787937,1205.0481973898986,1212.1344145953817,1236.8333747051431,1425.501053238163,1321.6565600589306,1489.9377591475632,1295.858100939762,1383.689666345298,3252,,
Pia Fink,Pia Fink,Germany,True,0,Germany I,1,,1,Relay,02/14/2026,Milano Cortina,Italy,1624.9743845322903,1641.9710524730413,1555.548153061032,1511.2842853768489,1409.5247586095702,1320.3884437488507,1442.254947811457,1498.8136919623992,1593.2104531672092,4004,,
Laura Gimmler,Laura Gimmler,Germany,True,0,Germany I,1,,2,Relay,02/14/2026,Milano Cortina,Italy,1592.724641935191,1426.4944440111844,1292.998123761228,1419.7520207817718,1612.6234179765777,1568.607551629237,1552.4911193977116,1549.5731485604094,1494.9589615160871,1495,,
Helen Hoffmann,Helen Hoffmann,Germany,True,0,Germany I,1,,3,Relay,02/14/2026,Milano Cortina,Italy,1548.9567917682557,1583.801122639098,1505.5769215964174,1423.5991406760336,1293.915375275886,1253.435955374741,1325.754034103454,1383.7146506101235,1517.457351894663,6691,,
Coletta Rydzek,Coletta Rydzek,Germany,True,0,Germany I,1,,4,Relay,02/14/2026,Milano Cortina,Italy,1524.7947510778745,1370.5238547456945,1277.949364395228,1384.0517173714416,1652.1654009922909,1518.9402967088909,1659.0559051570924,1479.8079223761904,1505.7877704854102,3254,,
Caterina Ganz,Caterina Ganz,Italy,True,0,Italy I,1,,1,Relay,02/14/2026,Milano Cortina,Italy,1571.3511012283918,1543.4514994282763,1434.3748881566528,1471.4907543735292,1454.6087057575642,1406.6856117354312,1437.1055718548496,1484.5155423116412,1509.002754316855,1721,,
Federica Cassol,Federica Cassol,Italy,True,0,Italy I,1,,2,Relay,02/14/2026,Milano Cortina,Italy,1406.5437929216096,1247.0161320462,1245.912019539196,1262.41443119102,1516.0607883502207,1403.2845723099765,1544.2385003031902,1343.91177976927,1419.6841602467518,9082,,
Nicole Monsorno,Nicole Monsorno,Italy,True,0,Italy I,1,,3,Relay,02/14/2026,Milano Cortina,Italy,1391.559759512303,1213.568849092911,1225.9661047520372,1230.5993704337338,1499.6547889507076,1439.2687967490187,1477.4166629826627,1352.7419357357776,1370.068247667153,6631,,
Maria Gismondi,Maria Gismondi,Italy,True,0,Italy I,1,,4,Relay,02/14/2026,Milano Cortina,Italy,1391.447145895525,1390.264441314161,1372.0621024517009,1303.3700616987155,1297.6248777698595,1298.0521261168872,1297.4844051382834,1303.3314512983002,1391.6427401408123,10867,,
Laura Kinybaeyeva,Laura Kinybaeyeva,Kazakhstan,True,0,Kazakhstan I,1,,1,Relay,02/14/2026,Milano Cortina,Italy,1222.9589001275983,1266.9880178807668,1266.7722108871658,1280.0064694372122,1248.2813222527643,1252.9078596263157,1268.685678064397,1266.1402793540765,1242.3660361623854,6958,,
Angelina Shuryga,Angelina Shuryga,Kazakhstan,True,0,Kazakhstan I,1,,2,Relay,02/14/2026,Milano Cortina,Italy,1085.0647693795436,1078.0445110344465,1150.8651271592237,1159.169058585406,1232.0659981226663,1278.4294979438944,1212.6584779646912,1160.874980874933,1136.2165562459163,1509,,
Darya Ryazhko,Darya Ryazhko,Kazakhstan,True,0,Kazakhstan I,1,,3,Relay,02/14/2026,Milano Cortina,Italy,1070.5877324515843,1068.062577201708,1135.9163541673431,1157.1304059356428,1171.672166328176,1164.685882771562,1208.8358402310878,1110.0854534518326,1115.1906600408608,3468,,
Yelizaveta Tolmachyova,Yelizaveta Tolmachyova,Kazakhstan,True,0,Kazakhstan I,1,,4,Relay,02/14/2026,Milano Cortina,Italy,1066.067598823065,1149.1606776311862,1182.368233886801,1267.5143202809631,1148.2667059597854,1155.7185252439594,1214.9152636700387,1174.641910303115,1131.2892716121914,9324,,
Astrid Øyre Slind,Astrid Øyre Slind,Norway,True,0,Norway I,1,,1,Relay,02/14/2026,Milano Cortina,Italy,1741.3499215362615,1769.2123023811953,1612.9885201215016,1602.473566336953,1376.0582204979246,1326.3660044387236,1386.324066662548,1612.456940699071,1631.0448224075196,115,,
Heidi Weng,Heidi Weng,Norway,True,0,Norway I,1,,2,Relay,02/14/2026,Milano Cortina,Italy,1725.8997648664504,1799.516941160354,1649.4615524671894,1656.1080561741962,1373.5439953857554,1409.1699126673298,1325.8803519202918,1644.6086628624123,1597.4226189323629,60,,
Julie Bjervig Drivenes,Julie Bjervig Drivenes,Norway,True,0,Norway I,1,,3,Relay,02/14/2026,Milano Cortina,Italy,1635.4469970533337,1591.204622798556,1454.009670552741,1461.0383778743235,1402.212682651492,1351.993165257789,1393.6473360442965,1491.536230374457,1515.8191061112864,3357,,
Kristin Austgulen Fosnæs,Kristin Austgulen Fosnæs,Norway,True,0,Norway I,1,,4,Relay,02/14/2026,Milano Cortina,Italy,1628.2166402241362,1622.34228259891,1538.9729287349476,1482.8864626361433,1395.9176374727986,1308.1932852249329,1421.6151088758902,1490.8186572866005,1582.7334895904933,4268,,
Monika Skinder,Monika Skinder,Poland,True,0,Poland I,1,,1,Relay,02/14/2026,Milano Cortina,Italy,1362.089825147211,1256.284942681422,1219.1187311229155,1262.8936109274491,1390.6389544378749,1351.9006842579793,1348.0700859988383,1335.1346125497366,1290.314538260583,6335,,
Izabela Marcisz,Izabela Marcisz,Poland,True,0,Poland I,1,,2,Relay,02/14/2026,Milano Cortina,Italy,1312.2806500246363,1270.8050450036155,1292.250205864902,1255.5681631930784,1334.2849151314842,1316.6290610702208,1305.698136787949,1287.4939641113008,1319.6114802765,6327,,
Andzelika Szyszka,Andzelika Szyszka,Poland,True,0,Poland I,1,,3,Relay,02/14/2026,Milano Cortina,Italy,1129.6533353158604,1146.5779228013323,1170.7725932427031,1243.5514622899468,1225.2842634715466,1214.7223644701369,1261.2378443152,1191.9118454646675,1157.6443623760315,8097,,
Aleksandra Kolodziej,Aleksandra Kolodziej,Poland,True,0,Poland I,1,,4,Relay,02/14/2026,Milano Cortina,Italy,1099.4853107686724,1111.3555703874224,1195.419311943244,1188.7537778250328,1197.3882223782878,1209.8082630696524,1229.181407848065,1152.7003189120314,1153.419787680558,8064,,
Jonna Sundling,Jonna Sundling,Sweden,True,0,Sweden I,1,,1,Relay,02/14/2026,Milano Cortina,Italy,1784.2032577198122,1685.2445113718904,1578.07796848973,1546.2771905411398,1741.8601341984977,1634.4895242044884,1691.5751232843656,1644.7855324414368,1726.3303256811173,1486,,
Moa Ilar,Moa Ilar,Sweden,True,0,Sweden I,1,,2,Relay,02/14/2026,Milano Cortina,Italy,1744.7598306340929,1726.5606468310707,1580.354971931658,1594.364712278735,1573.433481749944,1470.6194100048665,1550.0156418785532,1635.0640153802788,1641.4473116254037,1866,,
Ebba Andersson,Ebba Andersson,Sweden,True,0,Sweden I,1,,3,Relay,02/14/2026,Milano Cortina,Italy,1718.2057427271527,1805.1852455964472,1654.5815311029362,1654.8242703662577,1308.6613970219885,1325.0790352700794,1266.5166573501906,1625.3992668972987,1600.4349153867936,1789,,
Emma Ribom,Emma Ribom,Sweden,True,0,Sweden I,1,,4,Relay,02/14/2026,Milano Cortina,Italy,1711.553418771778,1643.2278901436205,1535.0316709997203,1496.3104436929752,1638.188371283234,1554.6755851146902,1613.4632964286277,1576.6928199240754,1652.412879653239,1844,,
Anja Weber,Anja Weber,Switzerland,True,0,Switzerland I,1,,1,Relay,02/14/2026,Milano Cortina,Italy,1577.759825480915,1484.8136882105107,1394.166743859224,1410.9974584916208,1578.1667647304214,1467.044137962671,1562.8022953679647,1498.2085930233716,1513.16048895338,6338,,
Nadine Fähndrich,Nadine Fähndrich,Switzerland,True,0,Switzerland I,1,,2,Relay,02/14/2026,Milano Cortina,Italy,1546.2369558214084,1419.6841132789352,1338.025593157353,1471.3403543852394,1714.6037989564486,1609.502709333649,1696.0345744538438,1597.888019435997,1464.294668048798,1590,,
Marina Kälin,Marina Kälin,Switzerland,True,0,Switzerland I,1,,3,Relay,02/14/2026,Milano Cortina,Italy,1388.4578663737843,1388.7828899326616,1343.4036738084185,1354.8641420442136,1280.3955303701064,1268.6330131163122,1287.5332627777366,1342.2544081066594,1353.5966547255807,7433,,
Alina Meier,Alina Meier,Switzerland,True,0,Switzerland I,1,,4,Relay,02/14/2026,Milano Cortina,Italy,1347.2508770756397,1257.9822421131505,1267.8909629826796,1259.9153196962131,1386.493990613393,1247.4971179861318,1481.2009306629866,1237.4422334346975,1392.8260251804595,1680,,
Jessie Diggins,Jessie Diggins,USA,True,0,USA I,1,,1,Relay,02/14/2026,Milano Cortina,Italy,1849.0411603628252,1854.2763446491113,1723.8544401854465,1648.9589432468013,1647.190906251645,1537.1908985200598,1649.5361761746744,1669.0446684196245,1771.856586813817,131,,
Julia Kern,Julia Kern,USA,True,0,USA I,1,,2,Relay,02/14/2026,Milano Cortina,Italy,1566.461771270646,1493.2680259607034,1432.5875012166932,1342.2576296952002,1554.387567855019,1446.788906318105,1588.306446350944,1427.633638287237,1551.0358346452515,1846,,
Rosie Brennan,Rosie Brennan,USA,True,0,USA I,1,,3,Relay,02/14/2026,Milano Cortina,Italy,1448.939388560788,1452.2227080051132,1412.1622548916123,1505.5381039531271,1483.1211492344212,1475.589248543759,1438.430111419514,1518.4749527936715,1398.6231847384895,627,,
Sophia Laukli,Sophia Laukli,USA,True,0,USA I,1,,4,Relay,02/14/2026,Milano Cortina,Italy,1400.2642916815332,1417.2709049176935,1454.11916815716,1314.415962093389,1171.2201184527823,1218.8817777671893,1172.0608807094004,1306.8290815266903,1423.2868234425514,7369,,
