FIS_Name,Skier,Nation,In_FIS_List,Price,Team_Name,Team_Rank,Team_Time,Team_Position,Race_Type,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,ID,Race_Date,City,Country
HAGENBUCH John Steel,Johnny Hagenbuch,USA,True,212,UNITED STATES OF AMERICA I,7,,3,Relay,1394.1623532319277,1384.6279487531365,1235.3149404100684,1421.818722168951,1307.6752998900092,1285.4914187495654,1310.27565229739,1244.2113779489564,1461.534884112131,12699,02/15/2026,Milano Cortina,Italy
KETTERSON Zak,Zak Ketterson,USA,True,1321,UNITED STATES OF AMERICA I,7,,4,Relay,1484.129434758089,1439.8532945764437,1380.9428268874924,1410.7058616089896,1475.7938007912658,1430.7342500104153,1413.7844704801762,1430.0327929570235,1466.988014174947,5988,02/15/2026,Milano Cortina,Italy
BRUGGER Janosch,Janosch Brugger,GER,True,282,GERMANY I,8,,1,Relay,1488.6074795025163,1501.2994895455508,1482.8582997651465,1429.4437525681328,1345.0195209561932,1306.7520732903993,1348.9857254481933,1422.4736653518978,1456.275633351418,3657,02/15/2026,Milano Cortina,Italy
MOCH Friedrich,Friedrich Moch,GER,True,1390,GERMANY I,8,,2,Relay,1413.3888459949555,1457.6916177550395,1414.9187657227096,1503.6973958769968,1204.5160516139897,1209.1025785682846,1229.4605537368948,1374.9722455387548,1439.3175155290735,9323,02/15/2026,Milano Cortina,Italy
NOTZ Florian,Florian Notz,GER,True,310,GERMANY I,8,,3,Relay,1515.635795693178,1561.5836287398415,1435.8756490603548,1530.1685451675926,1088.4482543003608,1162.0083316967891,1052.6563537116206,1392.8297336955864,1487.4175721732622,1488,02/15/2026,Milano Cortina,Italy
STOELBEN Jan,Jan Stölben,GER,True,232,GERMANY I,8,,4,Relay,1469.0645414380692,1320.196951620798,1263.1610762356793,1328.565714937968,1564.4281278523704,1454.1348046140577,1580.0036484005038,1400.303730702848,1466.773300714134,14033,02/15/2026,Milano Cortina,Italy
VUORINEN Lauri,Lauri Vuorinen,FIN,True,2190,FINLAND I,9,,1,Relay,1580.962624751594,1406.924005082873,1438.4995024054183,1293.529175212134,1678.1698248035968,1606.8638622074882,1638.1451391520982,1554.004899204189,1493.0176868691042,2874,02/15/2026,Milano Cortina,Italy
NISKANEN Iivo,Iivo Niskanen,FIN,True,5410,FINLAND I,9,,2,Relay,1662.0296176815978,1704.538272730317,1693.7751641386824,1521.782900728287,1338.6591933568532,1407.2931252549768,1260.9560482717068,1672.1240664404884,1474.8002893836856,1470,02/15/2026,Milano Cortina,Italy
RUUSKANEN Arsi,Arsi Ruuskanen,FIN,True,789,FINLAND I,9,,3,Relay,1634.7282666694778,1633.2331072383677,1505.5025622687367,1526.4173159313295,1188.2942949519795,1261.358539263617,1173.8158829756246,1488.631937093775,1554.605429845833,8120,02/15/2026,Milano Cortina,Italy
ANTTOLA Niko,Niko Anttola,FIN,True,220,FINLAND I,9,,4,Relay,1500.2630289856318,1516.4461334875737,1433.4621446470967,1448.419491256671,1293.840383646918,1328.3047758227567,1252.1207695303674,1441.1543310741097,1436.7806630298317,17474,02/15/2026,Milano Cortina,Italy
