FIS_Name,Skier,Nation,In_FIS_List,Price,Team_Name,Team_Rank,Team_Time,Team_Position,Sex,Race_Type,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,ID,Race_Date,City,Country
MANDELJC Anja,Anja Mandeljc,SLO,True,229,SLOVENIA I,15,57:54.1,11-2,F,Mixed Relay,1298.640968192747,1314.5569885975706,1253.6968464594654,1296.2726218626913,1172.177938832691,1221.8731060057376,1161.1946589692868,1235.8996338616023,1272.6559255958528,1868.0,3/15/25,Engadin,Switzerland
UREVC Eva,Eva Urevc,SLO,True,218,SLOVENIA I,15,57:54.1,11-4,F,Mixed Relay,1297.4810823038197,1276.1158955171982,1257.008929363599,1281.5970872503058,1342.1568543194742,1290.4373704252014,1381.1008557548528,1251.5156896407532,1342.7132686457344,3192.0,3/15/25,Engadin,Switzerland
KRAMER Kendall,Kendall Kramer,USA,True,230,UNITED STATES OF AMERICA II,16,58:39.0,16-2,F,Mixed Relay,1308.9018431343432,1310.1574604260447,1293.6789559726308,1307.2327194892484,1276.5504216361633,1242.5695877224869,1277.069218797434,1295.739887092462,1308.9121409889913,6650.0,3/15/25,Engadin,Switzerland
SMITH Sammy,Sammy SMITH,USA,True,232,UNITED STATES OF AMERICA II,16,58:39.0,16-4,F,Mixed Relay,1219.8635976003357,1224.9793815729038,1234.0552636511336,1240.90520235611,1242.7706014247135,1242.5695877224869,1240.0891012979132,1226.728315218651,1228.9207258767342,,3/15/25,Engadin,Switzerland
BYGRAVE Tuva,Tuva Bygrave,AUS,True,231,AUSTRALIA I,17,1:00:22.2,13-2,F,Mixed Relay,1123.3745226416568,1143.9412357278086,1238.3011015341976,1190.3452097250909,1210.9125243344197,1228.1968073578057,1237.2677959910516,1194.45428908981,1164.2254904502104,6448.0,3/15/25,Engadin,Switzerland
FORDHAM Rosie,Rosie Fordham,AUS,True,226,AUSTRALIA I,17,1:00:22.2,13-4,F,Mixed Relay,1240.854781778254,1237.679250648133,1235.7473255812972,1261.9827684488534,1273.4912684497244,1242.5695877224869,1272.520894396738,1241.32754313615,1255.8426839911735,6450.0,3/15/25,Engadin,Switzerland
NIKON Anastasiia,Anastasiia Nikon,UKR,True,217,UKRAINE I,18,1:02:16.2,14-2,F,Mixed Relay,1083.1048982301295,1150.0598868170623,1192.675479295935,1214.9360875364775,1163.4840973570688,1200.0863654703826,1191.460993874413,1142.511359548754,1144.586743493938,6954.0,3/15/25,Engadin,Switzerland
OLEKH Viktoriia,Viktoriya Olekh,UKR,True,221,UKRAINE I,18,1:02:16.2,14-4,F,Mixed Relay,1039.20790018062,1071.5134349471707,1143.4566207770977,1147.995349981638,1146.989106690381,1209.780968170401,1131.2317012151068,1122.2545705306363,1074.5780681356296,540.0,3/15/25,Engadin,Switzerland
TOLMACHYOVA Yelizaveta,Yelizaveta Tolmachyova,KAZ,True,0,KAZAKHSTAN I,19,,12-2,F,Mixed Relay,1246.0684927602272,1268.9206724000717,1234.0552636511336,1269.121930676888,1271.6160217394483,1264.779986312962,1240.0891012979132,1268.5861778082826,1262.2344862544987,9324.0,3/15/25,Engadin,Switzerland
KINYBAEYEVA Laura,Laura Kinybaeyeva,KAZ,True,0,KAZAKHSTAN I,19,,12-4,F,Mixed Relay,1221.2839094849596,1270.0785671369135,1234.0552636511336,1270.2330417879991,1240.1979376898632,1259.9799863129622,1256.5002299496573,1264.3361778082826,1235.225195664277,6958.0,3/15/25,Engadin,Switzerland
