FIS_Name,Skier,Nation,In_FIS_List,Price,Team_Name,Team_Rank,Team_Time,Team_Position,Race_Type,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,ID,Race_Date,City,Country
YILAMUJIANG Dinigeer,Dinigeer Yilamujiang,CHN,True,232,PEOPLES REPUBLIC OF CHINA I,21,7:36.97,1,Team Sprint,1073.175750648673,1116.5955365478544,1195.3627013135235,1165.4249639638394,1145.5670034544394,1176.8844474083187,1169.98783967582,1137.1362245903229,1118.3331040832063,6575.0,01/23/2026,Goms,Switzerland
CHI Chunxue,Chunxue Chi,CHN,True,218,PEOPLES REPUBLIC OF CHINA I,21,7:36.97,2,Team Sprint,1290.4374683242615,1292.0255962918425,1263.3274578655669,1256.8605251295926,1246.4842228216926,1188.3872248817688,1275.8753896591993,1240.2159371733212,1284.245974259851,1660.0,01/23/2026,Goms,Switzerland
HAN Dasom,Da-Som Han,KOR,True,221,KOREA I,22,8:02.29,1,Team Sprint,1055.6478984394346,1092.8074475895546,1204.9028214076477,1145.7414070173418,1162.160955526754,1169.6314363289914,1208.7020894588527,1142.377400553827,1100.3674310216388,1519.0,01/23/2026,Goms,Switzerland
LEE Eui Jin,Eui Jin Lee,KOR,True,223,KOREA I,22,8:02.29,2,Team Sprint,1077.0305636838204,1077.9725282590127,1163.353888492304,1160.5680648981988,1226.6778104621103,1240.3652606217004,1238.0263214481315,1157.797929433932,1134.165965565594,6644.0,01/23/2026,Goms,Switzerland
KAHARA Jasmin,Jasmin Kähärä,FIN,True,560,FINLAND I,3,6:43.83,1,Team Sprint,1524.549089118031,1411.2828387515951,1325.434510977411,1381.88877526148,1542.8455733988317,1460.4855202240014,1524.8350428580748,1437.8674361280812,1499.499457873584,3528.0,01/23/2026,Goms,Switzerland
JOENSUU Jasmi,Jasmi Joensuu,FIN,True,6626,FINLAND I,3,6:43.83,2,Team Sprint,1665.7927622256311,1535.265278147842,1545.720989824424,1357.5795152650162,1692.238239619609,1602.1232593766133,1643.5323830972286,1658.296144457501,1531.8487004197734,1675.0,01/23/2026,Goms,Switzerland
ROSENBERG Maerta,Märta Rosenberg,SWE,True,255,SWEDEN I,4,6:44.40,1,Team Sprint,1458.5063362243427,1398.4474868613872,1393.532994122223,1289.969328360923,1429.2406542691083,1377.357915654731,1411.7574093633075,1431.7411870886715,1386.1852339615275,6689.0,01/23/2026,Goms,Switzerland
HAGSTROEM Johanna,Johanna Hagström,SWE,True,2817,SWEDEN I,4,6:44.40,2,Team Sprint,1527.032705599216,1287.3218256295752,1319.5831189670955,1217.6591463489292,1715.5296508185725,1637.102732910112,1656.2140788906345,1536.4037887222803,1446.265660374308,3212.0,01/23/2026,Goms,Switzerland
SMITH Samantha,Samantha Smith,USA,True,337,UNITED STATES OF AMERICA I,5,6:45.60,1,Team Sprint,1249.7590612325384,1260.8766309222005,1276.7383732941207,1276.5484907875607,1270.847383697976,1276.6173951759602,1274.188391151095,1268.712443331986,1264.6891716720247,,01/23/2026,Goms,Switzerland
KERN Julia,Julia Kern,USA,True,1388,UNITED STATES OF AMERICA I,5,6:45.60,2,Team Sprint,1563.3795533151765,1484.353476827357,1342.2576296952002,1432.5875012166932,1554.387567855019,1446.788906318105,1588.306446350944,1427.633638287237,1551.0358346452515,1846.0,01/23/2026,Goms,Switzerland
DE MARTIN PINTER Iris,Iris De Martin Pinter,ITA,True,225,ITALY I,6,6:47.52,1,Team Sprint,1433.0635091543736,1313.2074170144715,1313.8311960260676,1298.7000371427669,1457.3354267616476,1379.71837869478,1449.4568125143128,1372.4911598825972,1396.2442654155068,7422.0,01/23/2026,Goms,Switzerland
CASSOL Federica,Federica Cassol,ITA,True,249,ITALY I,6,6:47.52,2,Team Sprint,1406.5437929216096,1247.0161320462,1262.41443119102,1245.912019539196,1516.0607883502207,1403.2845723099765,1544.2385003031902,1343.91177976927,1419.6841602467518,9082.0,01/23/2026,Goms,Switzerland
PERRY Leonie,Leonie Perry,FRA,True,215,FRANCE I,7,6:48.75,1,Team Sprint,1409.5324133777283,1435.7599092613111,1300.0849429542934,1427.3486816232387,1262.0313035180684,1239.186744083097,1294.521931960939,1268.2776463265327,1451.4126550932383,10413.0,01/23/2026,Goms,Switzerland
GAL Melissa,Melissa Gal,FRA,True,216,FRANCE I,7,6:48.75,2,Team Sprint,1381.3979535220178,1265.7308670668683,1218.1895907963758,1290.3258643303698,1437.508189701045,1340.9899874421883,1437.1275754788203,1285.066527183447,1390.140627739294,4034.0,01/23/2026,Goms,Switzerland
KREHL Sofie,Sofie Krehl,GER,True,287,GERMANY II,8,6:51.65,1,Team Sprint,1484.0257448751436,1419.6779097662609,1333.9881649583804,1402.3066821232944,1463.6470507461013,1373.015875589272,1497.1527144149554,1379.6155678930206,1487.3500401989008,1695.0,01/23/2026,Goms,Switzerland
KECK Lena,Lena Keck,GER,True,231,GERMANY II,8,6:51.65,2,Team Sprint,1295.3888146375484,1268.3627251864857,1283.1531594452968,1264.4574161675762,1324.5891783231448,1265.4668948711358,1351.655320847085,1273.4622738635182,1304.0126411361844,4825.0,01/23/2026,Goms,Switzerland
GANZ Caterina,Caterina Ganz,ITA,True,1767,ITALY II,9,6:52.08,1,Team Sprint,1570.93566484924,1542.377452358647,1471.4907543735292,1434.3748881566528,1454.6087057575642,1406.6856117354312,1437.1055718548496,1484.5155423116412,1509.002754316855,1721.0,01/23/2026,Goms,Switzerland
MONSORNO Nicole,Nicole Monsorno,ITA,True,223,ITALY II,9,6:52.08,2,Team Sprint,1391.559759512303,1213.568849092911,1230.5993704337338,1225.9661047520372,1499.6547889507076,1439.2687967490187,1477.4166629826627,1352.7419357357776,1370.068247667153,6631.0,01/23/2026,Goms,Switzerland
