FIS_Name,Skier,Nation,In_FIS_List,Price,Team_Name,Team_Rank,Team_Time,Team_Position,Sex,Race_Type,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,ID,Race_Date,City,Country
TOLMACHYOVA Yelizaveta,Yelizaveta Tolmachyova,KAZ,True,0,KAZAKHSTAN I,19,,2,F,Mixed Relay,1251.336236744444,1270.9447940758753,1234.601187428449,1272.165536975628,1276.1874705591056,1264.779986312962,1240.462938899013,1273.0232207797967,1268.779239125569,9324,06/04/2025,Engadin,Switzerland
KASSENOV Didar,Didar Kassenov,KAZ,True,0,KAZAKHSTAN I,19,,3,M,Mixed Relay,1225.1640833827178,1269.3225481621007,1237.0691809545465,1270.0669425644471,1255.6729654738083,1277.8125148886534,1257.195823411682,1278.3014805397345,1229.7055163419022,12419,06/04/2025,Engadin,Switzerland
KINYBAEYEVA Laura,Laura Kinybaeyeva,KAZ,True,0,KAZAKHSTAN I,19,,4,F,Mixed Relay,1228.6988243339445,1272.0317505976143,1234.601187428449,1273.165536975628,1249.489288455139,1259.9799863129622,1268.591940945686,1269.3803636369396,1245.9307077547692,6958,06/04/2025,Engadin,Switzerland
GOLBERG Paal,Pål Golberg,NOR,True,0,NORWAY I,2,55:04.8,1,M,Mixed Relay,1717.1424175276056,1732.563635084413,1633.5339835827458,1621.2755827461974,1630.8304270439387,1612.827505003388,1580.3139465285417,1654.30270523657,1648.8483846405798,88,06/04/2025,Engadin,Switzerland
SANNESS Nora,Nora Sanness,NOR,True,0,NORWAY I,2,55:04.8,2,F,Mixed Relay,1538.6197442197936,1552.3046153047917,1414.7860847991465,1450.0958153216525,1264.2152816943633,1275.0017667129212,1273.911901824088,1403.099289432461,1461.1618130996585,6324,06/04/2025,Engadin,Switzerland
ANDERSEN Iver Tildheim,Iver Tildheim Andersen,NOR,True,0,NORWAY I,2,55:04.8,3,M,Mixed Relay,1622.782137616842,1663.5016911508014,1381.5884729119346,1609.3614649560786,1245.1004183799744,1256.4330014370414,1265.3091161130942,1360.5884696939568,1609.0838282304578,8590,06/04/2025,Engadin,Switzerland
FOSNAES Kristin Austgulen,Kristin Austgulen Fosnæs,NOR,True,0,NORWAY I,2,55:04.8,4,F,Mixed Relay,1566.7285132368045,1570.9627103466073,1444.6106123668978,1450.328560220947,1355.454634597109,1308.7818497711228,1356.5129096430126,1443.4437735556232,1485.640141677677,4268,06/04/2025,Engadin,Switzerland
BAUMANN Jonas,Jonas Baumann,SUI,True,0,SWITZERLAND I,3,55:18.3,1,M,Mixed Relay,1464.1553319442469,1477.8146545011862,1426.5997417111762,1383.2271720958602,1226.2697733472558,1198.7744564172824,1228.3017334989345,1437.1131713320754,1348.886195616042,1534,06/04/2025,Engadin,Switzerland
WEBER Anja,Anja Weber,SUI,True,0,SWITZERLAND I,3,55:18.3,2,F,Mixed Relay,1484.5025186406283,1367.9022078422254,1330.651213475532,1314.680042055181,1478.7786822836492,1376.2983554626578,1467.2250671880277,1384.9088749542846,1446.0331270716742,6338,06/04/2025,Engadin,Switzerland
RUEESCH Jason,Jason Rüesch,SUI,True,0,SWITZERLAND I,3,55:18.3,3,M,Mixed Relay,1450.5987772092851,1437.2454610571262,1348.2739852250636,1389.356377346109,1334.838508526252,1228.6781238976073,1360.0882024979662,1359.4922262348684,1413.954776466215,2732,06/04/2025,Engadin,Switzerland
