FIS_Name,Skier,Nation,In_FIS_List,Price,Team_Name,Team_Rank,Team_Time,Team_Position,Sex,Race_Type,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,ID,Race_Date,City,Country
STEPHEN Thomas,Thomas Stephen,CAN,True,213,CANADA II,11,56:29.2,18-3,M,Mixed Relay,1290.3698163181668,1292.8625715720252,1315.2385152938186,1273.568489937274,1286.1711528585197,1233.6484290050726,1279.4827054214184,1315.0429866433285,1267.7783655848953,12678,3/15/25,Engadin,Switzerland
NOVAK Michal,Michal Novak,CZE,True,1117,CZECH REPUBLIC I,12,56:29.8,10-1,M,Mixed Relay,1595.729626814228,1579.1524842890772,1475.4555577255185,1499.522103289849,1536.4057939243733,1406.853091488306,1586.2526486901588,1460.963740613672,1577.1019011440585,3655,3/15/25,Engadin,Switzerland
BAUER Matyas,Matyas Bauer,CZE,True,216,CZECH REPUBLIC I,12,56:29.8,10-3,M,Mixed Relay,1276.054113805433,1301.6492665374335,1320.9451531184657,1262.6290473393174,1231.0215238369278,1241.2530542406816,1250.8436996035105,1284.607501245543,1234.1384647935909,18927,3/15/25,Engadin,Switzerland
CAROLLO Martino,Martino Carollo,ITA,True,231,ITALY I,13,56:44.5,6-1,M,Mixed Relay,1423.2572432637785,1367.234292660404,1328.7777140202722,1328.1167231182872,1433.378783833314,1318.962353209497,1468.532844087288,1338.522292809664,1426.116616737862,19980,3/15/25,Engadin,Switzerland
VENTURA Paolo,Paolo Ventura,ITA,True,230,ITALY I,13,56:44.5,6-3,M,Mixed Relay,1420.374203747265,1436.380627487993,1386.7023364696756,1384.020600783747,1129.8048009864294,1206.9755076311728,1119.003214276986,1366.8953042222909,1365.6558911830211,6009,3/15/25,Engadin,Switzerland
MCMULLEN Zanden,Zanden McMullen,USA,True,951,UNITED STATES OF AMERICA I,14,57:10.6,5-1,M,Mixed Relay,1411.2440307702782,1439.1192823298545,1388.3334095382393,1407.5939168838213,1363.2377513877548,1353.4626974763576,1328.6608413388806,1384.7059032731916,1406.949755411201,12698,3/15/25,Engadin,Switzerland
OGDEN Ben,Ben Ogden,USA,True,4778,UNITED STATES OF AMERICA I,14,57:10.6,5-3,M,Mixed Relay,1606.2610043594318,1513.796260952896,1454.0306498114649,1418.204784968768,1683.958857832358,1560.352687347936,1681.7899847581525,1522.0234918510084,1613.953718829763,9179,3/15/25,Engadin,Switzerland
STERN Nejc,Nejc Stern,SLO,True,228,SLOVENIA I,15,57:54.1,11-1,M,Mixed Relay,1348.257228429419,1231.4750774190527,1276.6206717601149,1271.571193010889,1418.3495155599278,1388.3412760661508,1400.6566228859565,1348.4897194389912,1341.7806493524124,18932,3/15/25,Engadin,Switzerland
LICEF Miha,Miha Licef,SLO,True,222,SLOVENIA I,15,57:54.1,11-3,M,Mixed Relay,1249.407586157223,1257.9129141112635,1262.7741373121953,1246.9299576781182,1187.454297284004,1221.42342006417,1182.6714163640129,1244.8574121835634,1223.5780528065122,5911,3/15/25,Engadin,Switzerland
JAGER Luke,Luke Jager,USA,True,232,UNITED STATES OF AMERICA II,16,58:39.0,16-1,M,Mixed Relay,1205.5442076878192,1200.3697896043025,1260.5584242518244,1193.697602762723,1291.1236154209564,1295.4341335780182,1257.1999632262084,1254.9537777596515,1180.742384471141,9176,3/15/25,Engadin,Switzerland
SCHOONMAKER JC,James Clinton Schoonmaker,USA,True,755,UNITED STATES OF AMERICA II,16,58:39.0,16-3,M,Mixed Relay,1501.1038911030248,1264.3441717913934,1282.1970892748243,1248.7236557077815,1632.9636579910436,1544.157527384972,1618.516862742744,1457.3593877478836,1480.1207698198389,9201,3/15/25,Engadin,Switzerland
HINCKFUSS Hugo,Hugo Hinckfuss,AUS,True,228,AUSTRALIA I,17,1:00:22.2,13-1,M,Mixed Relay,1193.1500345139077,1206.5506897511857,1184.089847888734,1267.2192944545843,1248.6882110103547,1264.1161954056192,1259.5862145756469,1171.2028393648054,1235.2228495468328,12412,3/15/25,Engadin,Switzerland
DE CAMPO Seve,Seve De Campo,AUS,True,212,AUSTRALIA I,17,1:00:22.2,13-3,M,Mixed Relay,1090.3006407353498,1103.711898179217,1138.0481605936063,1119.5196001892066,1093.3215174269058,1188.010685310241,1091.7314646118011,1117.3200976314847,1076.335081302352,8036,3/15/25,Engadin,Switzerland
LISOHOR Oleksandr,Oleksandr Lisohor,UKR,True,221,UKRAINE I,18,1:02:16.2,14-1,M,Mixed Relay,1169.1184002956625,1190.0066811308468,1264.8543781330245,1215.385621230129,1206.0948705679343,1189.470242710728,1240.6499819779608,1180.884509546844,1204.0914485825926,13173,3/15/25,Engadin,Switzerland
DRAHUN Dmytro,Dmytro Drahun,UKR,True,231,UKRAINE I,18,1:02:16.2,14-3,M,Mixed Relay,1159.974301671698,1112.5070109283802,1169.0787199582207,1180.6674393622056,1270.9584663761168,1234.927511211837,1287.726894328788,1151.4907616535436,1202.3760112239154,8058,3/15/25,Engadin,Switzerland
BEXULTAN Yernur,Yernur Bexultan,KAZ,True,0,KAZAKHSTAN I,19,,12-1,M,Mixed Relay,1212.6333076872609,1279.9821292397658,1236.6667201944497,1290.1086613941538,1226.042700189231,1255.4480030881243,1236.867826548004,1254.9034640706757,1243.411496849301,13128,3/15/25,Engadin,Switzerland
KASSENOV Didar,Didar Kassenov,KAZ,True,0,KAZAKHSTAN I,19,,12-3,M,Mixed Relay,1217.959033235349,1267.0994027206011,1236.6667201944497,1266.7753280608204,1248.0636659988816,1277.8480030881244,1240.867826548004,1274.7367974040087,1215.8892232380133,12419,3/15/25,Engadin,Switzerland
