FIS_Name,Skier,ID,Nation,In_FIS_List,Price,Team_Name,Team_Rank,Team_Time,Team_Position,Race_Date,City,Country,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo
Hannah Price,Hannah Price,6449,Australia,False,0,AUSTRALIA I,0,,,01/23/2026,Goms,Switzerland,1071.7368603979105,1091.5942448217525,1187.5589885208556,1184.5161342227773,1232.4684497127903,1248.253270871046,1278.4930282088528,1148.3960573845068,1161.5819049644815
Ava McCann,Ava McCann,11157,Australia,False,0,AUSTRALIA I,0,,,01/23/2026,Goms,Switzerland,1287.6346031437836,1293.0238039306296,1298.9475039587896,1296.3426381527456,1293.7689488621738,1298.5788283900506,1294.130666217451,1296.1065322300235,1291.5963683294394
Heli Laajoki,Heli Laajoki,10624,Australia,False,0,AUSTRALIA I,0,,,01/23/2026,Goms,Switzerland,1112.443222474922,1166.7358362705586,1237.434651809128,1238.7016564227158,1227.5385695434709,1234.3581951245949,1292.817455863845,1176.2876014046,1209.927362829222
Sarah Slattery,Sarah Slattery,4870,Australia,False,0,AUSTRALIA I,0,,,01/23/2026,Goms,Switzerland,1097.218681712618,1133.7723273547815,1230.1166804040472,1171.9594031993172,1212.972589227477,1262.7909264238024,1238.9326614103898,1200.068903383608,1117.3799126184938
Hannah Gray,Hannah Gray,11163,Australia,False,0,AUSTRALIA I,0,,,01/23/2026,Goms,Switzerland,1265.937107858579,1276.6481385935213,1290.082426758819,1289.8807142228875,1287.515220003433,1298.3280334000597,1285.8319445294,1288.6677063522382,1276.6491692324037
Sean-Hope Craig,Sean-Hope Craig,10626,Australia,False,0,AUSTRALIA I,0,,,01/23/2026,Goms,Switzerland,1285.7464273069138,1293.2174871075736,1297.7604096011282,1297.7499621848954,1292.596593628516,1298.5788283900506,1292.6921117164875,1294.284280597236,1292.4438212950345
Harriet Greville,Harriet Greville,11690,Australia,False,0,AUSTRALIA I,0,,,01/23/2026,Goms,Switzerland,1270.5051285295992,1279.6797802227622,1291.1105881459553,1291.0560472829818,1289.321327171722,1299.1500139766722,1287.356089552877,1289.0424800665896,1279.7521257246956
Laura Finch,Laura Finch,12267,Australia,False,0,AUSTRALIA I,0,,,01/23/2026,Goms,Switzerland,1297.5200910128683,1238.6738064704537,1263.7303431750056,1263.7393757425248,1297.599638011574,1273.3435307385596,1296.3536807111557,1256.3936051374894,1297.263996593898
Elle Sankey,Elle Sankey,11691,Australia,False,0,AUSTRALIA I,0,,,01/23/2026,Goms,Switzerland,1291.0873893491748,1294.408175869039,1298.8099059932815,1297.1706262539385,1295.7928601016154,1299.1500139766722,1295.6916612876496,1296.4887720266986,1294.2215087046054
Aimee Watson,Aimee Watson,754,Australia,False,0,AUSTRALIA I,0,,,01/23/2026,Goms,Switzerland,1136.366821721266,1146.4076228509396,1210.9604798596974,1185.8316314004774,1227.458800914701,1246.7856804248695,1200.735830388255,1205.7527475424115,1170.1464658444966
Ellen Søhol Lie,Ellen Søhol Lie,6627,Australia,False,0,AUSTRALIA I,0,,,01/23/2026,Goms,Switzerland,1111.6537125544212,1139.9855017752209,1202.1403474013723,1185.2024522373806,1172.339334094847,1172.3888725229294,1217.088135736933,1139.252533851118,1156.2714344370636
Anna Trnka,Anna Trnka,1607,Australia,False,0,AUSTRALIA I,0,,,01/23/2026,Goms,Switzerland,1244.3926305432535,1259.5567823459155,1176.358738162089,1189.8787463495964,1279.6172723493512,1278.2630288597402,1263.2383073422202,1277.615866118629,1165.8251367609837
Phoebe Cridland,Phoebe Cridland,5184,Australia,False,0,AUSTRALIA I,0,,,01/23/2026,Goms,Switzerland,1206.1736900511185,1211.4656922561542,1230.834667753748,1235.5793911569654,1245.1465850988868,1220.190688787959,1260.9502123899515,1199.8327086521936,1230.9547937046798
Katerina Paul,Katerina Paul,1856,Australia,False,0,AUSTRALIA I,0,,,01/23/2026,Goms,Switzerland,1213.3713477698432,1269.0140181309391,1272.2669282125182,1249.8733027804064,1232.7051832279003,1284.796389444537,1176.1024636374607,1267.1311344379606,1205.6660305705311
Katharina Brudermann,Katharina Brudermann,5040,Austria,False,0,AUSTRIA I,0,,,01/23/2026,Goms,Switzerland,1189.9448394003764,1221.52012195852,1197.7672254784006,1307.8228156224743,1216.372438236824,1268.6782724061366,1191.2440020286856,1195.7604054297556,1248.32226517066
Teresa Stadlober,Teresa Stadlober,529,Austria,False,0,AUSTRIA I,0,,,01/23/2026,Goms,Switzerland,1691.387733078898,1732.629845288624,1657.5633459602786,1554.9777703802797,1297.0403847671744,1266.592282166043,1303.166931468707,1609.3246528684165,1560.1006143383015
Magdalena Scherz,Magdalena Scherz,6707,Austria,False,0,AUSTRIA I,0,,,01/23/2026,Goms,Switzerland,1415.111090001429,1265.7331317341352,1269.2779101218418,1264.538454482853,1437.8762813746227,1318.870133677211,1468.4064178076364,1313.439786851012,1416.4325550665571
