Date,Startlist,Sex,City,Country,Distance,RaceType,Period,Elevation,Championship,Race
01/18/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3514,M,Oberhof,Germany,10.0,Individual,3,728,0,13
01/18/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3513,L,Oberhof,Germany,5.0,Individual,4,728,0,11
01/30/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3518,M,Seefeld,Austria,10.0,Mass Start,3,1203,0,14
01/30/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3517,L,Seefeld,Austria,5.0,Mass Start,4,1203,0,12
01/31/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3520,M,Seefeld,Austria,7.5,IndividualCompact,3,1203,0,15
01/31/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3519,L,Seefeld,Austria,5.0,IndividualCompact,4,1203,0,13
02/01/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3522,M,Seefeld,Austria,12.5,Individual,3,1203,0,16
02/01/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3521,L,Seefeld,Austria,7.5,Individual,5,1203,0,14
02/11/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3534,M,Milano Cortina,Italy,10.0,Individual,4,1082,1,17
02/17/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3535,M,Milano Cortina,Italy,10.0,Individual,4,1082,1,18
02/19/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3536,M,Milano Cortina,Italy,N/A,Team Sprint,4,1082,1,19
02/27/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3524,M,Kulm,Austria,7.5,IndividualCompact,5,835,0,20
03/06/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3528,M,Lahti,Finland,10.0,Individual,5,86,0,21
03/06/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3527,L,Lahti,Finland,5.0,Individual,5,86,0,15
03/07/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3529,Mixed,Lahti,Finland,N/A,Team,5,86,0,1
03/15/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3533,M,Oslo,Norway,10.0,Individual,5,340,0,22
03/15/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3532,L,Oslo,Norway,5.0,Individual,5,340,0,16
