Date,City,Country,Event,HillSize,Distance,RaceType,MassStart,TeamEvent,Season,Race,Sex,Place,Skier,Nation,ID,Birthday,Leg,TeamID,SJ_Pos,CC_Pos,Age,Exp
2022-03-12,Schonach,Germany,World Cup,106,5,Individual,0,0,2022,7,L,19,Magdalena Burger,Germany,108,2005-11-05T00:00:00.000000,0,"",18,16,16.347707049965777,1
2022-03-13,Schonach,Germany,World Cup,106,5,Individual,0,0,2022,8,L,16,Magdalena Burger,Germany,108,2005-11-05T00:00:00.000000,0,"",13,19,16.35044490075291,2
2022-12-02,Lillehammer,Norway,World Cup,100,5,Individual,0,0,2023,1,L,11,Magdalena Burger,Germany,108,2005-11-05T00:00:00.000000,0,"",11,10,17.073237508555785,3
2022-12-03,Lillehammer,Norway,World Cup,100,5,Individual,0,0,2023,2,L,20,Magdalena Burger,Germany,108,2005-11-05T00:00:00.000000,0,"",16,21,17.075975359342916,4
2022-12-17,Ramsau,Austria,World Cup,97,5,Individual,0,0,2023,4,L,24,Magdalena Burger,Germany,108,2005-11-05T00:00:00.000000,0,"",15,26,17.114305270362767,5
2023-01-08,Otepää,Estonia,World Cup,97,5,Individual,0,0,2023,5,L,18,Magdalena Burger,Germany,108,2005-11-05T00:00:00.000000,0,"",9,22,17.17453798767967,6
2023-01-27,Seefeld,Austria,World Cup,109,5,Individual,0,0,2023,6,L,23,Magdalena Burger,Germany,108,2005-11-05T00:00:00.000000,0,"",23,21,17.22655715263518,7
2023-01-28,Seefeld,Austria,World Cup,109,5,Individual,0,0,2023,7,L,16,Magdalena Burger,Germany,108,2005-11-05T00:00:00.000000,0,"",13,18,17.229295003422312,8
2023-02-11,Schonach,Germany,World Cup,100,5,Individual,0,0,2023,8,L,18,Magdalena Burger,Germany,108,2005-11-05T00:00:00.000000,0,"",13,20,17.267624914442163,9
2023-02-12,Schonach,Germany,World Cup,100,5,Individual,0,0,2023,9,L,19,Magdalena Burger,Germany,108,2005-11-05T00:00:00.000000,0,"",15,20,17.270362765229294,10
2023-03-11,Holmenkollen,Norway,World Cup,106,5,Individual,0,0,2023,11,L,15,Magdalena Burger,Germany,108,2005-11-05T00:00:00.000000,0,"",13,21,17.34428473648186,11
2023-12-01,Lillehammer,Norway,World Cup,98,5,Individual,0,0,2024,1,L,23,Magdalena Burger,Germany,108,2005-11-05T00:00:00.000000,0,"",25,20,18.069815195071868,12
2023-12-02,Lillehammer,Norway,World Cup,98,5,Individual,0,0,2024,2,L,21,Magdalena Burger,Germany,108,2005-11-05T00:00:00.000000,0,"",23,20,18.072553045859,13
2024-01-13,Oberstdorf,Germany,World Cup,106,5,Individual,0,0,2024,5,L,20,Anne Häckel,Germany,110,2005-01-10T00:00:00.000000,0,"",9,27,19.006160164271048,1
2024-01-14,Oberstdorf,Germany,World Cup,N/A,N/A,Individual Compact,0,0,2024,6,L,26,Anne Häckel,Germany,110,2005-01-10T00:00:00.000000,0,"",9,28,19.00889801505818,2
2024-01-27,Schonach,Germany,World Cup,100,5,Individual,0,0,2024,7,L,16,Anne Häckel,Germany,110,2005-01-10T00:00:00.000000,0,"",8,26,19.044490075290895,3
2024-01-28,Schonach,Germany,World Cup,100,7.5,Individual,0,0,2024,8,L,20,Anne Häckel,Germany,110,2005-01-10T00:00:00.000000,0,"",10,25,19.04722792607803,4
2024-03-17,Trondheim,Norway,World Cup,100,7.5,Individual,0,0,2024,15,L,20,Anne Häckel,Germany,110,2005-01-10T00:00:00.000000,0,"",12,28,19.1813826146475,5
2025-01-18,Schonach,Germany,World Cup,100,5,Individual,0,0,2025,5,L,23,Anne Häckel,Germany,110,2005-01-10T00:00:00.000000,0,"",12,29,20.021902806297057,6
2025-01-19,Schonach,Germany,World Cup,100,5,Individual Compact,0,0,2025,6,L,28,Anne Häckel,Germany,110,2005-01-10T00:00:00.000000,0,"",18,28,20.024640657084188,7
2021-12-03,Lillehammer,Norway,World Cup,98,5,Individual,0,0,2022,1,L,23,Ami Sawaya,Japan,160,1999-09-14T00:00:00.000000,0,"",26,4,22.220396988364133,1
2021-12-04,Lillehammer,Norway,World Cup,98,5,Individual,0,0,2022,2,L,24,Ami Sawaya,Japan,160,1999-09-14T00:00:00.000000,0,"",26,11,22.223134839151268,2
2021-12-12,Otepää,Estonia,World Cup,97,5,Individual,0,0,2022,4,L,20,Ami Sawaya,Japan,160,1999-09-14T00:00:00.000000,0,"",23,9,22.245037645448324,3
2021-12-17,Ramsau,Austria,World Cup,98,5,Individual,0,0,2022,5,L,25,Ami Sawaya,Japan,160,1999-09-14T00:00:00.000000,0,"",25,18,22.258726899383984,4
2022-01-08,Val di Fiemme,Italy,World Cup,104,5,Mass Start,1,0,2022,6,L,18,Ami Sawaya,Japan,160,1999-09-14T00:00:00.000000,0,"",21,6,22.31895961670089,5
2020-12-18,Ramsau,Austria,World Cup,98,N/A,Individual,0,0,2021,1,L,14,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",14,16,16.870636550308006,1
2021-02-27,Oberstdorf,Germany,World Championship,106,N/A,Individual,0,0,2021,2,L,16,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",15,15,17.065023956194388,2
2021-12-03,Lillehammer,Norway,World Cup,98,5,Individual,0,0,2022,1,L,13,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",13,16,17.828884325804243,3
2021-12-04,Lillehammer,Norway,World Cup,98,5,Individual,0,0,2022,2,L,8,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",5,13,17.831622176591374,4
2021-12-11,Otepää,Estonia,World Cup,97,5,Mass Start,1,0,2022,3,L,3,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",3,12,17.8507871321013,5
2021-12-12,Otepää,Estonia,World Cup,97,5,Individual,0,0,2022,4,L,7,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",7,11,17.853524982888434,6
2021-12-17,Ramsau,Austria,World Cup,98,5,Individual,0,0,2022,5,L,3,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",3,10,17.867214236824093,7
2022-01-08,Val di Fiemme,Italy,World Cup,104,5,Mass Start,1,0,2022,6,L,4,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",2,9,17.927446954141,8
2022-12-02,Lillehammer,Norway,World Cup,100,5,Individual,0,0,2023,1,L,7,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",7,11,18.82546201232033,9
2022-12-03,Lillehammer,Norway,World Cup,100,5,Individual,0,0,2023,2,L,6,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",5,8,18.82819986310746,10
2022-12-16,Ramsau,Austria,World Cup,97,5,Individual,0,0,2023,3,L,7,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",8,12,18.863791923340177,11
2022-12-17,Ramsau,Austria,World Cup,97,5,Individual,0,0,2023,4,L,10,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",10,12,18.86652977412731,12
2023-01-08,Otepää,Estonia,World Cup,97,5,Individual,0,0,2023,5,L,5,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",7,10,18.926762491444215,13
2023-01-27,Seefeld,Austria,World Cup,109,5,Individual,0,0,2023,6,L,9,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",4,19,18.978781656399725,14
2023-01-28,Seefeld,Austria,World Cup,109,5,Individual,0,0,2023,7,L,6,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",4,15,18.981519507186857,15
2023-02-11,Schonach,Germany,World Cup,100,5,Individual,0,0,2023,8,L,3,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",4,9,19.019849418206707,16
2023-02-12,Schonach,Germany,World Cup,100,5,Individual,0,0,2023,9,L,4,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",5,8,19.02258726899384,17
2023-02-24,Planica,Slovenia,World Championship,100,5,Individual,0,0,2023,10,L,5,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",4,9,19.055441478439423,18
2023-03-11,Holmenkollen,Norway,World Cup,106,5,Individual,0,0,2023,11,L,7,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",8,10,19.096509240246405,19
2023-12-01,Lillehammer,Norway,World Cup,98,5,Individual,0,0,2024,1,L,15,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",14,19,19.822039698836413,20
2023-12-02,Lillehammer,Norway,World Cup,98,5,Individual,0,0,2024,2,L,12,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",12,15,19.824777549623544,21
2023-12-15,Ramsau,Austria,World Cup,98,5,Individual,0,0,2024,3,L,13,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",10,15,19.860369609856264,22
2023-12-16,Ramsau,Austria,World Cup,N/A,N/A,Individual Compact,0,0,2024,4,L,14,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",14,15,19.863107460643395,23
2024-01-13,Oberstdorf,Germany,World Cup,106,5,Individual,0,0,2024,5,L,15,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",16,17,19.939767282683093,24
2024-01-14,Oberstdorf,Germany,World Cup,N/A,N/A,Individual Compact,0,0,2024,6,L,17,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",23,17,19.942505133470224,25
2024-01-27,Schonach,Germany,World Cup,100,5,Individual,0,0,2024,7,L,10,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",13,10,19.978097193702943,26
2024-01-28,Schonach,Germany,World Cup,100,7.5,Individual,0,0,2024,8,L,7,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",9,16,19.980835044490075,27
2024-02-02,Seefeld,Austria,World Cup,109,5,Individual,0,0,2024,9,L,8,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",9,15,19.994524298425734,28
2024-02-03,Seefeld,Austria,World Cup,109,5,Individual Compact,0,0,2024,10,L,13,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",7,13,19.99726214921287,29
2024-02-09,Otepää,Estonia,World Cup,97,5,Mass Start,1,0,2024,11,L,15,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",16,11,20.01368925393566,30
2024-02-10,Otepää,Estonia,World Cup,97,5,Individual,0,0,2024,12,L,12,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",13,14,20.01642710472279,31
2024-02-11,Otepää,Estonia,World Cup,97,5,Individual,0,0,2024,13,L,6,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",10,4,20.019164955509925,32
2024-03-09,Holmenkollen,Norway,World Cup,106,5,Individual,0,0,2024,14,L,9,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",11,11,20.093086926762492,33
2024-03-17,Trondheim,Norway,World Cup,100,7.5,Individual,0,0,2024,15,L,7,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",8,11,20.11498973305955,34
2024-12-06,Lillehammer,Norway,World Cup,98,5,Individual,0,0,2025,1,L,7,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",9,15,20.83778234086242,35
2024-12-07,Lillehammer,Norway,World Cup,98,5,Individual Compact,0,0,2025,2,L,8,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",4,17,20.840520191649556,36
2024-12-20,Ramsau,Austria,World Cup,96,5,Mass Start,1,0,2025,3,L,5,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",4,11,20.876112251882272,37
2024-12-21,Ramsau,Austria,World Cup,96,5,Individual Compact,0,0,2025,4,L,11,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",7,13,20.878850102669404,38
2025-01-18,Schonach,Germany,World Cup,100,5,Individual,0,0,2025,5,L,4,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",2,12,20.9555099247091,39
2025-01-19,Schonach,Germany,World Cup,100,5,Individual Compact,0,0,2025,6,L,9,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",2,15,20.958247775496236,40
2025-01-31,Seefeld,Austria,World Cup,109,5,Mass Start,1,0,2025,7,L,4,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",7,8,20.99110198494182,41
2025-02-01,Seefeld,Austria,World Cup,109,5,Individual Compact,0,0,2025,8,L,4,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",5,4,20.993839835728952,42
2025-02-02,Seefeld,Austria,World Cup,109,5,Individual,0,0,2025,9,L,5,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",3,6,20.996577686516083,43
2025-02-07,Otepää,Estonia,World Cup,97,5,Mass Start,1,0,2025,10,L,1,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",3,5,21.010266940451746,44
2025-02-08,Otepää,Estonia,World Cup,97,5,Individual,0,0,2025,11,L,4,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",5,9,21.013004791238878,45
2025-02-09,Otepää,Estonia,World Cup,97,5,Individual Compact,0,0,2025,12,L,4,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",3,10,21.01574264202601,46
2025-02-27,Trondheim,Norway,World Championship,102,5,Mass Start,1,0,2025,13,L,1,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",3,3,21.065023956194388,47
2025-03-02,Trondheim,Norway,World Championship,102,5,Individual,0,0,2025,14,L,6,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",9,7,21.073237508555785,48
2025-03-15,Holmenkollen,Norway,World Cup,134,5,Individual,0,0,2025,15,L,7,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",6,13,21.1088295687885,49
2025-03-16,Holmenkollen,Norway,World Cup,134,5,Individual Compact,0,0,2025,16,L,6,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",8,9,21.111567419575632,50
2025-12-05,Trondheim,Norway,World Cup,102,5,Individual Compact,0,0,2026,1,L,7,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",9,8,21.83436002737851,1
2025-12-06,Trondheim,Norway,World Cup,102,5,Mass Start,1,0,2026,2,L,6,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",7,10,21.83709787816564,2
2025-12-19,Ramsau,Austria,World Cup,98,5,Mass Start,1,0,2026,3,L,5,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",6,6,21.872689938398356,3
2025-12-20,Ramsau,Austria,World Cup,98,5,Individual,0,0,2026,4,L,9,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",10,8,21.87542778918549,4
2026-01-09,Otepää,Estonia,World Cup,97,5,Mass Start,1,0,2026,5,L,6,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",6,10,21.930184804928132,5
2026-01-10,Otepää,Estonia,World Cup,97,5,Individual,0,0,2026,6,L,2,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",6,5,21.932922655715263,6
2026-01-11,Otepää,Estonia,World Cup,97,5,Individual Compact,0,0,2026,7,L,8,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",9,8,21.935660506502394,7
2026-01-17,Oberhof,Germany,World Cup,100,5,Individual,0,0,2026,8,L,7,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",13,8,21.95208761122519,8
2026-01-18,Oberhof,Germany,World Cup,100,5,Individual,0,0,2026,9,L,10,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",9,14,21.95482546201232,9
2026-01-30,Seefeld,Austria,World Cup,109,5,Mass Start,1,0,2026,10,L,5,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",7,10,21.987679671457904,10
2026-01-31,Seefeld,Austria,World Cup,109,5,Individual Compact,0,0,2026,11,L,6,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",6,7,21.990417522245036,11
2026-02-01,Seefeld,Austria,World Cup,109,7.5,Individual,0,0,2026,12,L,6,Yuna Kasai,Japan,161,2004-02-04T00:00:00.000000,0,"",5,7,21.99315537303217,12
2020-12-18,Ramsau,Austria,World Cup,98,N/A,Individual,0,0,2021,1,L,23,Sana Azegami,Japan,162,2001-11-04T00:00:00.000000,0,"",28,12,19.121149897330596,1
2021-02-27,Oberstdorf,Germany,World Championship,106,N/A,Individual,0,0,2021,2,L,12,Sana Azegami,Japan,162,2001-11-04T00:00:00.000000,0,"",16,9,19.315537303216974,2
2022-12-02,Lillehammer,Norway,World Cup,100,5,Individual,0,0,2023,1,L,16,Sana Azegami,Japan,162,2001-11-04T00:00:00.000000,0,"",16,17,21.075975359342916,3
2022-12-03,Lillehammer,Norway,World Cup,100,5,Individual,0,0,2023,2,L,13,Sana Azegami,Japan,162,2001-11-04T00:00:00.000000,0,"",14,11,21.078713210130047,4
2022-12-16,Ramsau,Austria,World Cup,97,5,Individual,0,0,2023,3,L,13,Sana Azegami,Japan,162,2001-11-04T00:00:00.000000,0,"",12,10,21.114305270362763,5
2022-12-17,Ramsau,Austria,World Cup,97,5,Individual,0,0,2023,4,L,13,Sana Azegami,Japan,162,2001-11-04T00:00:00.000000,0,"",14,13,21.117043121149898,6
2023-01-27,Seefeld,Austria,World Cup,109,5,Individual,0,0,2023,6,L,22,Sana Azegami,Japan,162,2001-11-04T00:00:00.000000,0,"",20,24,21.229295003422312,7
2023-02-11,Schonach,Germany,World Cup,100,5,Individual,0,0,2023,8,L,21,Sana Azegami,Japan,162,2001-11-04T00:00:00.000000,0,"",21,18,21.270362765229294,8
2023-02-12,Schonach,Germany,World Cup,100,5,Individual,0,0,2023,9,L,21,Sana Azegami,Japan,162,2001-11-04T00:00:00.000000,0,"",22,18,21.27310061601643,9
2023-02-24,Planica,Slovenia,World Championship,100,5,Individual,0,0,2023,10,L,21,Sana Azegami,Japan,162,2001-11-04T00:00:00.000000,0,"",22,26,21.305954825462013,10
2023-12-01,Lillehammer,Norway,World Cup,98,5,Individual,0,0,2024,1,L,17,Sana Azegami,Japan,162,2001-11-04T00:00:00.000000,0,"",22,16,22.072553045859,11
2023-12-02,Lillehammer,Norway,World Cup,98,5,Individual,0,0,2024,2,L,17,Sana Azegami,Japan,162,2001-11-04T00:00:00.000000,0,"",18,21,22.075290896646134,12
2023-12-15,Ramsau,Austria,World Cup,98,5,Individual,0,0,2024,3,L,19,Sana Azegami,Japan,162,2001-11-04T00:00:00.000000,0,"",22,16,22.11088295687885,13
2023-12-16,Ramsau,Austria,World Cup,N/A,N/A,Individual Compact,0,0,2024,4,L,17,Sana Azegami,Japan,162,2001-11-04T00:00:00.000000,0,"",17,16,22.11362080766598,14
2024-01-13,Oberstdorf,Germany,World Cup,106,5,Individual,0,0,2024,5,L,23,Sana Azegami,Japan,162,2001-11-04T00:00:00.000000,0,"",24,21,22.19028062970568,15
2024-01-14,Oberstdorf,Germany,World Cup,N/A,N/A,Individual Compact,0,0,2024,6,L,22,Sana Azegami,Japan,162,2001-11-04T00:00:00.000000,0,"",21,20,22.193018480492814,16
2024-01-27,Schonach,Germany,World Cup,100,5,Individual,0,0,2024,7,L,24,Sana Azegami,Japan,162,2001-11-04T00:00:00.000000,0,"",24,20,22.22861054072553,17
2024-01-28,Schonach,Germany,World Cup,100,7.5,Individual,0,0,2024,8,L,18,Sana Azegami,Japan,162,2001-11-04T00:00:00.000000,0,"",18,17,22.23134839151266,18
2024-02-02,Seefeld,Austria,World Cup,109,5,Individual,0,0,2024,9,L,18,Sana Azegami,Japan,162,2001-11-04T00:00:00.000000,0,"",20,17,22.245037645448324,19
2024-02-03,Seefeld,Austria,World Cup,109,5,Individual Compact,0,0,2024,10,L,15,Sana Azegami,Japan,162,2001-11-04T00:00:00.000000,0,"",17,14,22.247775496235455,20
2024-02-09,Otepää,Estonia,World Cup,97,5,Mass Start,1,0,2024,11,L,19,Sana Azegami,Japan,162,2001-11-04T00:00:00.000000,0,"",19,18,22.264202600958246,21
2024-02-10,Otepää,Estonia,World Cup,97,5,Individual,0,0,2024,12,L,20,Sana Azegami,Japan,162,2001-11-04T00:00:00.000000,0,"",20,20,22.26694045174538,22
2024-02-11,Otepää,Estonia,World Cup,97,5,Individual,0,0,2024,13,L,19,Sana Azegami,Japan,162,2001-11-04T00:00:00.000000,0,"",19,20,22.269678302532512,23
2024-12-06,Lillehammer,Norway,World Cup,98,5,Individual,0,0,2025,1,L,12,Sana Azegami,Japan,162,2001-11-04T00:00:00.000000,0,"",16,10,23.08829568788501,24
2024-12-07,Lillehammer,Norway,World Cup,98,5,Individual Compact,0,0,2025,2,L,16,Sana Azegami,Japan,162,2001-11-04T00:00:00.000000,0,"",19,14,23.091033538672143,25
2024-12-20,Ramsau,Austria,World Cup,96,5,Mass Start,1,0,2025,3,L,16,Sana Azegami,Japan,162,2001-11-04T00:00:00.000000,0,"",17,15,23.12662559890486,26
2024-12-21,Ramsau,Austria,World Cup,96,5,Individual Compact,0,0,2025,4,L,18,Sana Azegami,Japan,162,2001-11-04T00:00:00.000000,0,"",19,16,23.12936344969199,27
2025-01-18,Schonach,Germany,World Cup,100,5,Individual,0,0,2025,5,L,24,Sana Azegami,Japan,162,2001-11-04T00:00:00.000000,0,"",22,27,23.20602327173169,28
2025-01-19,Schonach,Germany,World Cup,100,5,Individual Compact,0,0,2025,6,L,27,Sana Azegami,Japan,162,2001-11-04T00:00:00.000000,0,"",24,26,23.208761122518823,29
2025-02-07,Otepää,Estonia,World Cup,97,5,Mass Start,1,0,2025,10,L,20,Sana Azegami,Japan,162,2001-11-04T00:00:00.000000,0,"",20,20,23.260780287474333,30
2025-02-08,Otepää,Estonia,World Cup,97,5,Individual,0,0,2025,11,L,16,Sana Azegami,Japan,162,2001-11-04T00:00:00.000000,0,"",14,19,23.263518138261464,31
2025-02-09,Otepää,Estonia,World Cup,97,5,Individual Compact,0,0,2025,12,L,20,Sana Azegami,Japan,162,2001-11-04T00:00:00.000000,0,"",18,20,23.266255989048595,32
2025-02-27,Trondheim,Norway,World Championship,102,5,Mass Start,1,0,2025,13,L,26,Sana Azegami,Japan,162,2001-11-04T00:00:00.000000,0,"",26,21,23.315537303216974,33
2025-03-02,Trondheim,Norway,World Championship,102,5,Individual,0,0,2025,14,L,30,Sana Azegami,Japan,162,2001-11-04T00:00:00.000000,0,"",29,29,23.32375085557837,34
2025-03-15,Holmenkollen,Norway,World Cup,134,5,Individual,0,0,2025,15,L,20,Sana Azegami,Japan,162,2001-11-04T00:00:00.000000,0,"",18,19,23.359342915811087,35
2025-03-16,Holmenkollen,Norway,World Cup,134,5,Individual Compact,0,0,2025,16,L,18,Sana Azegami,Japan,162,2001-11-04T00:00:00.000000,0,"",14,19,23.36208076659822,36
2020-12-18,Ramsau,Austria,World Cup,98,N/A,Individual,0,0,2021,1,L,18,Mille Moen Flatla,Norway,163,2001-08-31T00:00:00.000000,0,"",19,11,19.299110198494184,1
2021-02-27,Oberstdorf,Germany,World Championship,106,N/A,Individual,0,0,2021,2,L,15,Mille Moen Flatla,Norway,163,2001-08-31T00:00:00.000000,0,"",14,17,19.49349760438056,2
2020-12-18,Ramsau,Austria,World Cup,98,N/A,Individual,0,0,2021,1,L,24,Svenja Wuerth,Germany,165,1993-08-20T00:00:00.000000,0,"",11,29,27.329226557152634,1
2021-02-27,Oberstdorf,Germany,World Championship,106,N/A,Individual,0,0,2021,2,L,17,Svenja Wuerth,Germany,165,1993-08-20T00:00:00.000000,0,"",3,27,27.523613963039015,2
2021-12-03,Lillehammer,Norway,World Cup,98,5,Individual,0,0,2022,1,L,15,Svenja Wuerth,Germany,165,1993-08-20T00:00:00.000000,0,"",8,26,28.28747433264887,3
2021-12-04,Lillehammer,Norway,World Cup,98,5,Individual,0,0,2022,2,L,18,Svenja Wuerth,Germany,165,1993-08-20T00:00:00.000000,0,"",8,26,28.290212183436,4
2021-12-17,Ramsau,Austria,World Cup,98,5,Individual,0,0,2022,5,L,20,Svenja Wuerth,Germany,165,1993-08-20T00:00:00.000000,0,"",14,24,28.32580424366872,5
