"Date","City","Country","Nation","RaceType","Season","Race","Event","Elevation","Place","Points","Avg_Elo","Avg_Individual_Elo","Avg_Sprint_Elo","Avg_Pursuit_Elo","Avg_MassStart_Elo","Avg_Pelo","Avg_Individual_Pelo","Avg_Sprint_Pelo","Avg_Pursuit_Pelo","Avg_MassStart_Pelo","MassStart","Sex"
2016-11-27,"Östersund","Sweden","Great Britain","Single Mixed Relay",2017,2,"World Cup",366,18,23,1115.43293525997,1170.74493106254,1094.48657894123,1245.6786546564,NA,1114.43139792874,1147.93521301475,1104.39235849234,1263.36887868242,NA,0,"Mixed"
2016-11-27,"Östersund","Sweden","Italy","Single Mixed Relay",2017,2,"World Cup",366,13,28,1353.17780424797,1389.90261546853,1333.76654540133,1246.99768834532,1276.09691291468,1353.230404675,1394.34664089276,1334.44096611744,1255.85035662071,1288.96177898433,0,"Mixed"
2016-11-27,"Östersund","Sweden","Japan","Single Mixed Relay",2017,2,"World Cup",366,17,24,1275.49553182766,1304.7196159568,1296.68007063689,1267.02310526411,1291.05204029922,1276.5973330426,1258.90756121955,1277.6783538461,1272.06470661514,1297.1350424151,0,"Mixed"
2016-11-27,"Östersund","Sweden","Kazakhstan","Single Mixed Relay",2017,2,"World Cup",366,5,50,1400.52856292002,1555.21877417566,1330.54062521657,1244.50008370421,1281.73656022303,1396.89440558853,1489.03666304329,1335.93014731361,1226.80787953591,1292.9176238752,0,"Mixed"
2016-11-27,"Östersund","Sweden","Latvia","Single Mixed Relay",2017,2,"World Cup",366,12,29,1231.3885294719,1135.9361791284,1240.05925673528,1286.05205059756,1292.57028161734,1228.89959400375,1157.9230621664,1249.86357740305,1283.59064776184,1300,0,"Mixed"
2016-11-27,"Östersund","Sweden","Lithuania","Single Mixed Relay",2017,2,"World Cup",366,22,19,1189.53403746413,1212.79496412465,1200.06145568909,1247.77389942278,NA,1191.81451446193,1172.37242627019,1210.69996644249,1238.55752873269,NA,0,"Mixed"
2016-11-27,"Östersund","Sweden","Norway","Single Mixed Relay",2017,2,"World Cup",366,11,30,1496.42777534592,1677.37139208637,1495.10257637178,1437.89266713212,1354.16353519854,1497.30344522082,1732.01180278263,1482.87990991289,1431.04694036089,1363.72180611593,0,"Mixed"
2016-11-27,"Östersund","Sweden","Poland","Single Mixed Relay",2017,2,"World Cup",366,25,16,1242.37534473908,1207.96373991416,1265.02664945746,1263.6048806131,NA,1247.24389818499,1300,1262.23696548878,1286.44662237985,NA,0,"Mixed"
2016-11-27,"Östersund","Sweden","Romania","Single Mixed Relay",2017,2,"World Cup",366,24,17,1152.27771350208,1116.47776202821,1161.44624142565,1290.8932447597,NA,1155.09929383964,1141.67777334007,1165.94246248327,1300,NA,0,"Mixed"
2016-11-27,"Östersund","Sweden","Russia","Single Mixed Relay",2017,2,"World Cup",366,8,37,1406.63156944363,1528.7370534548,1351.76873923584,1410.17866476394,1300.04711018262,1404.75167109195,1441.15824608066,1336.3761833092,1405.10474624277,1300.05542374426,0,"Mixed"
2016-11-27,"Östersund","Sweden","Slovakia","Single Mixed Relay",2017,2,"World Cup",366,26,15,1201.58168017305,1161.06772035487,1215.13125084626,1263.56612917851,NA,1206.3046105978,1184.63343683609,1202.2947900202,1269.69285435786,NA,0,"Mixed"
2016-11-27,"Östersund","Sweden","Slovenia","Single Mixed Relay",2017,2,"World Cup",366,21,20,1199.42304900293,1214.25668699681,1186.75932311531,1231.56677106853,NA,1201.30683740783,1152.26440300485,1174.70685244014,1234.53394800601,NA,0,"Mixed"
2016-11-27,"Östersund","Sweden","South Korea","Single Mixed Relay",2017,2,"World Cup",366,23,18,1112.2820208575,1099.05201080053,1133.87893008655,NA,NA,1113.994698892,1157.91318641153,1104.56344716064,NA,NA,0,"Mixed"
2016-11-27,"Östersund","Sweden","Sweden","Single Mixed Relay",2017,2,"World Cup",366,4,55,1336.43641766665,1376.464759731,1293.94574724174,1274.53037847126,1295.61073895899,1331.16898611476,1400.87051176063,1290.72093039483,1276.40796353789,1300,0,"Mixed"
2016-11-27,"Östersund","Sweden","Switzerland","Single Mixed Relay",2017,2,"World Cup",366,6,45,1317.08024273267,1214.4215205188,1332.52311163104,1241.85458369263,1293.9707347951,1312.57103342084,1240.73313181243,1336.11182424433,1230.17419800362,1292.90674681776,0,"Mixed"
2016-11-27,"Östersund","Sweden","USA","Single Mixed Relay",2017,2,"World Cup",366,19,22,1338.35482821592,1354.07149025768,1346.9314192491,1196.05497957539,1291.14109440016,1341.41883768784,1346.71380105732,1326.85068789028,1210.76022798556,1289.57775811783,0,"Mixed"
2016-11-27,"Östersund","Sweden","Ukraine","Single Mixed Relay",2017,2,"World Cup",366,9,34,1484.11497179781,1507.10446877553,1450.44462167077,1310.36682692688,1298.59474323874,1484.03946707555,1454.68670741033,1445.03829961316,1312.1962669728,1298.57028161734,0,"Mixed"
2017-03-12,"Kontiolahti","Finland","Austria","Single Mixed Relay",2017,31,"World Cup",127,1,90,1502.83035704478,1506.85059010095,1473.95889574029,1387.24821171509,1285.9602902964,1496.99039549551,1654.33568812378,1466.69229820401,1364.79802238679,1296.11398802349,0,"Mixed"
2017-03-12,"Kontiolahti","Finland","Austria","Single Mixed Relay",2017,32,"World Cup",127,1,90,1723.90451151371,1744.21426991091,1608.03447056161,1508.438455482,1340.07620032869,1721.76652931114,1728.04050657382,1583.06637785967,1492.26450738862,1325.5961818559,0,"Mixed"
2017-03-12,"Kontiolahti","Finland","Belarus","Single Mixed Relay",2017,31,"World Cup",127,15,26,1332.42596122007,1461.91651262741,1285.91515684859,1238.62903981657,1287.03524775041,1331.85620953697,1435.63599124723,1292.73756506487,1248.75924899986,1300,0,"Mixed"
2017-03-12,"Kontiolahti","Finland","Belarus","Single Mixed Relay",2017,32,"World Cup",127,15,26,1346.95817887094,1262.03695107638,1357.5711172089,1259.91798319591,NA,1347.18974218883,1133.21803739042,1358.37052788062,1274.68162460106,NA,0,"Mixed"
2017-03-12,"Kontiolahti","Finland","Bulgaria","Single Mixed Relay",2017,31,"World Cup",127,20,21,1237.50132979972,1403.53934297891,1217.52154033843,1178.52679069482,NA,1238.41306582171,1266.22012860348,1218.87596345786,1190.77069009734,NA,0,"Mixed"
