Team_Name,Nation,Team_Rank,Race_Date,City,Country,Race_Type,Is_Present,Total_Elo,Avg_Elo,Total_Individual_Elo,Avg_Individual_Elo,Total_Sprint_Elo,Avg_Sprint_Elo,Total_Pursuit_Elo,Avg_Pursuit_Elo,Total_MassStart_Elo,Avg_MassStart_Elo,Member_1,Member_1_ID,Member_1_Sex,Member_1_Elo,Member_1_Individual_Elo,Member_1_Sprint_Elo,Member_1_Pursuit_Elo,Member_1_MassStart_Elo,Member_2,Member_2_ID,Member_2_Sex,Member_2_Elo,Member_2_Individual_Elo,Member_2_Sprint_Elo,Member_2_Pursuit_Elo,Member_2_MassStart_Elo,Member_3,Member_3_ID,Member_3_Sex,Member_3_Elo,Member_3_Individual_Elo,Member_3_Sprint_Elo,Member_3_Pursuit_Elo,Member_3_MassStart_Elo,Member_4,Member_4_ID,Member_4_Sex,Member_4_Elo,Member_4_Individual_Elo,Member_4_Sprint_Elo,Member_4_Pursuit_Elo,Member_4_MassStart_Elo
BULGARIA,BUL,,11/30/2025,Östersund,Sweden,Mixed Relay,True,5310.010567083542,1327.5026417708855,5197.812116980704,1299.453029245176,5291.749753932594,1322.9374384831485,5028.203022770441,1257.0507556926102,5117.981359329975,1279.4953398324938,Vasil Zashev,4567,M,1119.9879916524612,1300.0,1086.7684895607274,1249.4610976807508,1281.554650912779,Vladimir Iliev,123,M,1317.954260398403,1169.098856372032,1402.4164255993155,1200.509560738836,1242.6243256614796,Milena Todorova,1598,F,1516.3579253468906,1336.300056879578,1523.976540874617,1338.5823160580344,1293.802382755716,Lora Hristova,2569,F,1355.7103896857868,1392.4132037290933,1278.5882978979346,1239.6500482928202,1300.0
FINLAND,FIN,,11/30/2025,Östersund,Sweden,Mixed Relay,True,5729.660949541667,1432.4152373854167,5506.989316388291,1376.7473290970727,5608.199288140531,1402.0498220351328,5239.453247404199,1309.8633118510497,5183.614519031513,1295.9036297578782,Tuomas Harjula,1768,M,1282.526637923504,1212.9854780780363,1278.885498954717,1223.256545468471,1300.0,Tero Seppälä,1427,M,1574.708006102807,1528.7028239781264,1507.4434476492702,1356.1523879723295,1309.1438405997555,Inka Hämäläinen,2794,F,1209.7642660030876,1152.492044003482,1273.7691580799888,1266.1411801843878,1279.6509961565264,Suvi Minkkinen,1233,F,1662.6620395122677,1612.808970328646,1548.101183456556,1393.903133779011,1294.8196822752302
SLOVENIA,SLO,,11/30/2025,Östersund,Sweden,Mixed Relay,True,5321.770841330625,1330.4427103326564,5302.184988434415,1325.5462471086037,5400.1455411279785,1350.0363852819946,4943.045049394678,1235.7612623486696,5164.043718448428,1291.010929612107,Lovro Planko,3459,M,1316.23062534687,1343.8642971194104,1310.7366357249794,1199.1896012255152,1300.0,Anton Vidmar,1692,M,1325.3587861213157,1350.6842361664071,1296.2535558499449,1223.1029137532764,1291.850019371181,Anamarija Lampic,2354,F,1432.7003114095144,1201.2786267114575,1558.0373639715574,1286.9654335348127,1292.5427029207212,Lena Repinc,2555,F,1247.481118452925,1406.3578284371397,1235.1179855814971,1233.787100881074,1279.6509961565264
CANADA,CAN,,11/30/2025,Östersund,Sweden,Mixed Relay,True,4719.214243999206,1179.8035609998014,4975.325321920269,1243.8313304800672,4747.846516395961,1186.9616290989902,5058.963548424783,1264.7408871061957,5122.41129413861,1280.6028235346525,Logan Pletz,4542,M,1136.4766855435937,1198.0727908802785,1126.9766605581303,1300.0,1281.554650912779,Jasper Fleming,5173,M,1202.4544001944778,1300.0,1225.5113317383712,1249.4610976807508,1281.554650912779,Benita Peiffer,2216,F,1208.6181493427043,1282.184343504581,1190.3573529178634,1259.0103349379451,1279.6509961565264,Shilo Rousseau,2262,F,1171.6650089184304,1195.0681875354092,1205.0011711815964,1250.4921158060874,1279.6509961565264
SLOVAKIA,SVK,,11/30/2025,Östersund,Sweden,Mixed Relay,True,5275.809874160113,1318.9524685400283,5383.579554178254,1345.8948885445634,5300.223413141833,1325.0558532854582,5300.664823846229,1325.1662059615574,5236.578791749736,1309.144697937434,Tomas Sklenarik,3506,M,1124.7389958879323,1185.6550397965025,1134.4900390571736,1300.0,1281.554650912779,Jakub Borgula,4974,M,1260.5715244021626,1300.0,1244.2613639155666,1268.7146163384834,1281.554650912779,Paulina Batovska Fialkova,947,F,1512.3381647523952,1437.5320115613647,1470.83751243883,1360.3488953182678,1320.8102994972485,Anastasiya Kuzmina,12,F,1378.1611891176226,1460.3925028203869,1450.6344977302626,1371.601312189479,1352.65919042693
BELGIUM,BEL,,11/30/2025,Östersund,Sweden,Mixed Relay,True,5533.626276532347,1383.4065691330868,5518.766390709013,1379.6915976772532,5438.79313996268,1359.69828499067,5231.703110023391,1307.9257775058477,5092.192358647367,1273.0480896618417,Florent Claude,494,M,1478.5657730861085,1430.0207199742306,1453.9783176085275,1335.3465126214398,1232.9771763181611,Cesar Beauvais,1802,M,1090.127378833821,1172.8697169083032,1090.9681478943262,1249.4610976807508,1281.554650912779,Maya Cloetens,2588,F,1426.9799509219397,1407.5688064139915,1390.1882417425347,1305.6367147349836,1295.3088144001276,Lotte Lie,1237,F,1537.9531736904776,1508.3071474124872,1503.6584327172914,1341.2587849862164,1282.3517170162988
ESTONIA,EST,,11/30/2025,Östersund,Sweden,Mixed Relay,True,5257.169677859816,1314.292419464954,5280.0065525977625,1320.0016381494406,5258.580792700744,1314.645198175186,4889.7406961023225,1222.4351740255806,5152.404685945115,1288.1011714862786,Kristo Siimer,1578,M,1297.095256778478,1349.2520398127394,1301.0338910694036,1193.8010547867932,1281.554650912779,Mark-Markos Kehva,4856,M,1200.737211335302,1194.5613273901993,1257.9751196413783,1249.4610976807508,1281.554650912779,Tuuli Tomingas,1245,F,1399.2028670933198,1325.116449800733,1317.820142524516,1268.502035221938,1294.549861451707,Regina Ermits,1314,F,1360.134342652716,1411.0767355940911,1381.7516394654458,1177.9765084128398,1294.7455226678496
LITHUANIA,LTU,,11/30/2025,Östersund,Sweden,Mixed Relay,True,4927.617390290886,1231.9043475727215,4944.743909654306,1236.1859774135764,5018.093905408102,1254.5234763520255,4828.194851290064,1207.048712822516,5102.925156999316,1275.731289249829,Vytautas Strolia,1164,M,1434.493036603408,1335.3298060835482,1451.0380267713608,1272.5078206008593,1262.0685137734845,Karol Dombrovski,844,M,1186.8053779929342,1260.6008049043446,1200.7749839972137,1179.2540489758055,1281.554650912779,Natalija Kocergina,906,F,1076.4090553969495,1077.901430685372,1122.516807513806,1167.9141964628443,1279.6509961565264,Lidiia Zhurauskaite,3097,F,1229.9099202975945,1270.9118679810413,1243.7640871257206,1208.518785250555,1279.6509961565264
UNITED STATES,USA,,11/30/2025,Östersund,Sweden,Mixed Relay,True,5564.786930703663,1391.1967326759157,5577.149557288506,1394.2873893221265,5468.9098889097495,1367.2274722274374,5147.017123528468,1286.754280882117,5157.765780246145,1289.4414450615363,Maxime Germain,4448,M,1341.672142249556,1361.180914216798,1327.79655214933,1269.0013074211374,1300.0,Campbell Wright,4498,M,1650.6076394240313,1538.579593926022,1592.3272468872344,1416.670550767492,1298.1112060872667,Chloe Levins,1602,F,1184.613303945251,1214.8201855414982,1165.4982508361336,1264.3338092776496,1279.6509961565264,Deedra Irwin,2437,F,1387.8938450848243,1462.5688636041875,1383.2878390370518,1197.011456062189,1280.0035780023522
ROMANIA,ROU,,11/30/2025,Östersund,Sweden,Mixed Relay,True,4610.8228005753845,1152.7057001438461,4545.273670129394,1136.3184175323486,4675.303996144901,1168.8259990362253,5025.112816446866,1256.2782041117166,5122.41129413861,1280.6028235346525,Raul Flore,1402,M,1097.781310113726,1059.092936878533,1128.5769053495662,1249.4610976807508,1281.554650912779,George Coltea,3484,M,1237.3766967540869,1320.0554936530314,1227.655847342356,1274.667487153941,1281.554650912779,Andreea Mezdrea,2419,F,1015.185331850949,960.2412474120358,1065.3034003525124,1250.4921158060874,1279.6509961565264,Adelina Rimbeu,2789,F,1260.4794618566225,1205.8839921857946,1253.7678431004665,1250.4921158060874,1279.6509961565264
