"FISName","Skier","ID","Nation","StartOrder","Bib","Is_Host_Nation","In_Startlist","Year","Length1","Length2","Points","Hill_Size","Elo","Small_Elo","Medium_Elo","Normal_Elo","Large_Elo","Flying_Elo","Race_Elo","Race1_Prob","City","Country","Race_Type","Race_Date","Sex"
"WELLINGER Andreas","Andreas Wellinger",553,"GER",NA,NA,"False","True",NA,NA,NA,NA,137,1322.0643424747,1298.0875,1296.24673698786,1565.00004387723,1334.67238083377,1439.91842791763,1322.0643424747,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"GEIGER Karl","Karl Geiger",554,"GER",NA,NA,"False","True",NA,NA,NA,NA,137,1320.89205152341,1298.0875,1296.24673698786,1332.8855238241,1368.25059885596,1398.71825726246,1320.89205152341,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"KOBAYASHI Sakutaro","Sakutaro Kobayashi",2637,"JPN",NA,NA,"False","True",NA,NA,NA,NA,137,1319.22498049062,1298.0875,1296.24673698786,1224.80700335053,1326.08416153452,1288.46639373166,1319.22498049062,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"SCHMID Constantin","Constantin Schmid",2178,"GER",NA,NA,"False","True",NA,NA,NA,NA,137,1310.39411806556,1298.0875,1296.24673698786,1350.82295826156,1328.00053568279,1240.5735763719,1310.39411806556,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"MOGEL Zak","Zak Mogel",2417,"SLO",NA,NA,"False","True",NA,NA,NA,NA,137,1292.44439807701,1298.0875,1296.24673698786,1251.34177624726,1269.43004550257,1287.12602161338,1292.44439807701,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"HAUSWIRTH Sandro","Sandro Hauswirth",2116,"SUI",NA,NA,"False","True",NA,NA,NA,NA,137,1291.03723063299,1298.0875,1296.24673698786,1259.80700335053,1277.47543178067,1282.4541198419,1291.03723063299,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"KOT Maciej","Maciej Kot",103,"POL",NA,NA,"False","True",NA,NA,NA,NA,137,1290.98903767113,1298.0875,1296.24673698786,1344.43298482159,1285.84459313522,1262.01806186206,1290.98903767113,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"LANGMO Isak Andreas","Isak Andreas Langmo",2677,"NOR",NA,NA,"False","True",NA,NA,NA,NA,137,1285.13247349474,1298.0875,1296.24673698786,1255.70365933667,1285.09467166412,1259.08773099495,1285.13247349474,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"MARUSIAK Yevhen","Yevhen Marusiak",2089,"UKR",NA,NA,"False","True",NA,NA,NA,NA,137,1282.5433520118,1298.0875,1296.24673698786,1239.67623340501,1268.64180853446,1286.53096004615,1282.5433520118,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"BICKNER Kevin","Kevin Bickner",1644,"USA",NA,NA,"False","True",NA,NA,NA,NA,137,1282.04528133142,1298.0875,1296.24673698786,1187.10287922519,1280.8300955748,1248.81556361611,1282.04528133142,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"BAYER Ben","Ben Bayer",2573,"GER",NA,NA,"False","True",NA,NA,NA,NA,137,1276.80131477552,1298.0875,1296.24673698786,1255.70365933667,1279.14515900972,1259.08773099495,1276.80131477552,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"NAITO Tomofumi","Tomofumi Naito",2404,"JPN",NA,NA,"False","True",NA,NA,NA,NA,137,1273.13206693084,1298.0875,1296.24673698786,1199.41826932415,1271.36323086503,1259.08773099495,1273.13206693084,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"FRANTZ Tate","Tate Frantz",2628,"USA",NA,NA,"False","True",NA,NA,NA,NA,137,1271.43431851568,1298.0875,1296.24673698786,1311.01915384295,1273.46518331302,1308.14093254303,1271.43431851568,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"VAGUL Kaimar","Kaimar Vagul",2626,"EST",NA,NA,"False","True",NA,NA,NA,NA,137,1267.82837780131,1298.0875,1296.24673698786,1222.85702587031,1281.75753016047,1259.08773099495,1267.82837780131,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"OBERSTEINER Louis","Louis Obersteiner",2607,"FRA",NA,NA,"False","True",NA,NA,NA,NA,137,1258.99197547305,1298.0875,1296.24673698786,1255.70365933667,1264.60689497152,1259.08773099495,1258.99197547305,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"OBLAK Rok","Rok Oblak",2576,"SLO",NA,NA,"False","True",NA,NA,NA,NA,137,1232.60175344644,1298.0875,1296.24673698786,1339.80700335053,1219.19510086833,1259.08773099495,1232.60175344644,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"KOBAYASHI Junshiro","Junshiro Kobayashi",266,"JPN",NA,NA,"False","True",NA,NA,NA,NA,137,1229.89200021896,1298.0875,1296.24673698786,1292.55281774834,1234.49204166607,1257.81006236052,1229.89200021896,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"ROTH Luca","Luca Roth",2397,"GER",NA,NA,"False","True",NA,NA,NA,NA,137,1217.1848359249,1298.0875,1296.24673698786,1291.21335023275,1222.10102602006,1279.90619011295,1217.1848359249,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"MIZERNYKH Ilya","Ilya Mizernykh",2685,"KAZ",NA,NA,"False","True",NA,NA,NA,NA,137,1209.86209208124,1298.0875,1296.24673698786,1199.24355984742,1207.02842766947,1279.1894728094,1209.86209208124,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"NOUSIAINEN Eetu","Eetu Nousiainen",1869,"FIN",NA,NA,"False","True",NA,NA,NA,NA,137,1209.10499925081,1298.0875,1296.24673698786,1213.60742722731,1217.08687849129,1232.25198151792,1209.10499925081,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"KESSELI Juri","Juri Kesseli",2585,"SUI",NA,NA,"False","True",NA,NA,NA,NA,137,1208.61366660908,1298.0875,1296.24673698786,1214.80700335053,1236.8226230887,1259.08773099495,1208.61366660908,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"AMMANN Simon","Simon Ammann",4,"SUI",NA,NA,"False","True",NA,NA,NA,NA,137,1206.55670477414,1298.0875,1296.24673698786,1213.50773038638,1199.67793275036,1276.17052221659,1206.55670477414,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"VASSILYEV Danil","Danil Vassilyev",2476,"KAZ",NA,NA,"False","True",NA,NA,NA,NA,137,1165.70425863594,1298.0875,1296.24673698786,1117.28572994182,1159.55103361031,1278.19780614274,1165.70425863594,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"CHOI Heung Chul","Heung Chul Choi",73,"KOR",NA,NA,"False","True",NA,NA,NA,NA,137,1158.30332026146,1298.0875,1296.24673698786,1161.57215127355,1192.32618174549,1194.38407237463,1158.30332026146,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"KOUDELKA Roman","Roman Koudelka",24,"CZE",NA,NA,"False","True",NA,NA,NA,NA,137,1151.56037236455,1298.0875,1296.24673698786,1307.97778945374,1156.43641729303,1260.49945217074,1151.56037236455,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"BEDIR Muhammed Ali","Muhammed Ali Bedir",2117,"TUR",NA,NA,"False","True",NA,NA,NA,NA,137,1146.59651317194,1298.0875,1296.24673698786,1194.24355984742,1172.85106956234,1269.91542783809,1146.59651317194,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"PALOSAARI Vilho","Vilho Palosaari",2533,"FIN",NA,NA,"False","True",NA,NA,NA,NA,137,1142.26015035139,1298.0875,1296.24673698786,1228.99372906876,1149.73428715198,1259.08773099495,1142.26015035139,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"IPCIOGLU Fatih Arda","Fatih Arda Ipcioglu",1890,"TUR",NA,NA,"False","True",NA,NA,NA,NA,137,1135.33956026883,1298.0875,1296.24673698786,1215.82546339006,1150.85083280602,1243.53031999581,1135.33956026883,1,"Oberstdorf","Germany","Large","12/28/2025","M"
