"Skier","Nation","Price","ID","Elo","Small_Elo","Medium_Elo","Normal_Elo","Large_Elo","Flying_Elo","Race1_Prob","Race6_Prob"
"Anna Odine Strøm","Norway",0,44,1679.64218344393,NA,1300,1599.60577024399,1597.0048799057,1303.50000066627,1,1
"Hyde Dyhre Tråserud","Norway",0,366,1502.06153492661,NA,1300,1496.26289235182,1406.60606420559,1291.50000066627,0,0
"Pola Beltowska","Poland",0,442,1156.62897230683,NA,1300,1233.30737001429,1166.0253667448,1295.75557035694,1,1
"Anna Twardosz","Poland",0,288,1293.49044787045,NA,1300,1338.32660834273,1233.92792637007,1295.75557035694,1,1
"Delia Anamaria Folea","Romania",0,410,1260.80224985663,NA,1300,1240.43542664154,1282.28562892033,1295.75557035694,0.940847211458829,0.940847211458829
"Daniela Haralambie","Romania",0,43,1181.43127108882,NA,1300,1217.13680719791,1166.132925449,1295.75557035694,1,1
"Kira Maria Kapustikova","Slovakia",0,547,1196.77911469356,NA,1300,1216.27959878503,1230.01702600834,1295.75557035694,1,1
"Katra Komar","Slovenia",0,284,1253.35820136187,NA,1300,1318.98157987767,1189.92098184736,1295.75557035694,0.963471716030664,0.963471716030664
"Maja Kovacic","Slovenia",0,511,1231.06291885228,NA,1300,1237.74733380988,1240.98942732953,1295.75557035694,1,1
"Nika Prevc","Slovenia",0,426,1791.82800056427,NA,1300,1743.28954668843,1649.8262063624,1308.36964271873,1,1
"Nika Vodan","Slovenia",0,266,1558.08425757585,NA,1300,1569.27890523855,1496.26959104539,1298.70588235294,0.959689691752138,0.959689691752138
"Frida Westman","Sweden",0,296,1382.6093924325,NA,1300,1331.12023434703,1363.35791248595,1295.75557035694,1,1
"Sina Arnet","Switzerland",0,448,1234.88704389543,NA,1300,1283.79816745804,1198.07014244555,1295.75557035694,1,1
"Annika Belshaw","USA",0,346,1267.91412757573,NA,1300,1317.80147207907,1223.05878812479,1295.75557035694,1,1
"Josie Johnson","USA",0,446,1243.97234156467,NA,1300,1279.19676730592,1211.81392027195,1295.75557035694,1,1
"Paige Jones","USA",0,365,1235.152171779,NA,1300,1307.6866972324,1169.47492773927,1295.75557035694,1,1
