Skier,ID,Nation,Ranking,Points
Ane Appelkvist Stenseth,1829,Norway,64,142
Amanda Saari,7905,Finland,65,138
Anja Mandeljc,1868,Slovenia,66,128
Lotta Udnes Weng,1671,Norway,67,127
Magdalena Scherz,6707,Austria,68,123
Melissa Gal,4034,France,69,111
Maria Gismondi,10867,Italy,69,111
Alina Meier,1680,Switzerland,71,107
Margrete Røssum Dyrhovd,1778,Norway,72,106
Rosie Fordham,6450,Australia,72,106
Sammy Smith,10228,USA,72,106
Alayna Sonnesyn,1872,USA,75,94
Hailey Swirbul,1849,USA,76,93
Julie Pierrel,7444,France,77,84
Anna Comarella,1724,Italy,78,82
Julie Myhre,1841,Norway,78,82
Delphine Claudel,1694,France,80,80
Tiia Olkkonen,3044,Finland,81,75
Juliette Ducordeau,3218,France,82,74
Martina di Centa,9084,Italy,83,66
Katri Lylynperä,1494,Finland,83,66
Izabela Marcisz,6327,Poland,85,63
Lena Keck,4825,Germany,86,61
Lena Quintin,3252,France,87,60
Clemence Didierlaurent,10690,France,88,58
Nora Elisabeth Falster,8959,Norway,88,58
Saskia Nürnberger,9344,Germany,90,55
Novie McCabe,6651,USA,91,54
Helene Ekrheim Haugen,10438,Norway,92,52
Silje Øyre Slind,458,Norway,92,52
Giuliana Werro,3230,Switzerland,92,52
Kendall Kramer,6650,USA,95,50
Fabienne Alder,11191,Switzerland,96,48
Tereza Beranova,3618,Czechia,97,47
Justine Gaillard,11576,France,98,46
Margot Tirloy,10829,France,98,46
Maren Wangensteen,1767,Norway,98,46
Maiken Min Midtskogen,3375,Norway,101,45
Lauren Jortberg,3997,USA,102,44
Luci Anderson,4706,USA,103,43
Hanna Karaliova,3225,Belarus,104,40
Elina Rönnlund,1674,Sweden,104,40
Hanne Wilberg Rofstad,4299,Norway,106,38
Vilma Jylhä,3050,Finland,107,36
Verena Veit,9317,Germany,107,36
Sonjaa Schmidt,7874,Canada,109,35
Marte Mikkelsplass,6793,Norway,110,33
Anna-Maria Dietze,3214,Germany,111,32
Keidy Kaasiku,4942,Estonia,111,32
Lisa Eriksson,9318,Sweden,113,30
Chika Kobayashi,3524,Japan,113,30
Anna-Kaisa Saari,3085,Finland,113,30
Anna Marie Jaklova,10190,Czechia,116,29
Nora Kytäjä,6993,Finland,117,28
Barbora Havlickova,3216,Czechia,118,27
Hanna Machakhina,7439,Belarus,118,27
Barbora Antosova,6633,Czechia,120,26
Jasmine Drolet,6656,Canada,120,26
Desiree Steiner,3220,Switzerland,120,26
Aleksandra Kolodziej,8064,Poland,123,24
Mariel Merlii Pulles,1969,Estonia,123,24
Kaidy Kaasiku,4943,Estonia,125,23
Nadine Laurent,9319,Italy,125,23
Masae Tsuchiya,3498,Japan,125,23
Katharina Brudermann,5040,Austria,128,22
Nora Christine Hansen,10467,Norway,128,22
Magdalena Kobielusz,6458,Poland,130,21
Anna Pryce,6640,Great Britain,130,21
Heidi Bucher,10823,Austria,132,20
Chika Honda,7087,Japan,132,20
Lisa Lohmann,4813,Germany,134,19
Cloe Pagnier,10319,France,135,17
Anni Alakoski,3037,Finland,136,16
Anne Kyllönen,45,Finland,137,15
Sophia Laukli,7369,USA,137,15
Phoebe Cridland,5184,Australia,139,13
Margrethe Bergane,6411,Norway,140,12
Theresa Fürstenberg,6801,Germany,140,12
Amelia Wells,7931,Canada,142,11
Germana Thannheimer,6687,Germany,143,10
Olivia Bouffard-Nesbitt,1685,Canada,144,9
Andzelika Szyszka,8097,Poland,144,9
Oona Kettunen,1914,Finland,146,8
Kate Oldham,6453,USA,146,8
Selene Rossi,10816,Finland,146,8
Hanna Ray,6472,Finland,149,6
Katja Veit,11394,Germany,150,5
Kitija Auzina,1651,Latvia,151,4
Heidi Convard,11395,France,151,4
Maddi Hooker,10268,Australia,153,3
Anna Milerska,10398,Czechia,153,3
Teesi Tuul,3328,Estonia,153,3
Zuzanna Fujak,8059,Poland,156,2
Da-Som Han,1519,South Korea,156,2
Oliwia Busko,8069,Poland,158,1
Liv Coupat,9321,France,158,1
Eui Jin Lee,6644,South Korea,158,1
Elsa Torvinen,9382,Finland,158,1
