FIS_Name,Skier,ID,Nation,In_FIS_List,Price,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,Race_Elo,Race_Type,Race1_Prob,Recent_Competitor,City,Country,Distance,Technique,Race_Date
DE MARTIN PINTER Iris,Iris De Martin Pinter,7422,Italy,True,247,1485.6164761768548,1328.495528918839,1331.780861154365,1298.4933467798458,1492.7624764772777,1413.1906937255198,1473.7523027839334,1420.876432470607,1417.2308681360255,1298.4933467798458,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
MYHRVOLD Mathilde,Mathilde Myhrvold,2298,Norway,True,1330,1617.0658453567412,1324.058560920162,1318.4535863693116,1297.075191453206,1631.6008959994554,1467.7006782952071,1648.6661583456023,1447.2578103339192,1598.346580388207,1297.075191453206,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
GAL Melissa,Melissa Gal,4034,France,True,215,1358.3688933324554,1256.0159049898334,1226.215916175256,1295.479300170429,1427.60156799335,1343.639528118821,1437.1553664132357,1309.1628849582214,1384.0933906433245,1295.479300170429,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
PIERREL Julie,Julie Pierrel,7444,France,True,223,1344.7921980384156,1313.9861355262526,1256.2312473006764,1295.0326662353336,1319.2576594687205,1301.0077201447043,1283.428396291159,1289.3618237501607,1297.2754799191266,1295.0326662353336,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
GIMMLER Laura,Laura Gimmler,1495,Germany,True,1742,1589.1144819012077,1438.917048993889,1426.0540126908256,1292.998123761228,1598.1369137688446,1589.951245999978,1500.0481897731402,1584.8151393028843,1468.3647439006734,1292.998123761228,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
KAELIN Nadja,Nadja Kälin,6380,Switzerland,True,2343,1292.351794236965,1291.9009154218452,1277.4076617441326,1292.2059433392594,1272.623280969052,1278.5615902488735,1274.2178832688205,1269.824278204354,1290.8769429234117,1292.2059433392594,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
ANDREASSEN Milla Grosberghaugen,Milla Grosberghaugen Andreassen,10424,Norway,True,777,1442.8905111547738,1321.8782114854685,1332.6286945629472,1288.7123878756065,1442.6230824024535,1385.2048159177582,1422.1239116443617,1402.7643210371184,1380.3674094493097,1288.7123878756065,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
ALBRECHT Emma,Emma Albrecht,7589,USA,True,223,1221.53507803179,1260.572068086637,1286.1407625143522,1287.7255815864132,1242.4539603265616,1251.25171810268,1244.4473696656348,1253.9741835338416,1250.5369763492936,1287.7255815864132,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
TOSSAVAINEN Eevi-Inkeri,Eevi-Inkeri Tossavainen,6985,Finland,True,224,1255.445840010608,1284.5338183248691,1293.6527407779492,1286.9652535366688,1260.9372851809158,1282.1781625632802,1256.2560450645922,1280.3905057877807,1255.5148360316575,1286.9652535366688,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
KAASIKU Kaidy,Kaidy Kaasiku,4943,Estonia,True,217,1268.026580606216,1296.5312821506868,1266.6419313151296,1285.810118162363,1220.9535719587768,1234.2916474173237,1214.7725799812122,1242.001486603041,1273.643393925836,1285.810118162363,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
BOOK Josefiina,Josefiina Böök,3046,Finland,True,0,1239.2977757778826,1258.8936184575548,1272.3649359192607,1283.146031294929,1271.3789909427123,1252.239169104914,1279.5758150068068,1253.6584148261984,1264.2928171666454,1283.146031294929,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
PULLES Mariel Merlii,Mariel Merlii Pulles,1969,Estonia,True,211,1301.1686489519566,1254.3870530198246,1240.650379733206,1281.468377617803,1353.95802198288,1303.2173267744363,1349.209281417604,1267.0648741933692,1312.8750185353329,1281.468377617803,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
RYDZEK Coletta,Coletta Rydzek,3254,Germany,True,2928,1588.6699166743797,1367.1526903456106,1373.5215933902016,1281.0744033263277,1655.596718295961,1515.6206549780652,1692.2959328170607,1492.0051550745334,1568.0559215435846,1281.0744033263277,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
SAARI Amanda,Amanda Saari,7905,Finland,True,231,1388.1921820976108,1265.5480816427312,1262.6949848901563,1271.2911070018135,1409.5791801482992,1432.782498927389,1270.480743595847,1401.296040276211,1273.3085593289247,1271.2911070018135,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
SCHERZ Magdalena,Magdalena Scherz,6707,Austria,True,221,1385.0299385853666,1270.9608974332566,1269.2779101218418,1270.9768063857032,1422.8732275493078,1345.2380430124497,1431.4556781708527,1342.1081418289723,1367.516298448017,1270.9768063857032,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
WEAVER Katherine,Katherine Weaver,4251,Canada,True,223,1276.1808444692165,1236.950164071117,1278.0720226796627,1269.4877661347748,1283.748051834735,1292.5146004940193,1254.5052972131036,1285.844583261909,1256.452838071334,1269.4877661347748,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
MEIER Alina,Alina Meier,1680,Switzerland,True,232,1345.0867321618275,1245.3375762023868,1245.8203157070334,1267.76624056492,1383.9164052662704,1285.8603194179625,1434.1031543888605,1264.81950767981,1385.3084547020376,1267.76624056492,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
KECK Lena,Lena Keck,4825,Germany,True,220,1292.6470309782726,1268.3627251864857,1280.512451277127,1264.4574161675762,1313.1584644835732,1255.3636404804545,1351.7775863147212,1262.6396066081193,1312.0070105277134,1264.4574161675762,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
JORTBERG Lauren,Lauren Jortberg,3997,USA,True,231,1279.940550155907,1249.836200344763,1280.6457584144969,1257.385475778061,1300.7206931893438,1269.0213392511846,1274.5661705170555,1272.0406130572724,1247.8535978281604,1257.385475778061,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
CASSOL Federica,Federica Cassol,9082,Italy,True,256,1450.2003982730628,1251.209699999074,1262.8058763016345,1252.0896731626908,1528.2007742147364,1421.5701236513764,1543.9487356530528,1381.473193290985,1437.4336495204166,1252.0896731626908,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
JYLHA Vilma,Vilma Jylhä,3050,Finland,True,221,1306.2906848942594,1213.7396296820118,1242.7523266278374,1246.744689381518,1310.969167502037,1327.1036202907508,1270.3176192073638,1325.609016050524,1270.3883623295865,1246.744689381518,Sprintkm F,1.0,False,Lahti,Finland,Sprint,F,03/07/2026
BOUFFARD-NESBITT Olivia,Olivia Bouffard-Nesbitt,1685,Canada,True,224,1237.4153454594882,1187.7852976772442,1188.804998091577,1243.426230230354,1294.6320632536606,1278.0419034156218,1308.624884568259,1223.3872428966963,1280.8921562702008,1243.426230230354,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
SKISTAD Kristine Stavaas,Kristine Stavås Skistad,3207,Norway,True,2914,1549.459657742542,1197.304942228569,1224.653229688386,1242.5894912130202,1715.4579894939347,1596.9436749981992,1684.5519396827676,1468.9403474457556,1545.4972474871147,1242.5894912130202,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
OLKKONEN Tiia,Tiia Olkkonen,3044,Finland,True,220,1300.739353195938,1217.923476564369,1244.1311578622226,1232.2898422813855,1314.653547266529,1314.4783770794309,1295.9339731810028,1291.2873951064137,1275.2994371787036,1232.2898422813855,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
MONSORNO Nicole,Nicole Monsorno,6631,Italy,True,223,1394.0636909751097,1207.1490989348792,1228.990761154433,1228.987227364167,1486.5251202669167,1455.1372804995851,1429.9136773558891,1384.2640737201564,1360.708401883484,1228.987227364167,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
FISCHER Lea,Lea Fischer,2284,Switzerland,True,226,1375.99078184336,1241.632686888468,1257.815938252218,1224.6215300558874,1428.583970808863,1384.2071589552434,1382.1081922668343,1357.554891249628,1322.3500449670516,1224.6215300558874,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
HAGSTROEM Johanna,Johanna Hagström,3212,Sweden,True,3086,1557.0066158002576,1278.6155599598883,1305.5053420663116,1220.7376838071846,1703.829748592219,1612.328210774986,1666.420480338723,1537.5840433988212,1501.4508112467263,1220.7376838071846,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
QUINTIN Lena,Lena Quintin,3252,France,True,223,1384.1629826490669,1207.487638060095,1236.8333747051431,1214.380224442377,1432.3168991994196,1322.207390190554,1505.8884493096398,1294.738220888877,1410.4690640758308,1214.380224442377,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
KOBIELUSZ Magdalena,Magdalena Kobielusz,6458,Poland,True,233,1068.789013964952,1096.8016244174385,1169.1688515405615,1214.2472489201753,1156.5119731320478,1210.8515270151509,1157.7767650736598,1144.515998599559,1151.2246145866434,1214.2472489201753,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
LYLYNPERA Katri,Katri Lylynperä,1494,Finland,True,233,1386.5997121903818,1286.1938485384032,1307.8352171918848,1209.2732955050212,1413.3309831263743,1395.121105021537,1393.4151416774962,1373.4845607571958,1363.5107123003029,1209.2732955050212,Sprintkm F,1.0,False,Lahti,Finland,Sprint,F,03/07/2026
TUUL Teesi,Teesi Tuul,3328,Estonia,True,217,1153.023900157856,1145.88474953562,1178.1186321598975,1186.7924037578166,1192.0283029590444,1191.197967365898,1204.5226639712523,1149.9464758814572,1179.9473249401678,1186.7924037578166,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
