FIS_Name,Skier,Nation,In_FIS_List,Price,Team_Name,Team_Rank,Team_Time,Team_Position,ID,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,Race_Date,City,Country,Race_Type
LICEF Miha,Miha Licef,SLO,True,215,SLOVENIA,11,,11-3,5911.0,1239.6435606893938,1252.034565191717,1230.1997249777803,1259.383500642805,1187.454297284004,1221.42342006417,1182.6714163640129,1211.2019672296033,1237.8160288806898,03/06/25,Trondheim,Norway,Relay
CRV Vili,Vili Crv,SLO,True,212,SLOVENIA,11,,11-4,5931.0,1286.760702356387,1176.1026629463165,1192.078335051866,1197.7476259167593,1367.585300298103,1234.9049305246474,1433.0526147726162,1185.7168669493944,1336.4200314651823,03/06/25,Trondheim,Norway,Relay
ALEV Alvar Johannes,Alvar Johannes Alev,EST,True,295,ESTONIA,12,,12-1,1996.0,1456.5361099069455,1469.9717474162917,1397.0236233980577,1360.8583083167152,1197.181340154562,1250.7649844864395,1154.9434751615124,1389.6872247353456,1343.9920015681937,03/06/25,Trondheim,Norway,Relay
KALEV Christopher,Christopher Kalev,EST,True,211,ESTONIA,12,,12-2,6469.0,1253.6440044929304,1269.7681177237544,1300.0314361927915,1264.286565281829,1269.8578330523462,1266.1323961543371,1282.8391688131762,1267.748904733901,1255.749179838396,03/06/25,Trondheim,Norway,Relay
HIMMA Martin,Martin Himma,EST,True,327,ESTONIA,12,,12-3,8092.0,1321.581882360712,1316.00484304509,1251.8373303603385,1314.8206041618014,1318.574479192601,1294.6670920165514,1324.4715510155877,1259.7167925661488,1336.0349856009914,03/06/25,Trondheim,Norway,Relay
ROOS Henri,Henri Roos,EST,True,223,ESTONIA,12,,12-4,5317.0,1232.5893318893006,1152.3526605657646,1182.2985109055032,1198.3040418533774,1294.1326633576718,1228.7342212180947,1316.425100073471,1182.6168590531547,1253.3190988911556,03/06/25,Trondheim,Norway,Relay
NURSBEKOV Yernar,Yernar Nursbekov,KAZ,True,0,KAZAKHSTAN,13,,13-1,13114.0,1203.835225203372,1244.000221826672,1224.5401199117832,1232.7795907665509,1240.8554096027578,1269.7088506848174,1250.5092519040118,1208.2094255293257,1235.1209097103242,03/06/25,Trondheim,Norway,Relay
PUKHKALO Vitaliy,Vitaliy Pukhkalo,KAZ,True,221,KAZAKHSTAN,13,,13-2,5195.0,1250.6202582070591,1271.6542431065295,1298.2405339679008,1246.4260553047243,1195.6321639567786,1265.1219203281703,1162.165534388712,1288.8651968869592,1195.6878257218086,03/06/25,Trondheim,Norway,Relay
BASHMAKOV Nail,Nail Bashmakov,KAZ,True,228,KAZAKHSTAN,13,,13-3,10385.0,1154.619751652679,1154.0504223746746,1156.0433663715658,1166.1098661591352,1179.9105120542167,1216.5079110074926,1191.1085983419744,1155.338268633365,1154.1884055794983,03/06/25,Trondheim,Norway,Relay
KOVALYOV Vladislav,Vladislav Kovalyov,KAZ,True,220,KAZAKHSTAN,13,,13-4,5203.0,1057.3426581364567,1091.8104121707536,1135.67875828276,1148.646284142064,1125.989278578104,1190.5056146330276,1116.7801910027524,1109.8985019034192,1074.4299486554814,03/06/25,Trondheim,Norway,Relay
VIGANTS Raimo,Raimo Vigants,LAT,True,223,LATVIA,14,,14-1,4153.0,1220.9486276551172,1114.1663689032034,1105.6022760265712,1177.22111944001,1329.9957389953397,1170.591195157175,1419.3382289682304,1086.3944390854697,1305.8714991339664,03/06/25,Trondheim,Norway,Relay
KAPARKALEJS Lauris,Lauris Kaparkalejs,LAT,True,224,LATVIA,14,,14-2,14054.0,1188.5708992765492,1029.4106514876016,1140.471681184076,1094.8607231777196,1342.8225573978866,1171.3463341352692,1436.2391055275916,1080.7476389259523,1262.9203710828767,03/06/25,Trondheim,Norway,Relay
SAULITIS Niks,Niks Saulitis,LAT,True,0,LATVIA,14,,14-3,8270.0,1044.8270340148013,1006.8021122708816,1126.8387984421058,1130.8003175462547,1190.6557674995324,1140.09419417411,1256.3671186200418,1055.3260617703795,1151.2533939472476,03/06/25,Trondheim,Norway,Relay
SVAUKSTS Silvestrs,Silvestrs Svauksts,LAT,True,0,LATVIA,14,,14-4,20024.0,1116.6449128005506,1141.4486059717694,1238.012316412148,1216.067856151701,1232.6792217120465,1245.8480030881244,1257.1610358956586,1194.4131129193097,1188.4279237637195,03/06/25,Trondheim,Norway,Relay
NOVAK Michal,Michal Novak,CZE,True,1174,CZECHIA,15,,15-1,3655.0,1569.600564408992,1548.7367678134078,1427.9306636562592,1486.9510906890457,1536.760728375786,1406.853091488306,1586.6802736789314,1413.6837720779529,1571.459107224161,03/06/25,Trondheim,Norway,Relay
FELLNER Adam,Adam Fellner,CZE,True,229,CZECHIA,15,,15-2,2162.0,1332.292114050716,1326.7109344703265,1278.6028500334528,1240.2930046511126,1238.4089325773623,1233.124897203691,1248.832988683661,1278.718801069034,1252.3990264188346,03/06/25,Trondheim,Norway,Relay
BAUER Matyas,Matyas Bauer,CZE,True,228,CZECHIA,15,,15-3,18927.0,1237.8500760364757,1269.230975669114,1277.9011540503398,1262.1654574680342,1231.0215238369278,1241.2530542406816,1250.8436996035105,1236.9514957647596,1232.7361192621242,03/06/25,Trondheim,Norway,Relay
TUZ Jiri,Jiri Tuz,CZE,True,214,CZECHIA,15,,15-4,17348.0,1371.9994880460035,1189.8143565697874,1228.2123735005837,1229.7172270558074,1450.9309093147397,1374.207434720862,1441.8201730308076,1309.4138042550142,1358.28179609563,03/06/25,Trondheim,Norway,Relay
SILVA Manex,Manex Silva,BRA,True,0,BRAZIL,16,,16-1,12689.0,1191.1544117527696,1142.991937156155,1205.0944975217346,1213.8405296128112,1282.7629504353458,1281.5472602531993,1289.6615370097657,1212.4121976645476,1226.2588795016532,03/06/25,Trondheim,Norway,Relay
SANTOS Victor,Victor Santos,BRA,True,0,BRAZIL,16,,16-2,8038.0,1129.9906166643934,1193.506923987909,1230.8464876281496,1224.8066814461326,1176.8564875525524,1222.289114013593,1174.3845573214023,1188.143692339671,1149.0786030080585,03/06/25,Trondheim,Norway,Relay
PEREIRA SANTOS Guilherme,Guilherme Pereira Santos,BRA,True,0,BRAZIL,16,,16-3,19677.0,1230.0169398975722,1218.6916607169478,1235.2841492606967,1232.7795907665509,1235.518711322289,1231.94762557006,1212.03591012958,1222.7746335573804,1221.825525619941,03/06/25,Trondheim,Norway,Relay
BOMFIM Rhaick,Rhaick Bomfim,BRA,True,0,BRAZIL,16,,16-4,9578.0,1226.1584077703951,1218.6916607169478,1235.2841492606967,1232.7795907665509,1236.3497858696255,1231.94762557006,1226.9748002097288,1222.7746335573804,1225.038267018879,03/06/25,Trondheim,Norway,Relay
LISOHOR Oleksandr,Oleksandr Lisohor,UKR,True,226,UKRAINE,17,,17-1,13173.0,1158.3819506126692,1182.0871763159098,1269.992357307505,1214.962687670121,1205.6460883723582,1189.470242710728,1239.9556812163364,1174.376700643049,1204.105546305496,03/06/25,Trondheim,Norway,Relay
DENYSENKO Ruslan,Ruslan Denysenko,UKR,True,0,UKRAINE,17,,17-2,17447.0,1208.99807884343,1242.3011923272009,1235.2841492606967,1286.4483387188427,1264.385935857842,1281.728267509449,1266.03591012958,1279.3138232808926,1254.196844113001,03/06/25,Trondheim,Norway,Relay
DRAHUN Dmytro,Dmytro Drahun,UKR,True,229,UKRAINE,17,,17-3,8058.0,1173.1986954444055,1110.0226017475215,1174.4884829681107,1177.1717313755962,1271.816228069937,1234.927511211837,1289.0023756745895,1157.877726809399,1207.8722816715783,03/06/25,Trondheim,Norway,Relay
MUHOTINOV Denys,Denys Muhotinov,UKR,True,0,UKRAINE,17,,17-4,20936.0,1169.6540710670772,1174.341455005204,1236.2302401687543,1253.5265494103735,1259.0895701678762,1231.94762557006,1255.7319583835792,1245.6720086805915,1226.0495224380154,03/06/25,Trondheim,Norway,Relay
GLEDHILL Gabriel,Gabriel Gledhill,GBR,True,215,GREAT BRITAIN,18,,18-1,14200.0,1191.2425425995846,1252.7434430060648,1279.34707210341,1255.7013625578495,1201.702205783557,1235.2526025057218,1215.1198020654303,1220.9671493674398,1193.255686049798,03/06/25,Trondheim,Norway,Relay
MUSGRAVE Andrew,Andrew Musgrave,GBR,True,2149,GREAT BRITAIN,18,,18-2,277.0,1567.791535563271,1623.9784041891485,1488.5315623144645,1565.8809990944917,1247.572870612732,1194.639267318317,1306.4936127723638,1415.5462787192494,1530.2095497674852,03/06/25,Trondheim,Norway,Relay
YOUNG Andrew,Andrew Young,GBR,True,211,GREAT BRITAIN,18,,18-3,1642.0,1353.751925962564,1352.403075153626,1265.2957745978658,1383.475896751899,1341.344167614507,1300.2931801598834,1359.456987174038,1269.9644686526012,1389.84730708735,03/06/25,Trondheim,Norway,Relay
CLUGNET James,James Clugnet,GBR,True,218,GREAT BRITAIN,18,,18-4,3615.0,1361.0710673607011,1190.5612879146438,1142.0208302460685,1242.3411644474777,1465.9210444842938,1268.5280916161255,1546.9679049232686,1183.071184712693,1426.3474162020862,03/06/25,Trondheim,Norway,Relay
PEPENE Paul Constantin,Paul Constantin Pepene,ROU,True,223,ROMANIA,19,,19-1,219.0,1218.2317066680198,1271.3626763578854,1286.612014160607,1288.1234510138372,1184.4525514749816,1265.9884977674135,1170.5068348334144,1287.515593835822,1198.1838839247696,03/06/25,Trondheim,Norway,Relay
DOLHASCU Florin Robert,Florin Robert Dolhascu,ROU,True,0,ROMANIA,19,,19-2,12690.0,1178.8362485689888,1210.1995027268154,1275.7571154871252,1235.043561800746,1242.495454019759,1265.0480030881242,1251.4831418818794,1242.777710577554,1200.429148586145,03/06/25,Trondheim,Norway,Relay
COJOCARU Gabriel,Gabriel Cojocaru,ROU,True,0,ROMANIA,19,,19-3,16169.0,1303.9058287864611,1218.6916607169478,1235.2841492606967,1232.7795907665509,1315.318711322289,1231.94762557006,1326.03591012958,1222.7746335573804,1309.5178333122485,03/06/25,Trondheim,Norway,Relay
COSTEA Ionut Alexandru,Ionut Alexandru Costea,ROU,True,0,ROMANIA,19,,19-4,18954.0,1249.3500166439792,1270.7520119112655,1235.2841492606967,1232.7795907665509,1284.518711322289,1231.94762557006,1282.03591012958,1222.7746335573804,1275.6716794660947,03/06/25,Trondheim,Norway,Relay
AHONEN Ville,Ville Ahonen,FIN,True,228,FINLAND,2,,2-1,2754.0,1491.409724235495,1441.935944533769,1445.4299953369675,1227.8114742735493,1433.1125420522606,1424.0274001689752,1308.8773682364135,1479.105749336003,1267.9862994098924,03/06/25,Trondheim,Norway,Relay
HAKOLA Ristomatti,Ristomatti Hakola,FIN,True,329,FINLAND,2,,2-2,2553.0,1511.2225079270777,1516.696846986982,1498.9344588872946,1410.800716881387,1471.5784401589713,1449.108245330737,1532.7252053085788,1498.3538371606369,1500.5499468351018,03/06/25,Trondheim,Norway,Relay
LINDHOLM Remi,Remi Lindholm,FIN,True,279,FINLAND,2,,2-3,5702.0,1448.3668143503448,1462.6263186921603,1361.820596496378,1448.0242491676556,1225.3719845354349,1271.5758046874842,1212.9830222104993,1369.8021364230626,1433.5456965303465,03/06/25,Trondheim,Norway,Relay
VUORINEN Lauri,Lauri Vuorinen,FIN,True,2310,FINLAND,2,,2-4,2874.0,1539.5390272069642,1378.274369031623,1377.8361119385856,1304.8172679752502,1668.83347430789,1595.2930481700555,1644.6874862922307,1475.49372974844,1554.0105510055644,03/06/25,Trondheim,Norway,Relay
ENDRESTAD Sebastian,ENDRESTAD Sebastian,CHI,True,0,CHILE,20,,20-1,,,,,,,,,,,03/06/25,Trondheim,Norway,Relay
FLORES Martin,Martin Flores,CHI,True,0,CHILE,20,,20-2,17501.0,1200.1875483785946,1218.6916607169478,1235.2841492606967,1232.7795907665509,1201.1151964572928,1175.9803647343226,1254.03591012958,1198.7841419258714,1254.133217927633,03/06/25,Trondheim,Norway,Relay
HERRERA Sigurd,Sigurd Herrera,CHI,True,0,CHILE,20,,20-3,21539.0,1228.720643601276,1218.6916607169478,1235.2841492606967,1232.7795907665509,1234.1187113222888,1231.94762557006,1210.03591012958,1222.7746335573804,1220.2870640814792,03/06/25,Trondheim,Norway,Relay
UBERUAGA Juan Luis,Juan Luis Uberuaga,CHI,True,0,CHILE,20,,20-4,12834.0,1152.032903164806,1218.6916607169478,1235.2841492606967,1232.7795907665509,1153.3029186586,1162.6693381427517,1240.754715712927,1178.2625824818813,1236.714732629897,03/06/25,Trondheim,Norway,Relay
KONYA Adam,Adam Konya,HUN,True,0,HUNGARY,21,,21-1,2259.0,986.2225097202424,969.907102577312,1049.786312327451,1056.4244277599255,1099.7990706259473,1127.0763086973802,1130.648537078254,1007.1676627258583,1035.899858859896,03/06/25,Trondheim,Norway,Relay
BUKI Adam,Adam Büki,HUN,True,0,HUNGARY,21,,21-2,8078.0,860.4909864371955,941.5267906204456,1080.9744125320012,1047.1594380906406,1030.1490066631202,1141.5446984166333,1041.4308728168498,1008.5897959544824,933.0491967468188,03/06/25,Trondheim,Norway,Relay
FERBAR Csongor,FERBAR Csongor,HUN,True,0,HUNGARY,21,,21-3,,,,,,,,,,,03/06/25,Trondheim,Norway,Relay
SZOLLOS Daniel,SZOLLOS Daniel,HUN,True,0,HUNGARY,21,,21-4,,,,,,,,,,,03/06/25,Trondheim,Norway,Relay
MOSER Benjamin,Benjamin Moser,AUT,True,348,AUSTRIA,22,,22-1,5989.0,1485.4192216114675,1257.995937731582,1244.5513232462797,1269.546191063352,1545.4428162005606,1489.0639692705872,1514.744399002916,1407.2319358579628,1470.950593692988,03/06/25,Trondheim,Norway,Relay
FOETTINGER Michael,Michael Föttinger,AUT,True,214,AUSTRIA,22,,22-2,5978.0,1346.117865358711,1208.8467843757555,1235.0474860365669,1225.3155797735046,1427.176900467373,1386.134970390501,1414.029348457935,1309.6962677296171,1336.4709196476977,03/06/25,Trondheim,Norway,Relay
GANNER Tobias,Tobias Ganner,AUT,True,215,AUSTRIA,22,,22-3,19084.0,1269.3331032184706,1218.6916607169478,1235.2841492606967,1232.7795907665509,1272.7352247385506,1231.94762557006,1258.8436996035105,1222.7746335573804,1262.4007786565037,03/06/25,Trondheim,Norway,Relay
BRANDNER Alexander,Alexander Brandner,AUT,True,212,AUSTRIA,22,,22-4,14025.0,1285.8541993000615,1295.330352976251,1235.2841492606967,1295.2386933485102,1289.2351071975474,1231.94762557006,1284.1845349211246,1222.7746335573804,1282.639835254351,03/06/25,Trondheim,Norway,Relay
DE CAMPO Seve,Seve De Campo,AUS,True,213,AUSTRALIA,23,,23-1,8036.0,1044.372900621315,1062.2468247815054,1090.3310737181266,1112.189224491819,1093.3215174269058,1188.010685310241,1091.7314646118011,1071.3928040351357,1065.6356239428872,03/06/25,Trondheim,Norway,Relay
VIK Lars Young,Lars Young Vik,AUS,True,228,AUSTRALIA,23,,23-2,12386.0,1252.5979760711853,1151.3089865471427,1204.101709673564,1176.7871015999788,1331.727536397585,1283.9829792277455,1354.120721754596,1238.3506146064365,1259.9024349077708,03/06/25,Trondheim,Norway,Relay
WALKER-BROOSE Bentley,Bentley Walker-Broose,AUS,True,0,AUSTRALIA,23,,23-3,9894.0,1067.979083920098,1010.3172861976784,1092.1984093349822,1101.1161383560254,1210.653265256999,1248.4463059319814,1240.8501557631323,1086.8466841819486,1133.5337145866893,03/06/25,Trondheim,Norway,Relay
DE CAMPO Fedele,Fedele De Campo,AUS,True,0,AUSTRALIA,23,,23-4,9897.0,1100.9582474753877,1146.8356158283984,1215.5774140829212,1233.52133406072,1201.6790754888527,1186.026262485548,1256.7192328907593,1126.6148750200612,1204.8908795022585,03/06/25,Trondheim,Norway,Relay
TILESCH Denis,Denis Tilesch,SVK,True,0,SLOVAKIA,24,,24-1,12779.0,1219.5930981141746,1218.6916607169478,1235.2841492606967,1232.7795907665509,1237.0279627437408,1250.6480030881244,1262.4316497081948,1246.1914527344254,1247.0270570650162,03/06/25,Trondheim,Norway,Relay
ADAMOV Michal,ADAMOV Michal,SVK,True,0,SLOVAKIA,24,,24-2,,,,,,,,,,,03/06/25,Trondheim,Norway,Relay
ADAMOV Jan,ADAMOV Jan,SVK,True,0,SLOVAKIA,24,,24-3,,,,,,,,,,,03/06/25,Trondheim,Norway,Relay
HORNIAK Matej,Matej Horniak,SVK,True,0,SLOVAKIA,24,,24-4,15538.0,1198.4339031638538,1198.2056800132143,1254.6789830788146,1262.7386933485102,1234.2338241411019,1231.94762557006,1232.9341680407204,1258.8451868341094,1254.366222399412,03/06/25,Trondheim,Norway,Relay
SKENDER Marko,Marko Skender,CRO,True,0,CROATIA,25,,25-1,8034.0,1092.00171901491,1062.5819466652804,1078.28318531766,1202.6935901422885,1199.599948272888,1195.161038912339,1220.506743117111,1055.0496969285723,1160.5956395769788,03/06/25,Trondheim,Norway,Relay
STIMAC Matija,STIMAC Matija,CRO,True,0,CROATIA,25,,25-2,,,,,,,,,,,03/06/25,Trondheim,Norway,Relay
STEFANCIC Boris,STEFANCIC Boris,CRO,True,0,CROATIA,25,,25-3,,,,,,,,,,,03/06/25,Trondheim,Norway,Relay
PELKO Ivano,PELKO Ivano,CRO,True,0,CROATIA,25,,25-4,,,,,,,,,,,03/06/25,Trondheim,Norway,Relay
JARECKI Piotr,Piotr Jarecki,POL,True,0,POLAND,26,,26-1,15530.0,1310.3684764774707,1294.0461295583243,1235.2841492606967,1232.7795907665509,1332.1187113222888,1231.94762557006,1350.03591012958,1222.7746335573804,1327.9793717737869,03/06/25,Trondheim,Norway,Relay
STAREGA Maciej,Maciej Starega,POL,True,223,POLAND,26,,26-2,139.0,1338.8629586086795,1060.462402933643,1122.8793514700044,1102.409166472366,1407.6042237974918,1261.743651389158,1486.499867545626,1194.700047346374,1403.8540042448094,03/06/25,Trondheim,Norway,Relay
BRYJA Sebastian,Sebastian Bryja,POL,True,222,POLAND,26,,26-3,12700.0,1163.734556409065,1154.0834761402086,1216.4357846296248,1203.4219706028728,1285.1086557818005,1316.013981795163,1240.1259481981897,1227.1874664100533,1182.553701577,03/06/25,Trondheim,Norway,Relay
BURY Kamil,Kamil Bury,POL,True,216,POLAND,26,,26-4,5182.0,1270.0559854767962,1137.4627098279093,1148.3672527132578,1173.054152850192,1325.2917074282886,1309.596976269063,1311.157319635633,1247.4251389125182,1248.4417873630898,03/06/25,Trondheim,Norway,Relay
STROLIA Tautvydas,Tautvydas Strolia,LTU,True,230,LITHUANIA,27,,27-1,2281.0,1080.6611329455095,1050.9610115583698,1136.4707730666814,1138.079838808543,1190.4343060394472,1156.777356148215,1201.3283742958797,1093.8474486473076,1114.212011190501,03/06/25,Trondheim,Norway,Relay
VAICIULIS Modestas,Modestas Vaiciulis,LTU,True,214,LITHUANIA,27,,27-2,1652.0,1274.0232675130446,1204.6608485861293,1235.2841492606967,1203.377722030614,1312.7706761883762,1260.0887113870428,1327.0016969876656,1243.749391533083,1275.5895278521073,03/06/25,Trondheim,Norway,Relay
GRAZYS Matas,Matas Grazys,LTU,True,0,LITHUANIA,27,,27-3,19962.0,1225.3406914712566,1218.6916607169478,1235.2841492606967,1232.7795907665509,1238.0978533621178,1255.4425532237349,1248.03591012958,1256.3138232808926,1249.5178333122485,03/06/25,Trondheim,Norway,Relay
JONIKAS Daujotas,JONIKAS Daujotas,LTU,True,0,LITHUANIA,27,,27-4,,,,,,,,,,,03/06/25,Trondheim,Norway,Relay
NOTZ Florian,Florian Notz,GER,True,230,GERMANY,3,,3-1,1488.0,1457.5198031233692,1488.229448902218,1355.3254916732262,1479.563046315977,1085.51149564185,1135.6540116076897,1063.5358477476027,1367.9034728541276,1422.6122827213137,03/06/25,Trondheim,Norway,Relay
KUCHLER Albert,Albert Kuchler,GER,True,224,GERMANY,3,,3-2,8048.0,1404.9316521145608,1424.7869305059362,1426.3610732002671,1331.2225533311414,1144.99162780266,1200.7539297094436,1147.5925036579724,1421.7072966384571,1296.3477040195478,03/06/25,Trondheim,Norway,Relay
MOCH Friedrich,Friedrich Moch,GER,True,3657,GERMANY,3,,3-3,9323.0,1616.8683319630163,1693.5085752550165,1557.840191868443,1620.9503191109716,1217.407280863165,1225.6828301871826,1214.8667938021867,1519.2022157451306,1532.559387696248,03/06/25,Trondheim,Norway,Relay
BRUGGER Janosch,Janosch Brugger,GER,True,257,GERMANY,3,,3-4,3657.0,1444.4509541050395,1468.8044664758422,1413.621359412096,1418.5667089604617,1313.3904777033629,1307.763733230863,1296.4345696493122,1365.9396411269408,1433.2079281381305,03/06/25,Trondheim,Norway,Relay
BOURDIN Remi,Remi Bourdin,FRA,True,268,FRANCE,4,,4-1,17445.0,1526.5283411794142,1498.6443027047085,1469.333395466224,1378.900521113398,1487.119189891588,1309.489820983641,1564.2780019241263,1414.980807449166,1539.8485638978136,03/06/25,Trondheim,Norway,Relay
LAPALUS Hugo,Hugo Lapalus,FRA,True,3917,FRANCE,4,,4-2,6018.0,1677.17959133689,1736.9898217140794,1650.5289251291288,1616.587481445874,1207.8588349975926,1203.865252507591,1217.9324889253196,1566.1049157750672,1584.673084948449,03/06/25,Trondheim,Norway,Relay
LAPIERRE Jules,Jules Lapierre,FRA,True,697,FRANCE,4,,4-3,3646.0,1476.1997522612166,1496.3024020414357,1306.399487222631,1541.6676639564057,1213.3529909957251,1248.0595007533725,1201.1612508701264,1320.9375142531062,1489.0858210768065,03/06/25,Trondheim,Norway,Relay
DESLOGES Mathis,Mathis Desloges,FRA,True,1201,FRANCE,4,,4-4,12767.0,1617.7488621014331,1634.5963046160796,1496.3898013527046,1506.1103618463064,1271.9211019825816,1286.0463059319816,1269.7829891145184,1472.593471085749,1524.4790760282658,03/06/25,Trondheim,Norway,Relay
MCKEEVER Xavier,Xavier McKeever,CAN,True,230,CANADA,5,,5-1,12676.0,1338.7599433115272,1273.2516575884092,1301.113213332617,1219.5699761054643,1382.9428068055915,1365.3410723481763,1350.3988150358646,1343.4469064799448,1281.7470792888146,03/06/25,Trondheim,Norway,Relay
CYR Antoine,Antoine Cyr,CAN,True,1216,CANADA,5,,5-2,9225.0,1459.292846689604,1506.5494453060303,1524.5975811357694,1411.1938027482065,1378.0642937599346,1409.6991743780231,1317.476000179185,1472.294050776435,1393.725000581865,03/06/25,Trondheim,Norway,Relay
HOLLMANN Max,Max Hollmann,CAN,True,213,CANADA,5,,5-3,18737.0,1281.2957825266374,1291.620836364247,1272.4286450902057,1326.6722400261203,1266.3639953859822,1268.405715529064,1281.410597384605,1261.282566511298,1327.5494533567226,03/06/25,Trondheim,Norway,Relay
LEVEILLE Olivier,Olivier Leveille,CAN,True,233,CANADA,5,,5-4,14108.0,1379.1140270040935,1390.364523005962,1310.752230200252,1346.2397866356569,1230.568172382278,1223.6852090458603,1250.9764696146349,1281.2453713643054,1351.8403977526284,03/06/25,Trondheim,Norway,Relay
GISSELMAN Truls,Truls Gisselman,SWE,True,357,SWEDEN,6,,6-1,12782.0,1406.5186688849838,1413.0195994198289,1395.5395192034364,1357.3376886418707,1310.722034733369,1324.4451737731583,1282.7302489988774,1399.9008493848144,1346.6587778298178,03/06/25,Trondheim,Norway,Relay
POROMAA William,William Poromaa,SWE,True,2746,SWEDEN,6,,6-2,12573.0,1634.338258617538,1678.922649205239,1588.1816285044856,1571.0936721627193,1316.5007531639592,1321.8033651509295,1282.6926989043764,1571.500598034705,1527.7739694994527,03/06/25,Trondheim,Norway,Relay
BURMAN Jens,Jens Burman,SWE,True,1010,SWEDEN,6,,6-3,2811.0,1471.5765978410966,1514.692605693365,1551.8526306572428,1470.7778879716443,1187.1622953648196,1254.9207598051585,1167.88321239402,1513.1887082772057,1427.642096588907,03/06/25,Trondheim,Norway,Relay
ANGER Edvin,Edvin Anger,SWE,True,6714,SWEDEN,6,,6-4,14039.0,1722.529801935948,1629.3103158955005,1542.1699959868474,1493.4308492860323,1722.564111870605,1592.4352154865765,1704.037702596226,1631.1540016405995,1675.2009688276116,03/06/25,Trondheim,Norway,Relay
SCHOONMAKER JC,James Clinton Schoonmaker,USA,True,847,UNITED STATES OF AMERICA,7,,7-1,9201.0,1543.6238025545065,1287.7001553879495,1292.9803484474205,1263.075337909729,1633.147900469319,1544.157527384972,1618.815049364125,1460.804244637528,1531.336175200883,03/06/25,Trondheim,Norway,Relay
KETTERSON Zak,Zak Ketterson,USA,True,218,UNITED STATES OF AMERICA,7,,7-2,5988.0,1403.489447782288,1350.7955515622052,1318.4454660806846,1303.1413332164743,1437.8310530739104,1432.9937991990562,1320.9719037914165,1393.2566234202025,1327.2822424936544,03/06/25,Trondheim,Norway,Relay
