City,Country,Coordinates,Elevation
Kitzbühel,Austria,"47.442524859417105, 12.402004426950084",777
Otepää,Estonia,"58.04037464300684, 26.508490884794757",137
Transjurassienne,France,"46.44393963971343, 6.040093313214192",1170
Stockholm,Sweden,"59.32696097598121, 18.071821313626653",28
Bormio,Italy,"46.41103336294798, 10.497844253665887",1738
Asiago,Italy,"45.85657486694611, 11.535775904573919",1064
Borlänge,Sweden,"60.509332964783304, 15.467661527225358",186
Kuopio,Finland,"62.9086934849749, 27.650272827091975",167
Salzburg,Austria,"47.75076489925616, 13.245055661842095",688
Birkebeinerrennet,Norway,"61.13454396544718, 10.507677505557902",487
Düsseldorf,Germany,"51.22390643600208, 6.7370520822291695",27
Ruka,Finland,"66.17065910554972, 29.140822521912458",337
Clusone,Italy,"45.875562935193784, 9.95268121317373",585
Linz,Austria,"48.311624869073974, 14.293704526230858",260
Drammen,Norway,"59.73838640057188, 10.196882551087946",11
Marcialonga,Italy,"46.29063247341791, 11.459997472608357",993
Umeå,Sweden,"63.82941064156152, 20.28917013334944",19
Pragelato,Italy,"44.99363611073164, 6.919911779735419",1588
Bern,Switzerland,"46.94772641801902, 7.4509707678772745",547
Göteborg,Sweden,"57.70556225595896, 11.9779436005837",6
"Vernon, BC",Canada,"50.362597388605856, -119.10524029037522",1654
Vasaloppet,Sweden,"61.13558138133013, 14.182109762726554",248
Changchun,China,"43.976858056223136, 125.87471285461451",302
München,Germany,"48.14001742557781, 11.58010766124379",517
Rybinsk,Russia,"58.087894884883816, 38.76863304078617",105
Praha,Czechia,"50.07944039970066, 14.430854196436599",214
Liberec,Czechia,"50.726537464389196, 15.067889658473142",438
"Whistler, BC",Canada,"50.15269498242645, -123.10928530308836",1072
Valdidentro,Italy,"46.48478798187818, 10.31732118630417",1317
Rogla,Slovenia,"46.45967839212658, 15.334333719077808",1387
Cortina-Toblach/Dobbiaco,Italy,"46.53695315234694, 12.103980942032441",1560
Sjusjøen,Norway,"61.11385751997873, 10.744552772252549",731
Szklarska Poręba,Poland,"50.81818787628024, 15.517489513348647",711
"Québec, QC",Canada,"46.80425757645284, -71.2199046319565",109
Val Müstair,Switzerland,"46.60695644081733, 10.380120183250837",1601
Sóchi,Russia,"43.6902025760503, 40.325476524739386",1391
Lenzerheide,Switzerland,"46.759362296452444, 9.563049788161734",1501
Planica,Slovenia,"46.47618715413365, 13.724256959487189",942
"Gatineau, QC",Canada,"45.50799370660477, -75.81288174607721",136
"Montréal, QC",Canada,"45.491474793201384, -73.61420699789433",178
Ulricehamn,Sweden,"57.78513241404792, 13.43737855476297",303
Pyeongchang,South Korea,"37.66362904227649, 128.6878648122517",753
Dresden,Germany,"51.070893089408976, 13.716186827414516",114
Åre,Sweden,"63.40321806902089, 13.075670169318396",417
Meråker,Norway,"63.457432254042224, 11.694488712007661",440
Konnerud,Norway,"59.712192458837116, 10.14962924355325",197
Engadin,Switzerland,"46.53661596300779, 9.874931313236605",1711
Engadin Skimarathon,Switzerland,"46.53661596300779, 9.874931313236605",1711
Taizicheng,China,"40.90825427170903, 115.46753114252623",1639
Livigno,Italy,"46.53705423946321, 10.136826248818508",1817
Morez,France,"46.48474072397819, 6.0633373724684985",1127
Tallinn,Estonia,"59.43751675955948, 24.744412004173963",30
Goms,Switzerland,"46.50175564013335, 8.301071265856315",1341
"Minneapolis, MN",USA,"44.99155046705598, -93.3263269316148",258
Klingenthal,Germany,"50.406308885193454, 12.46586512682478",917
Furtwangen im Schwarzwald,Germany,"48.10689933990815, 8.174610875009773",1010
Stachy Zadov,Czechia,"49.066755096182256, 13.631709286882828",939
St. Petersburg,Russia,"59.928270445356446, 30.300573766707085",16
La Féclaz,France,"45.64710971111791, 5.984051699416397",1327
Pontresina,Switzerland,"46.49127313570115, 9.904742089432114",1827
Mora,Sweden,"61.00747777493487, 14.545709542591498",162
