Skier,ID,Nation,Ranking,Points
Melina Berthet,10412,France,144,15
Gina del Rio,10313,Andorra,144,15
Hanne Wilberg Rofstad,4299,Norway,144,15
Anniken Sand,10437,Norway,144,15
Kseniya Shalygina,5390,Kazakhstan,144,15
Emma Albrecht,7589,USA,149,13
Angelina Shuryga,1509,Kazakhstan,149,13
Nadezhda Stepashkina,6922,Kazakhstan,149,13
Teesi Tuul,3328,Estonia,149,13
Anni Alakoski,3037,Finland,153,12
Tuva Anine Brusveen-Jensen,8955,Norway,153,12
Ella Noora Haapalehto,10819,Finland,153,12
Lucia Isonni,9320,Italy,153,12
Ingrid Hallquist,5940,Sweden,157,11
Oona Kettunen,1914,Finland,158,10
Sophia Tsu Velicer,7036,Taiwan,158,10
Renae Anderson,4749,USA,160,9
Anna Milerska,10398,Czechia,160,9
Darya Ryazhko,3468,Kazakhstan,162,8
Emmi Lämsä,3492,Finland,163,7
Saga Nilsson,10628,Sweden,164,6
Lisa Achleitner,3255,Austria,165,5
Maria Eugenia Boccardi,9254,Italy,165,5
Fabienne Alder,11191,Switzerland,167,3
Anna Marie Jaklova,10190,Czechia,167,3
Maelle Veyre,6692,France,167,3
Nora Bråmer,11150,Sweden,170,2
Rebecca Immonen,3033,Finland,170,2
Eui Jin Lee,6644,South Korea,170,2
Lingshuang Chen,12011,China,173,1
Da-Som Han,1519,South Korea,173,1
Amelia Wells,7931,Canada,173,1
