FIS_Name,Skier,ID,Nation,In_FIS_List,Config_Nation,In_Config,Price,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,Base_Quota,Is_Host_Nation,Quota,Race1_Prob,Race2_Prob,Race3_Prob,Race4_Prob,Race5_Prob,Race6_Prob
SIMPSON-LARSEN Karoline,Karoline Simpson-Larsen,2300.0,Norway,True,False,False,3958,1745.7489018377385,1743.9271788270123,1476.7346583643814,1577.4890129489618,1241.1176710362263,1239.0261308575673,1240.3067141883955,1475.9138828996784,1673.5438110091488,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
SKISTAD Kristine Stavaas,Kristine Stavås Skistad,3207.0,Norway,True,False,False,3916,1687.3077560717006,1277.1948082409667,1287.685932518756,1284.6281241489187,1691.0700788046954,1614.1863899634177,1579.5166038197783,1613.6526940045064,1547.6995979773926,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
HAGSTROEM Johanna,Johanna Hagström,3212.0,Sweden,True,False,False,3394,1640.916500695056,1333.3226839860026,1249.760824437867,1297.8717207236527,1733.9132768560494,1664.0171409942009,1607.271308520969,1650.8635665409713,1530.033152990939,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
HENNIG DOTZLER Katharina,Katharina Hennig,,GER,True,False,False,3176,,,,,,,,,,2,False,2,1.0,,,,,
FOSNAES Kristin Austgulen,Kristin Austgulen Fosnæs,4268.0,Norway,True,False,False,3126,1722.5593967622826,1717.827555517589,1547.3209771514612,1558.6828956180104,1355.548582767619,1308.7818497711228,1356.636136529259,1546.9402714155635,1634.6193316729743,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
STADLOBER Teresa,Teresa Stadlober,529.0,Austria,True,False,False,3112,1660.1915623961768,1658.3885816668826,1633.4534069527745,1529.5264199448898,1232.377258316564,1247.556694862228,1219.563310235177,1609.4107473274576,1566.2987689017662,5,False,5,1.0,1.0,1.0,1.0,1.0,1.0
PARMAKOSKI Krista,Krista Pärmäkoski,13.0,Finland,True,False,False,2749,1553.048613264958,1593.2372019082006,1603.750490973826,1508.952806887428,1431.516775013661,1418.914106816155,1432.9178997317342,1513.575580227592,1537.3856562518831,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
NEPRYAEVA Dariya,Dariya Nepryaeva,6555.0,Russia,True,False,False,2442,1401.2024249339945,1402.7128734830526,1245.2228212819164,1366.911954871551,1323.303171512971,1239.0261308575673,1330.1603099451504,1233.698673495549,1408.1109577311422,2,False,2,1.0,1.0,1.0,1.0,1.0,1.0
DRIVENES Julie Bjervig,Julie Bjervig Drivenes,3357.0,Norway,True,False,False,2153,1595.640475342383,1591.724441364931,1460.2762848646985,1488.1895519883772,1291.781126403651,1239.0261308575673,1287.7399885585949,1460.7162961797949,1559.7865600626446,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
SANNESS Nora,Nora Sanness,6324.0,Norway,True,False,False,1982,1626.4972944248395,1620.633811709018,1397.5687926904054,1535.3718090973814,1264.2359653554647,1275.0017667129212,1273.9367067428204,1387.635282565328,1585.3389216257328,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
