Russian_ID,FIS_ID
114251,-114251
114661,-114661
115149,-115149
114493,-114493
113911,-113911
115192,-115192
114140,-114140
114738,-114738
114027,-114027
115239,-115239
113828,-113828
115218,-115218
114793,-114793
114582,-114582
113768,-113768
113950,-113950
113874,-113874
113975,-113975
114873,-114873
114944,-114944
114230,-114230
113884,-113884
113445,-113445
115158,-115158
115201,-115201
115219,-115219
114026,-114026
113913,-113913
114337,-114337
114634,-114634
114611,-114611
114139,-114139
114501,-114501
114843,-114843
114414,-114414
114318,-114318
115110,-115110
113850,-113850
114201,-114201
115088,-115088
115157,-115157
114837,-114837
114166,-114166
114552,-114552
115029,-115029
114378,-114378
113427,-113427
115155,-115155
114905,-114905
113569,-113569
114787,-114787
114874,-114874
114844,-114844
113855,-113855
114182,-114182
115193,-115193
113425,-113425
115220,-115220
115154,-115154
115186,-115186
115005,-115005
114819,-114819
115003,-115003
115048,-115048
114388,-114388
114491,-114491
115038,-115038
115028,-115028
115124,-115124
114391,-114391
114460,-114460
115006,-115006
115126,-115126
114232,-114232
115205,-115205
114392,-114392
115203,-115203
115139,-115139
114231,-114231
114466,-114466
115202,-115202
113477,-113477
114908,-114908
114433,-114433
115194,-115194
114718,-114718
114173,-114173
114889,-114889
115183,-115183
115225,-115225
115008,-115008
114813,-114813
114736,-114736
115226,-115226
115222,-115222
115196,-115196
115050,-115050
115043,-115043
115049,-115049
114098,-114098
115227,-115227
114890,-114890
115198,-115198
114426,-114426
115197,-115197
114681,-114681
115141,-115141
113936,-113936
114964,-114964
110925,-110925
109719,-109719
112367,-112367
110261,-110261
111658,-111658
110848,-110848
109278,-109278
111244,-111244
109266,-109266
111011,-111011
112261,-112261
101684,-101684
111394,-111394
110906,-110906
111615,-111615
109158,-109158
110404,-110404
110341,-110341
109704,-109704
104173,-104173
112665,-112665
367501,-367501
107068,-107068
112982,-112982
114241,-114241
112648,-112648
112212,-112212
109845,-109845
113846,-113846
112179,-112179
111387,-111387
366525,-366525
366524,-366524
366523,-366523
366522,-366522
366521,-366521
366520,-366520
366519,-366519
366518,-366518
366513,-366513
366509,-366509
366508,-366508
366506,-366506
366505,-366505
366504,-366504
366503,-366503
366501,-366501
115206,-115206
115204,-115204
115200,-115200
115184,-115184
