FIS_Name,Skier,ID,Nation,In_FIS_List,Config_Nation,In_Config,Price,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,Base_Quota,Is_Host_Nation,Quota,Race1_Prob,Race2_Prob
Anastasiya Guntareva,Anastasiya Guntareva,9169,Russia,False,False,False,0,1154.5223889253964,1191.2481650674142,1263.8772772020875,1233.7607110564977,1230.9954304238338,1263.2217066448452,1241.525037410209,1236.193833204799,1196.351238766017,2,False,2,0.0,0.0
Karolina Kaleta,Karolina Kaleta,6952,Poland,False,False,False,0,1154.4750863332906,1206.3752224193,1256.6255743241854,1252.11024976672,1220.7341785735846,1314.1565585673177,1192.1730582761077,1265.5584636320102,1168.288676382516,4,False,4,0.0,0.0
Sonja Katajamäki,Sonja Katajamäki,3083,Finland,False,True,False,0,1154.3584687157545,1191.884254995071,1252.8016944654564,1246.874357733799,1241.5802299965503,1252.5107129335072,1261.0239037502304,1220.0247721280352,1206.1759167509997,6,False,6,,0.0
Embla Aksnes,Embla Aksnes,10975,Norway,False,True,False,0,1154.2266160693982,1182.1632217826495,1249.8310402915558,1239.7586474289265,1255.7621540686512,1279.7842243704165,1268.4702996211245,1231.0917424563256,1210.4331543663425,6,False,6,,0.0
Julia Angelsiöö,Julia Angelsiöö,4904,Sweden,False,True,False,0,1153.7346162718238,1150.940059029656,1180.1863546990724,1236.0409524191418,1245.7986814955004,1243.4888103749176,1283.2092703168032,1181.91893086534,1223.3867817864486,6,False,6,,0.0
Elin Andersson,Elin Andersson,6941,Sweden,False,True,False,0,1153.014969374246,1157.9687987732495,1230.9216533742697,1202.8394654584974,1227.047715606082,1242.729039962339,1271.006180490854,1200.4564175922285,1199.1222311061683,6,False,6,,0.0
Teodora Delipara,Teodora Delipara,10330,Bosnia&Herzegovina,False,False,False,0,1152.979098140088,1237.6167760945975,1296.8107469332067,1241.3759734796747,1196.3130061631578,1276.6166943927535,1162.5772637115315,1290.667375167519,1139.2887760225376,2,False,2,0.0,0.0
Andrine Rønning,Andrine Rønning,10509,Norway,False,True,False,0,1152.6176049704395,1181.3951650318695,1257.258386417322,1225.0752226413051,1246.8733028697914,1268.1630239533995,1271.7790553814932,1228.6132064072945,1203.8557899993405,6,False,6,,0.0
Helena Guntern,Helena Guntern,6770,Switzerland,False,True,False,0,1150.692728242134,1182.719763258042,1238.857109911799,1251.6479594501711,1236.8057432112162,1279.1312144617048,1240.170838057046,1223.7332718981406,1196.2729830292217,6,True,11,,0.0
Elvina Yakimova,Elvina Yakimova,-205774,Russia,False,False,False,0,1150.132383680882,1197.5393093926182,1254.6982443891177,1238.0019132312025,1229.4609085994236,1260.7382174315574,1253.0564068646688,1223.1126071671372,1200.1915522409247,2,False,2,0.0,0.0
Kaho Nakajima,Kaho Nakajima,7099,Japan,False,False,False,0,1149.7360793968708,1164.4030771481814,1228.093303692288,1231.2534069216958,1255.1039103017572,1266.5565692218818,1283.7618669762096,1203.0216431737629,1214.5760501308912,3,False,3,0.0,0.0
Ekaterina Burianina,Ekaterina Burianina,5411,Russia,False,False,False,0,1149.4937808529464,1180.6772247042122,1243.7563417974393,1236.7974109463828,1224.476281879156,1256.872244155359,1222.4633258056194,1224.4348920162631,1193.4562818225795,2,False,2,0.0,0.0
Jaqueline Mourao,Jaqueline Mourao,483,Brazil,False,False,False,0,1149.4793063396098,1154.313677904198,1186.0400836013648,1181.4729842277893,1194.2471638273294,1225.297374914393,1177.242732501143,1181.2342602653166,1169.8762044160817,2,False,2,0.0,0.0
Elizaveta Eremeeva,Elizaveta Eremeeva,9431,Russia,False,False,False,0,1149.1681369900264,1172.395371284807,1225.7204111078463,1243.9165907136976,1238.4283683906692,1270.6025104381954,1254.63386452172,1205.452925712238,1217.7922980381602,2,False,2,0.0,0.0
