FIS_Name,Skier,ID,Nation,In_FIS_List,Config_Nation,In_Config,Price,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,Base_Quota,Is_Host_Nation,Quota,Race1_Prob,Race2_Prob,Race3_Prob
Ebba Stenman,Ebba Stenman,5115.0,Sweden,False,True,False,233,1261.3780906123343,1279.2705894868698,1221.39694341023,1278.790528171182,1280.4497732515767,1276.733469203127,1291.492195054508,1282.7567974732067,1270.402362953144,6,False,6,,0.0,0.0
Verena Veit,Verena Veit,9317.0,Germany,False,True,False,233,1241.1396869273503,1239.9147813162358,1261.7836373031198,1287.8371644399892,1285.524894500096,1286.402660430495,1286.309148367129,1255.9078518328076,1273.5734187126086,6,False,6,,0.0,0.0
Anna Stewart,Anna Stewart,8802.0,Canada,False,False,False,233,1238.1467243019742,1261.0724407140297,1291.3602126161852,1263.9224205349992,1261.7626210231854,1277.141809962081,1265.1849834371014,1275.4722139935243,1243.7493941514067,5,False,5,0.0,,
Ksenia Feller,Ksenia Feller,3005.0,Russia,False,False,False,233,1230.52036143284,1252.4742338506042,1286.6226746046766,1243.3825716625663,1231.4693900206512,1256.4314145549,1202.9518106563469,1263.9327773321802,1215.4634046482693,1,False,1,0.0,,
Lucija Medja,Lucija Medja,9083.0,Slovenia,False,False,False,233,1226.4925210697654,1231.724827901738,1236.4013346542658,1250.354127798941,1289.502313794323,1287.594620763698,1265.3854678093812,1285.9851643542772,1239.7310011298132,4,False,4,0.0,,
Kaile He,Kaile He,12304.0,China,False,False,False,233,1204.8586375413634,1236.8635152149284,1278.06865509766,1279.733034048941,1257.1166754964509,1256.7374779065551,1279.3917319812772,1238.2689893519282,1274.9667831203344,2,False,2,0.0,,
Anna Heggen,Anna Heggen,6792.0,Norway,False,True,False,232,1352.911339225391,1338.5512956395596,1328.2281920853557,1288.5382133696323,1261.7417635967795,1267.7636381392815,1272.2659760506483,1325.6975496587556,1308.504384777884,6,False,6,,0.0,0.0
Lea Fischer,Lea Fischer,2284.0,Switzerland,False,True,True,232,1350.700281576007,1238.496594594923,1255.09355648194,1224.132092110222,1388.5292360282644,1361.6607566059542,1347.6985610452234,1337.53227419044,1306.4167000414968,6,False,6,,,
Hilla Niemelä,Hilla Niemelä,6296.0,Finland,False,True,False,232,1306.2176820099703,1240.0005743758727,1248.000527225449,1280.724671698625,1364.8940110852166,1327.3870272299694,1362.3050765898608,1285.6649866566204,1321.3336590226686,6,False,6,,0.0,0.0
Anna Marie Jaklova,Anna Marie Jaklova,10190.0,Czechia,False,False,False,232,1285.9425833592677,1274.1140585357828,1282.0933322273352,1283.671659950508,1304.4465651407522,1306.4457629653466,1286.0381116927192,1292.204591516051,1277.0190043015407,5,False,5,0.0,,
Katja Veit,Katja Veit,11394.0,Germany,False,True,False,232,1283.0700583624655,1254.5096689984605,1253.2056547728062,1295.9570422197046,1283.2662253751955,1282.8836704324451,1270.0304857677995,1253.0421611155964,1277.2510316409978,6,False,6,,0.0,0.0
Alena Perevozchikova,Alena Perevozchikova,3885.0,Russia,False,False,False,232,1270.8620562996502,1296.3217614463772,1267.8361935389912,1321.056938894662,1249.6129959401292,1259.9124365706098,1251.796480421123,1250.0042366366165,1295.368976069751,1,False,1,0.0,,
Martina Bellini,Martina Bellini,3257.0,Italy,False,True,False,232,1260.550413967073,1275.2550056677355,1260.5211251360608,1288.8548697646602,1272.1494078218227,1269.5716806823682,1278.2684273204334,1248.5193408403036,1280.1948945056906,6,False,6,,0.0,0.0
Alena Prochazkova,Alena Prochazkova,23.0,Slovakia,False,False,False,232,1221.3370568636635,1207.8272792554644,1238.900859354255,1220.1865587759653,1271.1580447775686,1306.6494315951304,1234.1839224755986,1264.5327700567718,1210.9310515622612,2,False,2,0.0,,
Arina Perevozchikova,Arina Perevozchikova,9417.0,Russia,False,False,False,232,1168.9762825500968,1210.9778677941551,1250.8748855977828,1254.7767696628855,1233.803417075874,1263.2321959173191,1256.8294769258744,1225.7761197541386,1219.9122859865847,1,False,1,0.0,,
Natalia Ziuzeva,Natalia Ziuzeva,5030.0,Russia,False,False,False,232,1166.4614627045105,1189.169466428271,1247.2306576017515,1231.7729488539508,1227.6402390168655,1243.4026329906812,1235.0721647179464,1219.4382468735853,1217.1766441076354,1,False,1,0.0,,
Kitija Auzina,Kitija Auzina,1651.0,Latvia,False,False,False,232,1100.8230187493257,1144.9933638022385,1156.3855109226954,1232.3531478127795,1142.446590716893,1162.4432222897242,1184.356375804471,1098.574603426037,1180.1350782774882,5,False,5,0.0,,
Kari Øyre Slind,Kari Øyre Slind,89.0,Norway,False,True,False,231,1474.363571746234,1458.21114674229,1377.6758552297088,1429.7664738588744,1368.510987396986,1302.5427586135145,1388.7765192921358,1388.0414983474843,1455.7763078131632,6,False,6,,0.0,0.0
Mariya Istomina,Mariya Istomina,3996.0,Russia,False,False,False,231,1392.6042294878512,1388.16236610421,1306.1340285024892,1374.503128771298,1288.026073469864,1294.6505650378049,1283.5442619415576,1318.693204627188,1378.461370466473,1,False,1,0.0,,
