Russian_ID,FIS_ID
205216,-205216
207360,-207360
206825,-206825
206065,-206065
205602,-205602
207359,-207359
206194,-206194
206255,-206255
207358,-207358
206915,-206915
206737,-206737
205757,-205757
206375,-206375
205839,-205839
206484,-206484
206741,-206741
366026,-366026
366025,-366025
366024,-366024
366023,-366023
366022,-366022
366021,-366021
366019,-366019
366018,-366018
366013,-366013
366011,-366011
366008,-366008
366007,-366007
366004,-366004
366003,-366003
366001,-366001
210421,-210421
210417,-210417
210414,-210414
210413,-210413
210412,-210412
210411,-210411
210410,-210410
210408,-210408
210407,-210407
210403,-210403
210402,-210402
210401,-210401
210399,-210399
210397,-210397
210394,-210394
210393,-210393
210391,-210391
210389,-210389
210388,-210388
210387,-210387
210386,-210386
210384,-210384
210383,-210383
210382,-210382
210381,-210381
210378,-210378
210377,-210377
210376,-210376
210374,-210374
210373,-210373
210372,-210372
210370,-210370
210369,-210369
210368,-210368
210367,-210367
210365,-210365
210363,-210363
210362,-210362
210360,-210360
210359,-210359
210358,-210358
210357,-210357
210350,-210350
210348,-210348
210347,-210347
210346,-210346
210345,-210345
210344,-210344
210343,-210343
210342,-210342
210340,-210340
210338,-210338
210336,-210336
210333,-210333
210332,-210332
210331,-210331
210330,-210330
210329,-210329
210328,-210328
210327,-210327
210326,-210326
210325,-210325
210321,-210321
210310,-210310
210307,-210307
210306,-210306
210305,-210305
210304,-210304
210292,-210292
210284,-210284
210281,-210281
210279,-210279
210276,-210276
210275,-210275
210268,-210268
210260,-210260
210248,-210248
210247,-210247
210246,-210246
210242,-210242
210241,-210241
210238,-210238
210230,-210230
210229,-210229
210228,-210228
210218,-210218
210217,-210217
210216,-210216
210215,-210215
210210,-210210
210198,-210198
210197,-210197
210195,-210195
210194,-210194
210193,-210193
210190,-210190
210189,-210189
210186,-210186
210185,-210185
210183,-210183
210181,-210181
210176,-210176
210174,-210174
210172,-210172
210171,-210171
210170,-210170
210168,-210168
210166,-210166
210165,-210165
210159,-210159
210158,-210158
210155,-210155
210153,-210153
210150,-210150
210145,-210145
210143,-210143
210138,-210138
210132,-210132
210114,-210114
210112,-210112
210111,-210111
210106,-210106
210103,-210103
210099,-210099
210094,-210094
210093,-210093
210092,-210092
210091,-210091
210089,-210089
210088,-210088
210078,-210078
210071,-210071
210062,-210062
210058,-210058
210056,-210056
210054,-210054
210039,-210039
210037,-210037
210036,-210036
210032,-210032
210031,-210031
210018,-210018
210017,-210017
210015,-210015
210003,-210003
209997,-209997
209985,-209985
209962,-209962
209958,-209958
209949,-209949
209948,-209948
209940,-209940
209928,-209928
209921,-209921
