Date,Startlist,Sex,City,Country,Distance,Technique,MS,Period,Pursuit,Stage,Elevation
12/28/24,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46769,L,Toblach,Italy,Sprint,F,0,2,0,1,1214
12/28/24,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46770,M,Toblach,Italy,Sprint,F,0,2,0,1,1214
12/29/24,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46773,L,Toblach,Italy,15,C,1,2,0,1,1214
12/29/24,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46774,M,Toblach,Italy,15,C,1,2,0,1,1214
12/31/24,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46775,L,Toblach,Italy,20,F,0,2,0,1,1214
12/31/24,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46776,M,Toblach,Italy,20,F,0,2,0,1,1214
12/7/24,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46744,M,Lillehammer,Norway,Sprint,F,0,1,0,0,487
12/7/24,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46743,L,Lillehammer,Norway,Sprint,F,0,1,0,0,487
12/8/24,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46748,M,Lillehammer,Norway,20, ,1,1,0,0,487
12/8/24,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46747,L,Lillehammer,Norway,20,,1,1,0,0,487
