Skier,Nation,Price,ID,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,Race1_Prob,Race2_Prob,Race3_Prob,Race4_Prob
Teiloora Ojaste,Estonia,0.0,1970,1160.8131852426245,1245.255187542542,1224.316909854812,1245.0708887339122,1201.1358888818895,1232.2872308708263,1221.011215512804,1235.467876771159,1179.7907534313797,0.0,0.0,0.0,0.0
Mariel Merlii Pulles,Estonia,0.0,1969,1268.534060257633,1221.7109270735386,1236.865674005589,1257.414610978666,1344.2349484449296,1296.623657932539,1346.114063023615,1250.3909710415576,1290.3820496493531,0.0,0.0,0.0,0.0
Teesi Tuul,Estonia,0.0,3328,1120.2432238215188,1116.4511527894065,1178.6400960258622,1159.493627483037,1173.2729170257871,1173.8578458452307,1195.6600451001857,1135.8002053534826,1149.6262260561232,0.0,0.0,0.0,0.0
Jasmi Joensuu,Finland,0.0,1675,1668.888324386896,1548.7900341745333,1531.790194811019,1357.5795152650162,1680.2142375382748,1579.6733976833966,1643.5323830972286,1637.2211302536764,1531.8487004197734,0.0,0.0,0.0,0.0
Jasmin Kähärä,Finland,0.0,3528,1520.0576592559648,1408.0378277745608,1321.949423878084,1381.88877526148,1537.8208329168308,1442.2721878190112,1524.8350428580748,1426.1238294125135,1499.499457873584,0.0,0.0,0.0,0.0
Johanna Matintalo,Finland,0.0,1761,1649.3902200910895,1629.8695909375078,1553.5871011967386,1404.1393081310434,1484.5343430360206,1530.156596951625,1281.4895330100123,1606.9004232855852,1423.815252763713,0.0,0.0,0.0,0.0
Kerttu Niskanen,Finland,0.0,37,1621.0781117624672,1666.9022966406849,1647.074739048412,1534.9466454794208,1415.4880069433957,1401.7606212185915,1404.514519941846,1594.4425946349802,1523.0898368092037,0.0,0.0,0.0,0.0
Vilma Nissinen,Finland,0.0,3034,1455.7650662544067,1446.1536229982762,1369.9275324104392,1379.1419456494968,1313.456899899903,1292.930938537197,1305.9797244754725,1372.9894523504393,1404.8077028579933,0.0,0.0,0.0,0.0
Krista Pärmäkoski,Finland,0.0,13,1517.6647854863995,1540.2498849284698,1490.095275753586,1523.4286537445057,1421.4485476653456,1424.5446906160876,1401.888241148834,1479.603312701911,1522.5430561471862,0.0,0.0,0.0,0.0
Vilma Ryytty,Finland,0.0,6607,1447.595186263473,1484.2731805322974,1329.7071970223478,1429.0885366628538,1214.005103984449,1284.2903962796624,1175.7856783421516,1315.6980617616734,1401.441290371364,0.0,0.0,0.0,0.0
Amanda Saari,Finland,0.0,7905,1415.543620582212,1270.6709616718897,1270.2362758618094,1271.2911070018135,1426.2914280976274,1439.312294813679,1298.2489625042615,1415.1813275061263,1293.2060455456983,0.0,0.0,0.0,0.0
Delphine Claudel,France,0.0,1694,1452.2825942191394,1459.878327532732,1340.8657350185467,1498.4935533529313,1285.48576346843,1207.033761135231,1316.484173066337,1341.6340722151156,1488.146929946966,0.0,0.0,0.0,0.0
Clemence Didierlaurent,France,0.0,10690,1257.8710665114809,1218.8821192245227,1226.917532507864,1272.1315436266475,1296.9784810620963,1305.1440269679806,1256.560446701287,1258.1834754922045,1269.5569132095995,0.0,0.0,0.0,0.0
Justine Gaillard,France,0.0,11576,1270.5243239756085,1292.2507914273065,1290.432005495976,1297.2471933991428,1279.8084333846675,1277.3346643877358,1284.399134637781,1274.6128551457018,1282.997423237891,0.0,0.0,0.0,0.0
Melissa Gal,France,0.0,4034,1361.422163206429,1256.256269087171,1223.1644886419826,1290.3258643303698,1427.1757260362324,1329.8696704217723,1437.1275754788203,1281.0140303238904,1390.140627739294,0.0,0.0,0.0,0.0
Cloe Pagnier,France,0.0,10319,1283.9077412672316,1281.6428913702323,1294.7301187035232,1283.167089578637,1287.5895810258885,1292.8932454906246,1284.4951447850538,1294.3719353847391,1284.2083361922917,0.0,0.0,0.0,0.0
Leonie Perry,France,0.0,10413,1400.747137296473,1421.8611374901548,1297.1403751970422,1427.3486816232387,1267.4520172630569,1247.71149723163,1294.521931960939,1267.845038885056,1451.4126550932383,0.0,0.0,0.0,0.0
Julie Pierrel,France,0.0,7444,1298.8919493391054,1252.8184891884116,1268.782042229249,1248.275458100501,1308.8646719074063,1293.9736288605409,1283.529198844275,1292.5833738119609,1242.306295656643,0.0,0.0,0.0,0.0
Pia Fink,Germany,0.0,4004,1619.730609468343,1637.0723441683422,1501.7675698428873,1555.548153061032,1405.5572136916685,1320.2671058058957,1442.254947811457,1490.0122750962732,1593.2104531672092,0.0,0.0,0.0,0.0
Theresa Fürstenberg,Germany,0.0,6801,1344.1227333658217,1308.5117111502086,1275.6589586897303,1320.8695286681907,1336.2625223918767,1311.1952590041144,1363.260626769721,1280.6531004151448,1370.3036793470233,0.0,0.0,0.0,0.0
Laura Gimmler,Germany,0.0,1495,1587.0953197693025,1426.4944440111844,1419.7520207817718,1292.998123761228,1603.5264619371162,1559.490482372444,1552.4911193977116,1543.0387837635371,1494.9589615160871,0.0,0.0,0.0,0.0
Katharina Hennig Dotzler,Germany,0.0,1618,1513.2142005208636,1570.952501627011,1611.0317801208005,1427.6499741112364,1395.369012950356,1402.3301173689804,1331.237553929367,1542.8086715593508,1405.4404643384316,0.0,0.0,0.0,0.0
Helen Hoffmann,Germany,0.0,6691,1540.6743490674878,1577.351971826121,1412.5610786142242,1505.5769215964174,1293.6777596200086,1258.4725191183363,1325.754034103454,1375.4307121291115,1517.457351894663,0.0,0.0,0.0,0.0
Sofie Krehl,Germany,0.0,1695,1463.5028044675205,1403.5108073922188,1331.8785739842492,1402.3066821232944,1459.2062156261347,1367.0363335533295,1497.1527144149554,1372.318142020838,1487.3500401989008,0.0,0.0,0.0,0.0
Coletta Rydzek,Germany,0.0,3254,1527.4763006429134,1369.967984108055,1377.570082977878,1277.949364395228,1641.3435403084177,1507.199501585263,1659.0559051570924,1474.0529380060443,1505.7877704854102,0.0,0.0,0.0,0.0
Katherine Sauerbrey,Germany,0.0,1727,1448.4163263104406,1509.654630323763,1470.1656029333658,1389.8415255815737,1208.9417719139665,1244.9162710091257,1204.461336138463,1402.720445767812,1384.3632951811774,0.0,0.0,0.0,0.0
Anna Pryce,Great Britain,0.0,6640,1253.0167957494114,1223.7705178789147,1259.9739875914645,1270.6066011338255,1304.550003935521,1280.6356693495245,1321.7362576402122,1250.9089843885993,1299.325275372123,0.0,0.0,0.0,0.0
Konstantina Charalampidou,Greece,0.0,8340,1278.6311406051163,1264.46829951996,1276.9612911886088,1270.975659718897,1282.020815657688,1271.118692223979,1279.4044064839932,1275.0445415295503,1278.7626943667024,0.0,0.0,0.0,0.0
Nefeli Tita,Greece,0.0,5219,1159.1984181347054,1177.3427426249168,1242.2070030091943,1224.614169378809,1220.3751783942969,1257.064408396669,1233.3926499572517,1213.0095216537104,1190.2969202653287,0.0,0.0,0.0,0.0
Larissza Vanda Bere,Hungary,0.0,10909,1220.8530064416575,1238.6738064704537,1270.763663259371,1287.5375380300711,1273.4727599757016,1279.844109509396,1263.4488509284377,1268.2379159249724,1259.160574696395,0.0,0.0,0.0,0.0
Sara Ponya,Hungary,0.0,4064,1149.3135737835553,1173.9384502669718,1225.3616502003044,1255.2558190837165,1231.9004722933598,1259.8493913318223,1244.9225903323738,1201.9942972057863,1209.1765429788793,0.0,0.0,0.0,0.0
Kristrun Gudnadottir,Iceland,0.0,3512,1244.601732704406,1259.4887792150812,1266.3676266737082,1282.3520989568106,1269.7967266524806,1300.5919132115084,1257.4048260685104,1270.309138260307,1249.3746015476372,0.0,0.0,0.0,0.0
Samaneh Beyrami Baher,Iran,0.0,6748,1123.5918606344185,1224.0339211335242,1291.7067096649814,1241.4056408181834,1166.656415266137,1235.3701198635038,1200.5747380948362,1229.9512878721234,1163.079634947064,0.0,0.0,0.0,0.0
Federica Cassol,Italy,0.0,9082,1406.5296860548945,1247.7630740357345,1265.0951743542155,1245.912019539196,1506.6234646946814,1390.270295122658,1544.2385003031902,1341.1222083017317,1419.6841602467518,0.0,0.0,0.0,0.0
Anna Comarella,Italy,0.0,1724,1324.8606773674403,1341.2922793764328,1330.4362121721333,1297.237360382128,1182.7565133770354,1225.9772687661705,1153.710390421591,1328.8437513897377,1264.6223453026482,0.0,0.0,0.0,0.0
Iris De Martin Pinter,Italy,0.0,7422,1425.61934148905,1311.4091153835302,1310.2426873160448,1298.7000371427669,1442.413145661861,1365.8526596611937,1449.4568125143128,1360.7188940774138,1396.2442654155068,0.0,0.0,0.0,0.0
Martina Di Centa,Italy,0.0,9084,1290.2486692694308,1285.3255087770133,1273.8280164320752,1274.6655698398908,1223.401490362658,1244.468996987298,1222.9568444452725,1269.6824689823177,1278.9435169843268,0.0,0.0,0.0,0.0
Caterina Ganz,Italy,0.0,1721,1563.6588463756043,1538.1418025244736,1462.6296552368008,1434.3748881566528,1446.444237074211,1402.7692417140288,1437.1055718548496,1475.7814894407604,1509.002754316855,0.0,0.0,0.0,0.0
Maria Gismondi,Italy,0.0,10867,1385.4686576719669,1386.3908977746278,1301.366600179011,1372.0621024517009,1297.6248777698595,1298.0521261168872,1297.4844051382834,1300.811333514357,1391.6427401408123,0.0,0.0,0.0,0.0
Nicole Monsorno,Italy,0.0,6631,1389.317563568392,1213.6611734908504,1233.5226204971088,1225.9661047520372,1491.879486915922,1430.3098396180858,1477.4166629826627,1350.1240841584656,1370.068247667153,0.0,0.0,0.0,0.0
Masae Tsuchiya,Japan,0.0,3498,1304.9998564999532,1299.594186747892,1296.3399043230097,1291.0370548135234,1287.2909907868395,1275.5488364751573,1295.5261905284422,1297.228485769794,1297.3592080151232,0.0,0.0,0.0,0.0
Anna Melnik,Kazakhstan,0.0,6157,1066.2336952437113,1133.425145799713,1188.1640605487046,1213.4900309334591,1133.0673619056709,1160.670007211867,1171.7269901524708,1116.865375988266,1136.191442563607,0.0,0.0,0.0,0.0
Darya Ryazhko,Kazakhstan,0.0,3468,1077.8442349575607,1071.8876062475135,1161.823125697885,1135.9163541673431,1179.1842792684902,1179.5404476081378,1208.8358402310878,1120.2114150317698,1115.1906600408608,0.0,0.0,0.0,0.0
Kseniya Shalygina,Kazakhstan,0.0,5390,1107.3784595470631,1092.4384351682077,1155.8352488803712,1159.7310233094508,1188.1383722933117,1182.375694563157,1205.2697347849055,1127.9278685473655,1155.8196338102082,0.0,0.0,0.0,0.0
Nadezhda Stepashkina,Kazakhstan,0.0,6922,1073.1485855808105,1068.80646487604,1130.339835935122,1139.514107553529,1160.0691796973583,1164.2938359531013,1194.6270991672354,1092.5588873656304,1126.1876766698222,0.0,0.0,0.0,0.0
Kitija Auzina,Latvia,0.0,1651,1088.43156156571,1130.4494606861567,1168.6919694909866,1225.1715305242958,1159.3680441714014,1176.3441316919402,1204.2721843170266,1111.8645063257436,1172.6975969648406,0.0,0.0,0.0,0.0
Patricijia Eiduka,Latvia,0.0,3240,1475.2801711159436,1447.0275318748518,1319.6698925076269,1455.059716534571,1403.5203019522594,1237.9139111367597,1503.5309620732469,1303.250856101129,1520.6912292549505,0.0,0.0,0.0,0.0
Linda Kaparkaleja,Latvia,0.0,10843,1262.9203793119148,1229.617015498722,1274.5173428589294,1265.2259511135046,1268.903425850468,1270.713125332721,1286.1925333901822,1272.8861059368169,1285.1935165896496,0.0,0.0,0.0,0.0
Samanta Krampe,Latvia,0.0,6758,1220.664078314231,1213.6943717065265,1248.4424044690484,1255.6163885796514,1251.3837155153851,1256.3592582170202,1257.325668998034,1227.5024801357702,1239.7960712932672,0.0,0.0,0.0,0.0
Ieva Dainyte,Lithuania,0.0,9326,1203.410442722013,1247.428627585656,1250.93656505299,1221.4907109749845,1226.6950938745056,1233.2028204818769,1251.529370223663,1211.854056959757,1250.0297298325372,0.0,0.0,0.0,0.0
Egle Savickaite,Lithuania,0.0,7450,1206.3321761776388,1250.1304132999417,1253.4307256369316,1203.026538087162,1231.2151986873969,1268.2043401372832,1230.1214768068849,1231.4044476550034,1232.431280289279,0.0,0.0,0.0,0.0
Jenny Axisa Eriksen,Malta,0.0,11009,1265.6780536727647,1185.6580132359118,1264.4607212045678,1225.7581863016096,1268.3614266423683,1268.8438236292832,1262.7668768245255,1236.583122968069,1264.6404161959488,0.0,0.0,0.0,0.0
Regina Martinez Lorenzo,Mexico,0.0,9054,1224.8209303070118,1155.3350713121577,1244.9525786398383,1220.8672699644587,1231.192939536924,1254.2282768478722,1254.1363717740203,1258.308328159039,1257.0682213140592,0.0,0.0,0.0,0.0
Elizaveta Hlusovici,Moldova,0.0,11962,1198.6928265847837,1239.6236738948994,1282.1823372121958,1239.5285158525562,1247.8179552197817,1271.118692223979,1208.2977521493012,1260.2326349512643,1173.5524873542186,0.0,0.0,0.0,0.0
Ariuntungalag Enkhbayar,Mongolia,0.0,567,1239.4302036661134,1258.0651992961896,1277.210833070692,1274.907009671096,1272.2963453519656,1273.0315154863597,1286.6569317365186,1257.898195555671,1268.9212916702045,0.0,0.0,0.0,0.0
Ana Cvetanovska,North Macedonia,0.0,4070,1083.694402426672,1134.083932653737,1245.9482438851066,1172.8147823298302,1162.0554483045107,1258.272126059885,1136.59062784382,1226.3772544590686,1088.7215416452689,0.0,0.0,0.0,0.0
