Skier,ID,Nation,Ranking,Points
Truls Gisselman,12782,Sweden,67,200
Beda Klee,3651,Switzerland,69,196
Edvard Sandvik,12332,Norway,70,191
Jan Thomas Jenssen,5406,Norway,71,188
William Poromaa,12573,Sweden,72,185
Friedrich Moch,9323,Germany,73,184
Eric Rosjö,5940,Sweden,73,184
Zanden McMullen,12698,USA,75,177
Alvar Johannes Alev,1996,Estonia,76,176
Clement Parisse,2353,France,76,176
Emil Danielsson,12801,Sweden,78,169
Ristomatti Hakola,2553,Finland,78,169
Johan Häggström,4399,Sweden,80,164
Iver Tildheim Andersen,8590,Norway,81,162
Jesper Persson,14715,Sweden,82,161
Kevin Bolger,9159,USA,83,146
Michael Hellweger,5979,Italy,83,146
Noe Näff,19984,Switzerland,85,139
Ville Ahonen,2754,Finland,86,135
Roman Alder,19983,Switzerland,87,131
Anian Sossau-Daubermann,9340,Germany,88,111
Lukas Mrkonjic,9689,Austria,89,110
Richard Jouve,2768,France,90,108
Isai Näff,18916,Switzerland,91,105
Didrik Tønseth,1446,Norway,91,105
Leo Johansson,8047,Sweden,93,104
Jason Rüesch,2732,Switzerland,94,99
Michael Föttinger,5978,Austria,95,95
Alexander Ståhlberg,12449,Finland,96,93
Mats Opsal,12359,Norway,97,92
Calle Halfvarsson,73,Sweden,98,86
Amund Korsæth,8597,Norway,99,80
Martin Himma,8092,Estonia,100,79
Andrew Young,1642,Great Britain,101,77
Miha Simenc,2808,Slovenia,102,72
Sasha Masson,14060,Canada,103,70
Jakob Elias Moch,19936,Germany,103,70
Martin Kirkeberg Mørk,12331,Norway,103,70
Marcus Grate,4225,Sweden,106,68
Juuso Haarala,5645,Finland,106,68
Olli Ahonen,5652,Finland,108,65
Xavier McKeever,12676,Canada,108,65
Giacomo Gabrielli,5181,Italy,110,61
Elias Keck,14056,Germany,110,61
Eero Rantala,17230,Finland,112,59
Antonin Savary,12775,Switzerland,113,58
Hunter Wonders,5946,USA,113,58
Matyas Bauer,18927,Czechia,115,57
Remi Drolet,8051,Canada,115,57
Erik Johansson,20542,Sweden,117,56
Aleksander Holmboe,12900,Norway,118,55
Erik Engel,14049,Austria,119,54
Nejc Stern,18932,Slovenia,119,54
Even Solem Michelsen,8605,Norway,121,53
Erik Bergström,18651,Sweden,122,52
Lars Michael Bjertnæs,19128,Norway,123,47
Dominik Bury,3623,Poland,123,47
Nicola Wigger,12697,Switzerland,123,47
Oskar Algotsson,19653,Sweden,126,46
Sindre Bjørnestad Skar,273,Norway,126,46
Ike Melnits,15495,Finland,128,44
Cyril Fähndrich,9975,Switzerland,129,43
Qiang Wang,11198,China,130,40
Matteo Correia,14046,France,131,38
Simen Myhre,5483,Norway,131,38
Vili Crv,5931,Slovenia,133,36
Johnny Hagenbuch,12699,USA,134,35
Ryo Hirose,12172,Japan,135,34
Kalle Parantainen,9714,Finland,136,33
Jonas Eriksson,5590,Sweden,137,31
Jakob Walther,12156,Germany,137,31
Thomas Linnebo Mollestad,18958,Norway,139,30
Marc Colell Pantebre,17552,Spain,140,29
Naoto Baba,5186,Japan,141,28
Irineu Esteve Altimiras,3632,Andorra,141,28
Adam Fellner,2162,Czechia,141,28
Max Hollmann,18737,Canada,141,28
Zachary Jayne,18790,USA,141,28
Ludek Seller,3525,Czechia,141,28
Lars Young Vik,12386,Australia,141,28
Jannis Grimmecke,18926,Germany,148,27
Karl Sebastian Dremljuga,12667,Estonia,149,25
Christopher Kalev,6469,Estonia,149,25
Luke Jager,9176,USA,151,24
Candide Pralong,1538,Switzerland,152,23
Christian Steiner,14071,Austria,153,22
Tobias Ganner,19084,Austria,154,21
Paolo Ventura,6009,Italy,154,21
Lucas Bögl,1540,Germany,156,20
Thomas Hjalmar Westgård,5553,Ireland,156,20
Veeti Pyykkö,13223,Finland,158,19
Maciej Starega,139,Poland,158,19
Victor Cullet,20654,France,160,17
Graham Ritchie,9217,Canada,160,17
Michael Earnhart,14654,USA,162,16
Olivier Leveille,14108,Canada,162,16
Mike Ophoff,12702,Czechia,164,15
Miha Licef,5911,Slovenia,165,13
Simon Jung,14053,Germany,166,12
Thomas Bing,1522,Germany,167,11
Kamil Bury,5182,Poland,167,11
Thomas Stephen,12678,Canada,167,11
Korbinian Heiland,12769,Germany,170,10
Raimo Vigants,4153,Latvia,171,9
Francesco De Fabiani,1496,Italy,172,8
Jonatan Lindberg,19943,Sweden,172,8
Daito Yamazaki,18669,Japan,172,8
Wiljam Mattila,9732,Finland,175,7
Giandomenico Salvadori,2349,Italy,175,7
Niklas Schmid,20927,Germany,177,6
Bernat Selles Gasch,17556,Spain,177,6
Sebastian Bryja,12700,Poland,179,5
Sho Kasahara,13540,Japan,179,5
Valtteri Pennanen,12633,Finland,179,5
Niclas Steiger,17477,Switzerland,179,5
Remi Lindholm,5702,Finland,183,4
Markus Kasanen,13224,Finland,184,3
Alexander Mathisen,17641,Norway,185,2
Ilan Pittier,17442,Switzerland,185,2
Sabin Coupat,17089,France,187,1
Tomas Dufek,8114,Czechia,187,1
Jesse Kahara,19944,Finland,187,1
Giovanni Ticco,12675,Italy,187,1
