"FISName","Skier","ID","Nation","StartOrder","Bib","Is_Host_Nation","In_Startlist","Year","Run1","Run2","Time","Points","Discipline","Elo","Downhill_Elo","Super.G_Elo","Giant.Slalom_Elo","Slalom_Elo","Combined_Elo","Tech_Elo","Speed_Elo","Race_Elo","Race1_Prob","City","Country","Race_Type","Race_Date","Race2_Prob","Race3_Prob","Race4_Prob","Sex"
"Alban Elezi Cannaferina","Alban Elezi Cannaferina",5693,"France",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1311.3032505609,1298.48081969774,1345.88240479209,1303.14531236837,1231.59439724121,1297.91382625938,1304.51070869987,1346.17983995781,1345.88240479209,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0.16,0.411764705882353,0,"M"
"Arnaud Boisset","Arnaud Boisset",4710,"Switzerland",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1369.23848587775,1332.11350713605,1342.54992581993,1279.7361407633,1246.14626551019,1268.84606246438,1226.26465450828,1367.10244964641,1342.54992581993,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0.478260869565217,0,0,"M"
"MIGGIANO Alessio","Alessio Miggiano",5726,"SUI",NA,16,"False","True",2002,NA,NA,NA,NA,"Downhill",1332.73590462085,1334.3505920791,1293.4653137842,1273.82863896548,1277.54675735995,1289.22828769153,1267.3201166527,1336.99068206037,1334.3505920791,1,"Lillehammer","Norway","Men's Downhill","03/21/2026",0.214285714285714,0,0,"M"
"Gino Caviezel","Gino Caviezel",2402,"Switzerland",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1444.72357934283,1255.50446415832,1331.22196014795,1482.83320657994,1323.51290710827,1295.04150635108,1489.78704450272,1353.06758422502,1331.22196014795,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0.6,0.64,0.0175438596491228,"M"
"Daniel Danklmaier","Daniel Danklmaier",2562,"Austria",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1338.76679141323,1334.15265962003,1322.72728609501,1273.82863896548,1277.54675735995,1314.9581878132,1267.3201166527,1330.65391256999,1322.72728609501,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0.425,0,0,"M"
"Jeffrey Read","Jeffrey Read",2208,"Canada",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1265.44474593608,1223.00813225081,1319.02422659832,1291.46301871463,1297.61501009261,1245.47258816328,1285.17440449029,1256.14623819274,1319.02422659832,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0.8,0,0,"M"
"Victor Muffat-Jeandet","Victor Muffat-Jeandet",2024,"France",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1450.55874516966,1230.76228704494,1314.61592769902,1325.72018430044,1449.46835326562,1441.55658230569,1447.03015679834,1327.04610956401,1314.61592769902,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0.4,0.596491228070175,"M"
"River Radamus","River Radamus",2986,"USA",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1471.61745635641,1229.28665391454,1312.61524322188,1531.91109597715,1251.73642994975,1357.98099750211,1510.70553659794,1311.64520411167,1312.61524322188,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0.55,0.92,0.140350877192982,"M"
"Andreas Ploier","Andreas Ploier",4998,"Austria",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1309.14429722571,1279.52428000335,1311.0374439897,1284.51068368868,1277.54675735995,1263.38255525553,1300.64924081486,1308.67804248413,1311.0374439897,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0.366666666666667,0,0,"M"
"Henrik Kristoffersen","Henrik Kristoffersen",2391,"Norway",999,999,"True","False",NA,NA,NA,NA,NA,"Super G",1701.65291936822,1299.92739012257,1308.29832000418,1640.73679099064,1650.79327040872,1328.2471281624,1698.85035698112,1310.30381531141,1308.29832000418,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0.96,0.964912280701754,"M"
