FIS_Name,Skier,ID,Nation,In_FIS_List,Elo,Downhill_Elo,Super G_Elo,Giant Slalom_Elo,Slalom_Elo,Combined_Elo,Tech_Elo,Speed_Elo,Race_Elo,Race_Type,Recent_Competitor,City,Country,Discipline,Race_Date
POLANYI Lili,Lili POLANYI,,HUN,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
AHMADPOUR Sarina,Sarina AHMADPOUR,,IRI,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
DIMITROF Evridiki,Evridiki DIMITROF,,GRE,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
FILIPPIDI EIRINI,EIRINI FILIPPIDI,,GRE,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
RAHME Christa,Christa RAHME,,LBN,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
SANDHYA Sandhya,Sandhya SANDHYA,,IND,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
FARHOUD Joud,Joud FARHOUD,,KSA,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
THAKUR Aanchal,Aanchal THAKUR,,IND,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
PALIUTKINA Olga,Olga PALIUTKINA,,KGZ,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
PUPOVCI Arba,Arba PUPOVCI,,KOS,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
THAKUR Tanuja,Tanuja THAKUR,,IND,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
MARTI Celine,Celine MARTI,,HAI,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
HECTOR Sara,Sara HECTOR,,SWE,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
MEILLARD Melanie,Melanie MEILLARD,,SUI,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
HOLTMANN Mina Fuerst,Mina Fuerst HOLTMANN,,NOR,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
NULLMEYER Ali,Ali NULLMEYER,,CAN,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
CLERC Mialitiana,Mialitiana CLERC,,MAD,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
REINHARDE Elizabete,Elizabete REINHARDE,,LAT,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
KOVALEVA Valeriya,Valeriya KOVALEVA,,UZB,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
STEPHAN Sarah,Sarah STEPHAN,,LBN,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
SAVEHSHEMSHAKI Sadaf,Sadaf SAVEHSHEMSHAKI,,IRI,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
IVANOVA Albina,Albina IVANOVA,,KGZ,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
KING Eloise Yung Shih,Eloise Yung Shih KING,,HKG,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
MATISONE Leticija,Leticija MATISONE,,LAT,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
BALOGH LORINC Bernadett,Bernadett BALOGH LORINC,,ROU,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
DRAGOLJEVIC Nikolina,Nikolina DRAGOLJEVIC,,BIH,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
LINGG Charlotte,Charlotte LINGG,,LIE,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
