Skier,ID,Nation,Ranking,Points,Wins
Max Perathoner,6656,Italy,146,5,0
Cooper Puckett,5567,USA,146,5,0
Juan Del Campo,2602,Spain,149,4,0
Bridger Gile,5310,USA,149,4,0
Nejc Naralocnik,3001,Slovenia,149,4,0
Tommaso Saccardi,5587,Italy,149,4,0
George Steffey,4295,USA,149,4,0
Simon Talacci,5494,Italy,149,4,0
Gustav Wissting,7109,Sweden,149,4,0
Corrado Barbera,5644,Italy,156,3,0
