Date,Startlist,Sex,City,Country,Distance,Period,Championship,Race
03/07/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127417,L,Val di Fassa,Italy,Downhill,5,0,35
03/07/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127419,M,Kranjska Gora,Slovenia,Giant Slalom,5,0,35
03/08/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127418,L,Val di Fassa,Italy,Super G,5,0,36
03/08/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127420,M,Kranjska Gora,Slovenia,Slalom,5,0,36
03/14/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127424,M,Courchevel,France,Downhill,5,0,37
03/14/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127426,L,Are,Sweden,Giant Slalom,5,0,37
03/15/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127425,M,Courchevel,France,Super G,5,0,38
03/15/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127427,L,Are,Sweden,Slalom,5,0,38
03/21/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127433,M,Lillehammer,Norway,Downhill,5,0,39
03/21/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127432,L,Lillehammer,Norway,Downhill,5,0,39
03/22/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127435,M,Lillehammer,Norway,Super G,5,0,40
03/22/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127434,L,Lillehammer,Norway,Super G,5,0,40
03/24/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127436,M,Lillehammer,Norway,Giant Slalom,5,0,41
03/24/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127437,L,Lillehammer,Norway,Slalom,5,0,41
03/25/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127439,M,Lillehammer,Norway,Slalom,5,0,42
03/25/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127438,L,Lillehammer,Norway,Giant Slalom,5,0,42
