FISName,Skier,ID,Nation,StartOrder,Bib,Is_Host_Nation,In_Startlist,Year,Run1,Run2,Time,Points,Discipline,Elo,Downhill_Elo,Super G_Elo,Giant Slalom_Elo,Slalom_Elo,Combined_Elo,Tech_Elo,Speed_Elo,Race_Elo,Race1_Prob,City,Country,Race_Type,Race_Date
CHRISTEN Eliane,Eliane Christen,4471,SUI,,19,False,True,1999,,,,,Slalom,1316.601101618291,1265.5709253288426,1272.5450984839335,1300.920497042324,1315.2155817078144,1289.5884390520164,1316.4798674299657,1261.9723462816562,1315.2155817078144,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
HOFFMAN Madison,Madison Hoffman,3997,AUS,,53,False,True,2000,,,,,Slalom,1282.75265682214,1265.5709253288426,1272.5450984839335,1264.938792396785,1304.7990588569453,1289.5884390520164,1284.4352480689886,1261.9723462816562,1304.7990588569453,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
GOOD Nicole,Nicole Good,3782,SUI,,45,False,True,1998,,,,,Slalom,1306.8771193775578,1286.422593630027,1274.353432099443,1235.710912432772,1302.4863273595536,1308.5479245522106,1304.2504212252036,1262.274696919843,1302.4863273595536,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
HENSIEN Katie,Katie Hensien,3887,USA,,38,False,True,1999,,,,,Slalom,1375.6090001043815,1265.5709253288426,1272.5450984839335,1371.309165403322,1290.1473174949035,1289.5884390520164,1375.4038870049612,1261.9723462816562,1290.1473174949035,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
SOLA Beatrice,Beatrice Sola,4229,ITA,,55,False,True,2003,,,,,Slalom,1274.9979005705898,1265.5709253288426,1272.5450984839335,1253.7563667620834,1289.2960521208088,1289.5884390520164,1275.2718956525357,1261.9723462816562,1289.2960521208088,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
KUFAAS Mariel,Mariel Kufaas,3965,NOR,,62,False,True,1999,,,,,Slalom,1286.651815968999,1298.8671996623336,1258.6396462902612,1138.7941534437923,1287.2574484692657,1289.5884390520164,1287.2292699285397,1256.3745118095155,1287.2574484692657,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
LUGON-MOULIN Laurine,Laurine Lugon-Moulin,4264,FRA,,70,False,True,2001,,,,,Slalom,1285.6702625709408,1265.5709253288426,1283.8865110835984,1199.1271822170584,1286.3276142151217,1289.5884390520164,1286.293803749381,1278.3480482564364,1286.3276142151217,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
GRITSCH Franziska,Franziska Gritsch,3694,AUT,,51,False,True,1997,,,,,Slalom,1283.326365146327,1234.418183156714,1326.1450635889914,1319.8088836539157,1285.904476718199,1354.8884544838415,1285.657397714917,1292.3874469948364,1285.904476718199,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
POGNEAUX Chiara,Chiara Pogneaux,3966,FRA,,61,False,True,2002,,,,,Slalom,1288.1717685370106,1265.5709253288426,1295.6212085809009,1235.8317641378314,1283.950517451438,1300.9377774143982,1285.763363634146,1294.9015108684866,1283.950517451438,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
STJERNESUND Thea Louise,Thea Louise Stjernesund,3019,NOR,,68,False,True,1996,,,,,Slalom,1517.865074215279,1271.168645250613,1256.9308752235183,1595.9802426551903,1279.6226077389824,1291.853804411236,1522.8606248544947,1226.4168116662192,1279.6226077389824,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
TOMSIC Nika,Nika Tomsic,3581,SLO,,43,False,True,2000,,,,,Slalom,1251.3474360632508,1265.5709253288426,1285.316637190363,1243.1730655653944,1279.5033187883569,1285.5895350200922,1254.4501347174255,1287.434837075078,1279.5033187883569,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
HILZINGER Jessica,Jessica Hilzinger,1339,GER,,50,False,True,1997,,,,,Slalom,1236.0598842260376,1265.5709253288426,1288.306353227362,1195.3035461394168,1279.120757509713,1294.4009567301744,1233.503564299558,1289.7180712689342,1279.120757509713,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
BOCOCK Elisabeth,Elisabeth Bocock,4761,USA,,42,False,True,2005,,,,,Slalom,1325.748306307536,1265.5709253288426,1294.2873256443515,1341.70497903532,1276.9524942713872,1300.0,1329.7146874193709,1291.0617393552395,1276.9524942713872,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
O'BRIEN Nina,Nina O'Brien,1346,USA,,30,False,True,1997,,,,,Slalom,1451.8644874438442,1292.5840586857485,1265.6910393809765,1495.082379527638,1276.890210209512,1287.5568338018911,1454.146157358704,1269.8698055191935,1276.890210209512,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
BOSTROEM MUSSENER Moa,Moa Boström Mussener,4168,SWE,,48,False,True,2001,,,,,Slalom,1266.7215706160214,1265.5709253288426,1301.3573207175225,1273.869006178392,1275.3438756895118,1289.5884390520164,1267.270696250789,1300.5179782032878,1275.3438756895118,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
STEINMAIR Laura,Laura Steinmair,4237,ITA,,67,False,True,2000,,,,,Slalom,1231.207966683386,1265.5709253288426,1272.5450984839335,1224.5998967048563,1268.6821872983817,1289.5884390520164,1230.2032626950534,1261.9723462816562,1268.6821872983817,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
MONDINELLI Emilia,Emilia Mondinelli,4987,ITA,,54,False,True,2004,,,,,Slalom,1269.1073067364855,1265.5709253288426,1272.5450984839335,1262.9096880304976,1268.6063352885185,1289.5884390520164,1269.911501666915,1261.9723462816562,1268.6063352885185,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
SZOLLOS Noa,Noa Szollos,4124,ISR,,69,False,True,2003,,,,,Slalom,1241.4760508611712,1265.5709253288426,1281.9346697627122,1246.7061868630724,1268.1355482160411,1273.6619942602183,1245.3950170044857,1285.0884041406366,1268.1355482160411,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
FALCH Natalie,Natalie Falch,4280,AUT,,27,False,True,2004,,,,,Slalom,1263.303341245904,1265.5709253288426,1272.5450984839335,1229.7244902229654,1267.5244303695697,1289.5884390520164,1266.8171149396408,1261.9723462816562,1267.5244303695697,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
TOTH Zita,Zita Toth,3970,HUN,,65,False,True,2002,,,,,Slalom,1261.3465830819223,1265.5709253288426,1301.3573207175225,1297.5279060599487,1255.4575261371788,1300.0,1263.169061058755,1300.5179782032878,1255.4575261371788,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
