"FISName","Skier","ID","Nation","StartOrder","Bib","Is_Host_Nation","In_Startlist","Year","Run1","Run2","Time","Points","Discipline","Elo","Downhill_Elo","Super.G_Elo","Giant.Slalom_Elo","Slalom_Elo","Combined_Elo","Tech_Elo","Speed_Elo","Race_Elo","Race1_Prob","City","Country","Race_Type","Race_Date","Sex"
"Shuka Sato","Shuka Sato",6150,"Japan",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1274.72350378361,1264.93731105608,1271.97110499893,1279.14571054722,1300.72488230152,1289.58843905202,1275.14569547827,1261.55820519784,1279.14571054722,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Victoria Olivier","Victoria Olivier",4232,"Austria",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1251.48142839764,1254.09275935848,1323.72313914146,1278.80174938315,1238.92979389012,1300,1292.89435736262,1250.19175780097,1278.80174938315,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Cate Dance","Cate Dance",5305,"Australia",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1265.85025511848,1264.93731105608,1299.16862675405,1278.7679156431,1293.47864740458,1289.58843905202,1267.1433981103,1299.24998758817,1278.7679156431,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Laura Huber","Laura Huber",5311,"Switzerland",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1175.23033159918,1213.94483861837,1242.63647413851,1278.74115697316,1274.45809498926,1289.58843905202,1272.95555016551,1176.90260014983,1278.74115697316,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Brooke Brown","Brooke Brown",5840,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1233.0172358459,1300,1298.76287144369,1278.71212545271,1267.81177922739,1289.58843905202,1237.12763874754,1298.56331871212,1278.71212545271,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Nicole Wordley","Nicole Wordley",5133,"Great Britain",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1180.85910053293,1250.8134764296,1290.52727338007,1278.43365606988,1270.84884383946,1289.58843905202,1238.54922999168,1234.33079382283,1278.43365606988,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Valeriya Kovaleva","Valeriya Kovaleva",4094,"Uzbekistan",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1263.11292626097,1264.93731105608,1271.97110499893,1278.41583287747,1283.48011555073,1289.58843905202,1264.0009984546,1261.55820519784,1278.41583287747,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Annette Belfrond","Annette Belfrond",4065,"Italy",999,999,"True","False",NA,"","","",NA,"Giant Slalom",1232.25371150569,1264.93731105608,1297.1308437481,1278.36476850906,1251.86707425464,1300,1232.57333110843,1296.63686635093,1278.36476850906,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Solveig Moritz","Solveig Moritz",5883,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1244.77386561389,1296.0996580533,1296.32712193856,1278.29199420278,1287.93020461139,1289.58843905202,1260.47125326084,1292.03626023315,1278.29199420278,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Sarah Schleper","Sarah Schleper",132,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1254.83727180641,1282.36308857011,1229.40790598288,1278.18010557294,1241.64325636317,1292.26067898071,1272.48876838009,1229.63976101591,1278.18010557294,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Romane Miradoli","Romane Miradoli",196,"France",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1564.55143945026,1435.6583025158,1536.6771765013,1278.12944726328,1240.99727933108,1247.61900999,1282.98228215602,1557.9950802553,1278.12944726328,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Allison Mollin","Allison Mollin",4773,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1323.31647990548,1330.57769344109,1225.96276011821,1277.9202744302,1297.8575204013,1300,1271.7232292453,1314.58868748503,1277.9202744302,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Christina Ager","Christina Ager",390,"Austria",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1315.89024664236,1301.18915029254,1284.49941298759,1277.65026852265,1267.61114783018,1309.85874732906,1278.21179226271,1299.19266917844,1277.65026852265,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Cornelia Hütter","Cornelia Hütter",94,"Austria",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1599.48927075689,1549.40892382253,1532.98604171248,1277.51377683959,1299.36929031904,1292.40608482034,1279.25173797057,1585.46486735186,1277.51377683959,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Rosa Pohjolainen","Rosa Pohjolainen",4060,"Finland",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1143.89955809819,1191.68273472189,1184.11844753862,1277.5030026305,1292.04066116833,1298.90400948148,1294.14122105191,1130.69987674937,1277.5030026305,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Nicole Eibl","Nicole Eibl",5020,"Austria",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1212.5611700764,1225.14703471614,1267.78457257522,1277.37255620647,1274.45809498926,1289.58843905202,1270.39521905538,1221.80519440174,1277.37255620647,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Anastasiya Shepilenko","Anastasiya Shepilenko",3607,"Ukraine",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1240.08565106678,1257.43699004068,1252.8489567859,1277.30749665998,1271.423600337,1298.46263994239,1262.67858533303,1257.99431603258,1277.30749665998,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"So-Hui Gim","So-Hui Gim",413,"South Korea",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1242.29629439317,1264.93731105608,1295.57261957257,1276.79119800215,1249.28126709368,1298.94225229942,1242.64091794493,1293.61667381627,1276.79119800215,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Elvedina Muzaferija","Elvedina Muzaferija",2989,"Bosnia&Herzegovina",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1180.90294260281,1140.20470354965,1218.38149785955,1276.48613900857,1258.36239216168,1228.80538488058,1254.65199971047,1164.66368536573,1276.48613900857,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Rachel Tiviluk","Rachel Tiviluk",6024,"Canada",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1258.6818191942,1264.93731105608,1300,1276.47316002309,1293.24785440542,1289.58843905202,1262.85029921816,1300,1276.47316002309,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Francesca Semprebon","Francesca Semprebon",6451,"Italy",999,999,"True","False",NA,"","","",NA,"Giant Slalom",1200.02593645597,1264.93731105608,1271.97110499893,1276.31751209323,1232.9631486566,1289.58843905202,1202.65403597277,1261.55820519784,1276.31751209323,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Ellie Coomber","Ellie Coomber",6129,"Australia",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1234.57668700606,1291.95520054627,1283.31211832172,1275.90900222728,1291.80046619072,1289.58843905202,1268.96492907478,1273.09331780658,1275.90900222728,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Victoria Palla","Victoria Palla",3921,"Great Britain",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1225.31495333314,1264.93731105608,1271.97110499893,1275.7518557716,1233.91559942877,1289.58843905202,1226.13377315771,1261.55820519784,1275.7518557716,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Marta Rossetti","Marta Rossetti",3945,"Italy",999,999,"True","False",NA,"","","",NA,"Giant Slalom",1349.52553126504,1264.93731105608,1271.97110499893,1275.42229496406,1346.88090148953,1289.58843905202,1349.11587012677,1261.55820519784,1275.42229496406,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Mia Lambert","Mia Lambert",5985,"Canada",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1243.98329534645,1264.93731105608,1298.51880904906,1275.28671765637,1282.26204420601,1289.58843905202,1251.59229351046,1297.858015719,1275.28671765637,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Amelia Smart","Amelia Smart",2983,"Canada",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1312.94871126131,1264.93731105608,1293.96521726938,1275.11625098602,1313.01913816585,1300,1312.90321650263,1293.18943461123,1275.11625098602,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Mari Renick","Mari Renick",6417,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1269.96635356592,1264.93731105608,1298.51880904906,1274.88696760854,1274.45809498926,1289.58843905202,1273.82970679453,1298.9320107221,1274.88696760854,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Ruby Smith","Ruby Smith",6236,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1234.63547909768,1298.0371097514,1297.48095985934,1274.80198539174,1273.5359089863,1289.58843905202,1242.65914559899,1296.35729068879,1274.80198539174,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Sabina Rejepova","Sabina Rejepova",5952,"Uzbekistan",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1275.37388803016,1264.93731105608,1300,1274.50999483603,1296.27296484439,1300,1275.95559508519,1300,1274.50999483603,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Abby Olson","Abby Olson",5834,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1241.98281766633,1299.6632506985,1295.89062470908,1274.46444615267,1285.14055966781,1289.58843905202,1254.26594086277,1295.10440253442,1274.46444615267,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Felin Borge-Andersen","Felin Borge-Andersen",6248,"Norway",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1237.36232408318,1272.19440383254,1300.39327602696,1274.22847099734,1274.45809498926,1289.58843905202,1269.36633590629,1264.51117688025,1274.22847099734,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Mille Bjørnbakk Gulbrandsen","Mille Bjørnbakk Gulbrandsen",6063,"Norway",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1269.44962385654,1264.93731105608,1271.97110499893,1274.22847099734,1274.45809498926,1289.58843905202,1271.25348324172,1261.55820519784,1274.22847099734,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Beatrice Mazzoleni","Beatrice Mazzoleni",6317,"Italy",999,999,"True","False",NA,"","","",NA,"Giant Slalom",1235.40786346046,1284.30820697836,1292.18120570525,1274.22847099734,1274.45809498926,1289.58843905202,1269.36633590629,1268.99047113987,1274.22847099734,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Lavinia Paci","Lavinia Paci",6464,"Italy",999,999,"True","False",NA,"","","",NA,"Giant Slalom",1269.44962385654,1264.93731105608,1271.97110499893,1274.22847099734,1274.45809498926,1289.58843905202,1271.25348324172,1261.55820519784,1274.22847099734,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Isabel Reid","Isabel Reid",6165,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1245.34662489937,1264.93731105608,1298.51880904906,1274.05626439302,1282.24401458041,1289.58843905202,1252.31062047155,1298.9320107221,1274.05626439302,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Moa Boström Mussener","Moa Boström Mussener",4168,"Sweden",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1271.66617855555,1264.93731105608,1301.35732071752,1273.86900617839,1278.38276612446,1289.58843905202,1271.57164704256,1300.51797820329,1273.86900617839,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Giulia Valleriani","Giulia Valleriani",5329,"Italy",999,999,"True","False",NA,"","","",NA,"Giant Slalom",1235.71630343071,1264.93731105608,1283.83399886676,1273.1108154706,1252.6241851672,1289.58843905202,1236.05715420397,1279.84197929035,1273.1108154706,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Esther Nordberg","Esther Nordberg",6144,"Sweden",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1247.22128722119,1264.93731105608,1271.97110499893,1273.08075858242,1279.96423447767,1289.58843905202,1248.46620848989,1261.55820519784,1273.08075858242,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Victoria Clancy","Victoria Clancy",5896,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1243.20611063184,1264.93731105608,1271.97110499893,1272.89823655279,1280.13152115472,1289.58843905202,1244.63434632847,1261.55820519784,1272.89823655279,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Kiara Alexander","Kiara Alexander",4743,"Canada",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1227.96407204146,1298.05402908432,1298.93422584717,1272.8046651387,1228.61085091143,1300,1228.69210979985,1294.13051122263,1272.8046651387,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Sienna Grande Bruseth","Sienna Grande Bruseth",5503,"Norway",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1200.3851727587,1273.12786862841,1274.90754233377,1272.74313167722,1281.66359942138,1289.58843905202,1255.82027910634,1243.5419439496,1272.74313167722,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Tea Kiesel","Tea Kiesel",4754,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1245.39676557506,1264.93731105608,1271.97110499893,1272.51903609451,1280.40699002483,1289.58843905202,1246.60229190784,1261.55820519784,1272.51903609451,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Lola Gilbert","Lola Gilbert",6066,"Canada",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1227.93086236763,1296.28186681707,1296.43701475092,1272.45580764602,1278.04091728268,1289.58843905202,1242.15648169217,1292.44772398948,1272.45580764602,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Melanie Dahlberg","Melanie Dahlberg",4342,"Sweden",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1217.38078765783,1264.93731105608,1271.97110499893,1272.45454328672,1243.85342794327,1289.58843905202,1217.07984774136,1261.55820519784,1272.45454328672,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Kendahl Roufa","Kendahl Roufa",4781,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1271.10051958004,1264.93731105608,1271.97110499893,1272.08818498244,1272.38029239069,1289.58843905202,1271.66378291613,1261.55820519784,1272.08818498244,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Reina Sawamura","Reina Sawamura",6329,"Japan",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1262.02756918366,1264.93731105608,1271.97110499893,1272.07346430102,1297.30636146052,1289.58843905202,1263.948144733,1261.55820519784,1272.07346430102,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Melanie Meillard","Melanie Meillard",1322,"Switzerland",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1439.20800662965,1264.93731105608,1305.54996395767,1272.05601775428,1447.37676646727,1296.60089462356,1437.4785370331,1304.99638643508,1272.05601775428,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Martina Peterlini","Martina Peterlini",3892,"Italy",999,999,"True","False",NA,"","","",NA,"Giant Slalom",1426.45781319883,1264.93731105608,1271.97110499893,1272.03110832999,1418.18987813208,1289.58843905202,1424.63691723235,1261.55820519784,1272.03110832999,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Solveig Grønningsæter","Solveig Grønningsæter",6359,"Norway",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1269.10243434553,1264.93731105608,1271.97110499893,1271.57132821762,1274.45809498926,1289.58843905202,1269.41006011667,1261.55820519784,1271.57132821762,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Erica Lynch","Erica Lynch",5303,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1223.37663739641,1296.68679095646,1295.93376718867,1271.49919024222,1265.06088147683,1289.58843905202,1230.37571199282,1292.13346368743,1271.49919024222,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Caterina Sinigoi","Caterina Sinigoi",4223,"Italy",999,999,"True","False",NA,"","","",NA,"Giant Slalom",1220.19356182553,1264.93731105608,1271.97110499893,1271.19995426769,1244.17962776977,1289.58843905202,1221.60828694414,1261.55820519784,1271.19995426769,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Liv Moritz","Liv Moritz",4744,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1284.24685409082,1264.93731105608,1295.70159802,1270.94849115825,1300.07574670362,1289.58843905202,1283.98879498585,1292.98146590632,1270.94849115825,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Giulia Albano","Giulia Albano",4009,"Italy",999,999,"True","False",NA,"","","",NA,"Giant Slalom",1220.77423015244,1219.04958257934,1229.08915045786,1270.94119986466,1274.45809498926,1267.67679248891,1271.35771635979,1202.88592387581,1270.94119986466,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Ellie Lauquin","Ellie Lauquin",6140,"Switzerland",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1259.33579984146,1264.93731105608,1271.97110499893,1270.8599323713,1274.45809498926,1289.58843905202,1261.22994624215,1261.55820519784,1270.8599323713,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Vittoria Rossi","Vittoria Rossi",6184,"Italy",999,999,"True","False",NA,"","","",NA,"Giant Slalom",1195.83297025667,1264.93731105608,1271.97110499893,1270.58082937128,1232.61348047846,1289.58843905202,1199.37567652812,1261.55820519784,1270.58082937128,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Amy Attala","Amy Attala",6072,"Canada",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1222.92423132136,1264.93731105608,1271.97110499893,1270.40219815554,1269.71085285532,1289.58843905202,1225.35712062713,1261.55820519784,1270.40219815554,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Lena Wechner","Lena Wechner",4141,"Austria",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1221.22254481081,1247.1521288543,1184.7499678786,1270.16130983753,1274.45809498926,1278.69322007183,1271.38135357754,1205.41969293105,1270.16130983753,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Gina Oberhuber","Gina Oberhuber",6056,"Germany",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1226.9016009117,1267.35794646233,1279.82444435151,1270.03337772302,1274.45809498926,1289.58843905202,1261.94953433879,1232.71532156219,1270.03337772302,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Lisa Seebacher","Lisa Seebacher",5894,"Germany",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1164.74926705245,1230.4271571581,1250.79290379836,1270.03337772302,1274.45809498926,1289.58843905202,1261.94953433879,1169.74320068011,1270.03337772302,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Valerie Bolz","Valerie Bolz",6449,"Switzerland",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1275.9842563499,1284.30820697836,1271.97110499893,1270.03337772302,1274.45809498926,1289.58843905202,1261.94953433879,1278.53323717669,1270.03337772302,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Monica Zanoner","Monica Zanoner",4138,"Italy",999,999,"True","False",NA,"","","",NA,"Giant Slalom",1254.28253363666,1260.04545510295,1277.16963675267,1270.03337772302,1274.45809498926,1279.89746643631,1261.94953433879,1247.31470414125,1270.03337772302,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Nina Lehmann","Nina Lehmann",5892,"Switzerland",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1262.8309049119,1278.66322359399,1295.88434191214,1270.03337772302,1274.45809498926,1300,1261.94953433879,1266.56069800028,1270.03337772302,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Eva Unhjem Johansen","Eva Unhjem Johansen",6325,"Norway",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1253.04992664379,1300.59026217373,1248.83709048875,1270.03337772302,1274.45809498926,1289.58843905202,1261.94953433879,1248.63356950674,1270.03337772302,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Anna Hafner","Anna Hafner",6465,"Austria",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1272.28034306987,1264.93731105608,1272.84594003776,1270.03337772302,1274.45809498926,1289.58843905202,1261.94953433879,1271.88450122224,1270.03337772302,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Saskia Amaudruz","Saskia Amaudruz",6443,"Switzerland",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1287.48378241625,1289.83093425109,1271.97110499893,1270.03337772302,1274.45809498926,1289.58843905202,1261.94953433879,1286.79222998244,1270.03337772302,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Jasmin Mathis","Jasmin Mathis",4969,"Switzerland",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1259.31932063416,1290.02883115014,1266.53030569992,1270.03337772302,1274.45809498926,1289.58843905202,1261.94953433879,1251.57820179299,1270.03337772302,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Victoria Leblanc","Victoria Leblanc",6462,"Canada",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1284.20991656435,1264.93731105608,1271.97110499893,1270.03337772302,1287.5009392342,1289.58843905202,1284.49292141709,1261.55820519784,1270.03337772302,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Arrieta Rodriguez Elosegui","Arrieta Rodriguez Elosegui",5368,"Spain",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1189.03913511403,1264.93731105608,1271.97110499893,1270.03337772302,1201.88212099625,1289.58843905202,1191.79304799416,1261.55820519784,1270.03337772302,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Romy Sykora","Romy Sykora",6298,"Austria",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1279.94669378077,1264.93731105608,1275.7086851358,1270.03337772302,1300,1289.58843905202,1300,1280.143494028,1270.03337772302,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Carmen Spielberger","Carmen Spielberger",5019,"Austria",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1293.06914625943,1281.54305507543,1288.94827151646,1270.03337772302,1274.45809498926,1289.58843905202,1261.94953433879,1289.6774424919,1270.03337772302,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Cristina Trabucchi","Cristina Trabucchi",6324,"Italy",999,999,"True","False",NA,"","","",NA,"Giant Slalom",1199.7652776632,1270.49746206605,1239.92296577453,1270.03337772302,1274.45809498926,1289.58843905202,1261.94953433879,1202.48980000124,1270.03337772302,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Ilona Charbotel","Ilona Charbotel",6186,"France",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1218.64383347572,1264.93731105608,1271.97110499893,1270.03337772302,1228.84635832913,1289.58843905202,1220.06465292777,1261.55820519784,1270.03337772302,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Margaux Seitz","Margaux Seitz",6316,"France",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1246.91244578096,1286.14911606927,1268.26682663686,1270.03337772302,1274.45809498926,1289.58843905202,1261.94953433879,1252.29112631037,1270.03337772302,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Federica Lani","Federica Lani",4360,"Italy",999,999,"True","False",NA,"","","",NA,"Giant Slalom",1152.50738628586,1216.06336433955,1224.09754332943,1270.03337772302,1274.45809498926,1287.75110476708,1261.94953433879,1160.98900207805,1270.03337772302,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Isabella Schmelmer","Isabella Schmelmer",5983,"Germany",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1213.77435456512,1285.79000558851,1253.68980477625,1270.03337772302,1264.16866979869,1289.58843905202,1261.04817991008,1241.43104880796,1270.03337772302,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Zoe Mannhart","Zoe Mannhart",5889,"Switzerland",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1139.70588967653,1245.31694993165,1208.39391732475,1270.03337772302,1274.45809498926,1289.58843905202,1261.94953433879,1148.31590397295,1270.03337772302,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"April Bentley","April Bentley",6127,"New Zealand",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1288.51523364516,1264.93731105608,1271.97110499893,1270.03337772302,1288.96143534353,1289.58843905202,1288.72799939332,1261.55820519784,1270.03337772302,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Cheryl Sunier","Cheryl Sunier",6444,"Switzerland",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1279.81743170535,1286.14911606927,1271.97110499893,1270.03337772302,1274.45809498926,1289.58843905202,1261.94953433879,1282.66273357956,1270.03337772302,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Louise Besse","Louise Besse",6445,"Switzerland",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1279.81743170535,1286.14911606927,1271.97110499893,1270.03337772302,1274.45809498926,1289.58843905202,1261.94953433879,1282.66273357956,1270.03337772302,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Melanie Michel","Melanie Michel",4244,"Switzerland",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1176.99925779654,1238.7268265255,1224.98859200387,1270.03337772302,1274.45809498926,1294.54617505522,1261.94953433879,1179.36747923848,1270.03337772302,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Ivy Schölzhorn","Ivy Schölzhorn",6313,"Italy",999,999,"True","False",NA,"","","",NA,"Giant Slalom",1215.81741600619,1285.22866152382,1246.27805775894,1270.03337772302,1274.45809498926,1289.58843905202,1261.94953433879,1221.17666293484,1270.03337772302,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Aurora Zavatarelli","Aurora Zavatarelli",4307,"Italy",999,999,"True","False",NA,"","","",NA,"Giant Slalom",1177.97201978532,1233.78429065828,1251.5466224561,1270.03337772302,1274.45809498926,1283.62420821535,1261.94953433879,1190.75782491427,1270.03337772302,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Nora Guggisberg","Nora Guggisberg",5308,"Switzerland",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1160.48425662087,1227.46899694088,1205.6395839391,1270.03337772302,1274.45809498926,1289.58843905202,1261.94953433879,1153.413718043,1270.03337772302,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Antonia Reischl","Antonia Reischl",5939,"Germany",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1255.26066550425,1282.1081874067,1273.72902046253,1270.03337772302,1296.67458069655,1300,1296.73479038792,1256.25555274932,1270.03337772302,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
