"Skier","Nation","Price","ID","Elo","Downhill_Elo","Super.G_Elo","Giant.Slalom_Elo","Slalom_Elo","Combined_Elo","Tech_Elo","Speed_Elo","Race1_Prob","Race2_Prob","Race3_Prob","Race4_Prob"
"Hanna Aronsson Elfman","Sweden",0,4063,1377.56789828408,1264.93731105608,1287.85823488656,1260.11696384221,1410.62578615469,1283.51641061559,1375.79014823504,1289.7628427933,0,0,0.877202487894713,0.779952727501394
"Elsa Fermbäck","Sweden",0,3729,1278.55828017063,1264.93731105608,1271.97110499893,1246.01841593395,1278.19809410517,1289.58843905202,1280.34448153804,1261.55820519784,0,0,0,0.0544119355527872
"Lisa Nyberg","Sweden",0,4222,1280.09731509718,1263.70221785359,1271.8129345125,1266.08492661698,1252.26784691796,1300,1279.32143388046,1243.47264601416,0,0,0.499573656460582,0
"Malorie Blanc","Switzerland",0,4978,1408.06910912188,1368.6861066705,1366.6702668012,1270.50522077939,1274.56729654608,1289.58843905202,1262.31378628733,1399.99219179597,0.869153013182492,0.928959274168116,0,0
"Eliane Christen","Switzerland",0,4471,1398.75483179802,1264.93731105608,1271.97110499893,1300.92049704232,1386.90558458021,1289.58843905202,1390.83769380952,1261.55820519784,0,0,0,0.837287546898204
"Delia Durrer","Switzerland",0,4074,1313.20079465219,1309.91374708765,1261.47660889641,1226.06483342206,1280.60981077252,1286.73311078461,1281.02146435953,1303.48716426979,0.807355457057879,0.47510282826332,0,0.000548554423755718
"Jasmine Flury","Switzerland",0,201,1399.33689698482,1398.07943039479,1350.73367351324,1295.43182654361,1274.56729654608,1287.73860454821,1296.84297935092,1377.07166625998,0.612889296287345,0.458522939484582,0.0095377343786248,0
"Michelle Gisin","Switzerland",0,360,1381.91192738768,1360.50040709124,1369.2871354667,1377.93245082585,1452.91682025112,1402.38292244919,1413.36481901917,1370.50593928222,0.454134026406123,0.741226115118383,0.246951110763878,0.250584771186925
"Wendy Holdener","Switzerland",0,78,1557.78994767712,1273.15094048822,1402.0942574621,1409.9077934749,1642.0862368016,1424.89838286041,1557.15639579333,1390.35079892214,0.00910218645322199,0.0601201778420402,0.903006395544766,0.953024433450545
"Vanessa Kasper","Switzerland",0,3023,1337.26771754707,1264.93731105608,1240.07404916339,1319.1179513271,1311.01566086393,1296.27586308214,1332.56615074379,1233.6981723698,0,0,0.753430362675491,0.000548220800233028
"Melanie Meillard","Switzerland",0,1322,1447.58250406874,1264.93731105608,1305.54996395767,1272.05601775428,1453.66800240276,1296.60089462356,1444.37829853698,1304.99638643508,0,0,0.124918893337429,0.969018194816418
"Sue Piller","Switzerland",0,5832,1347.67817608705,1264.93731105608,1271.97110499893,1336.41075462911,1296.82361012462,1289.58843905202,1345.98158254097,1261.55820519784,0,0,0.879163626900753,0
"Camille Rast","Switzerland",0,3229,1736.63021098846,1264.93731105608,1289.34178542027,1603.94677239574,1635.07392567749,1297.16184388077,1725.17869372982,1284.59848830978,0,0,0.98490549009431,0.988988278423918
"Janine Schmitt","Switzerland",0,4140,1315.48802044498,1328.1865200384,1255.9204252249,1245.52185037086,1247.08904904519,1283.9327079143,1251.63952728312,1321.99219773442,0.661886017825489,0.532067971565699,0.0844099290659114,0
"Corinne Suter","Switzerland",0,177,1507.82797983446,1495.47389944102,1441.76396884887,1293.38950402963,1296.19682815462,1286.47171964961,1296.20673541157,1497.37576581941,0.585480002787451,0.80400069355786,0.013676457238837,0
"Mary Bocock","USA",0,4764,1251.08954846407,1269.00317697961,1282.78888593289,1257.48906198284,1251.84970993205,1289.58843905202,1263.58349793334,1263.86790686701,0.10493649956909,0.399229530556164,0.294716572319721,0
"Keely Cashman","USA",0,2975,1346.53221981659,1255.02603244607,1386.74908283915,1193.75953321724,1283.09927423214,1278.79781302839,1194.64513993227,1365.54783633748,0.807707021604933,0.946011403466781,0.105284764799621,0
"Katie Hensien","USA",0,3887,1381.33602833209,1264.93731105608,1271.97110499893,1379.06044056029,1289.73425503808,1289.58843905202,1379.22496237437,1261.55820519784,0,0,0.251528497997378,0.3058244676191
"AJ Hurt","USA",0,3886,1446.69475946324,1295.76590231588,1255.76238768802,1455.89893413707,1331.35296169123,1264.90667366081,1446.93070685335,1264.50648888754,0,0.00700538154035667,0.76641988742905,0.600602176414316
"Breezy Johnson","USA",0,497,1487.88823085741,1566.29152957513,1266.30215607257,1270.50522077939,1274.56729654608,1290.44408129875,1262.31378628733,1480.91215462408,0.837744110184762,0.667958325005277,0,0
"Paula Moltzan","USA",0,294,1620.74486982059,1264.93731105608,1297.08778064571,1573.83418088418,1560.7925976586,1292.66305601838,1618.86512214338,1296.04465939212,0,0,0.960660245696738,1
"Nina O'Brien","USA",0,1346,1441.38684390179,1292.58405868575,1265.69103938098,1501.4239591435,1287.20738739321,1287.55683380189,1441.49138564695,1269.86980551919,0,0.0048870588021164,0.833755159053058,0.803769926800089
"Mikaela Shiffrin","USA",0,72,1772.47956702296,1478.34493311327,1514.5906011727,1623.62392509996,1728.08580559205,1340.09392934242,1762.21100760799,1577.00804934721,0.0727446604817157,0.10197351959528,0.787634872704434,1
"Lindsey Vonn","USA",0,2,1661.34801033911,1598.03747408188,1583.15604329721,1429.09763732206,1405.72557753998,1367.53070834646,1423.41904051027,1676.69272149093,0.666979358308466,0.66902931495319,0,0
"Jacqueline Wiles","USA",0,378,1416.8795527519,1469.16933628403,1226.87515082499,1257.63921958875,1297.06267284144,1258.83623483414,1253.31717666746,1418.73887608759,0.850672162819333,0.774366604485581,0,0
"Isabella Wright","USA",0,3934,1300.37035267124,1337.21274993072,1209.43639714143,1270.50522077939,1274.56729654608,1284.63947987386,1262.31378628733,1281.57257219383,0.659216187031701,0.429538861595255,0,0
