Date,City,Country,Sex,Distance,Event,MS,Technique,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Pelo,Elo
1937-02-13,Chamonix,France,L,Downhill,WSC,0,N/A,1,Christl Cranz-Borchers,Germany,2763,1937,1,1914-01-01T00:00:00.000000,23.11841204654346,8,1302.903119019394,1315.282537984197
1937-02-13,Chamonix,France,L,Downhill,WSC,0,N/A,2,Nini von Arx-Zogg,Switzerland,2772,1937,1,1907-01-01T00:00:00.000000,30.119096509240247,5,1301.323760261681,1308.771358327336
1937-02-13,Chamonix,France,L,Downhill,WSC,0,N/A,3,Käthe Grasegger-Deuschl,Germany,2771,1937,1,1917-01-01T00:00:00.000000,20.11772758384668,6,1298.6075338311161,1301.1723917495956
1937-02-13,Chamonix,France,L,Downhill,WSC,0,N/A,4,Clarita Heath-Bright,USA,2776,1937,1,1916-01-01T00:00:00.000000,21.11978097193703,2,1300.0,1297.5047450581787
1937-02-13,Chamonix,France,L,Downhill,WSC,0,N/A,5,Erna Steuri,Switzerland,2773,1937,1,1917-01-01T00:00:00.000000,20.11772758384668,5,1294.5654987563748,1287.3048328710652
1937-02-13,Chamonix,France,L,Downhill,WSC,0,N/A,6,Elvira Osirnig,Switzerland,2777,1937,1,1908-01-01T00:00:00.000000,29.11978097193703,6,1303.259247907344,1290.6232937855375
1938-03-05,Engelberg,Switzerland,L,Downhill,WSC,0,N/A,1,Lisa Resch,Germany,2764,1938,1,1908-01-01T00:00:00.000000,30.17385352498289,7,1300.0789957299946,1310.1135276331618
1938-03-05,Engelberg,Switzerland,L,Downhill,WSC,0,N/A,2,Christl Cranz-Borchers,Germany,2763,1938,1,1914-01-01T00:00:00.000000,24.17248459958932,11,1306.2385588257753,1311.0515236366366
1938-03-05,Engelberg,Switzerland,L,Downhill,WSC,0,N/A,3,Käthe Grasegger-Deuschl,Germany,2771,1938,1,1917-01-01T00:00:00.000000,21.17180013689254,9,1300.4785877126083,1300.4987449578568
1938-03-05,Engelberg,Switzerland,L,Downhill,WSC,0,N/A,4,Nini von Arx-Zogg,Switzerland,2772,1938,1,1907-01-01T00:00:00.000000,31.173169062286107,8,1303.5805986521104,1298.4891673069528
1938-03-05,Engelberg,Switzerland,L,Downhill,WSC,0,N/A,5,Erna Steuri,Switzerland,2773,1938,1,1917-01-01T00:00:00.000000,21.17180013689254,7,1294.8176443586262,1285.0414217445068
1939-02-12,Zakopane,Poland,L,Downhill,WSC,0,N/A,1,Christl Cranz-Borchers,Germany,2763,1939,1,1914-01-01T00:00:00.000000,25.114305270362763,14,1304.9630513046036,1312.388601062735
1939-02-12,Zakopane,Poland,L,Downhill,WSC,0,N/A,2,Lisa Resch,Germany,2764,1939,1,1908-01-01T00:00:00.000000,31.11567419575633,10,1304.5418132525647,1306.9794860786212
1939-02-12,Zakopane,Poland,L,Downhill,WSC,0,N/A,3,Helga Gödl,Germany,2765,1939,1,1915-01-01T00:00:00.000000,24.11498973305955,1,1300.0,1297.568388707906
1939-02-12,Zakopane,Poland,L,Downhill,WSC,0,N/A,5,Gritli Schaad-Kind,Switzerland,2767,1939,1,1922-01-01T00:00:00.000000,17.114305270362767,1,1300.0,1292.568388707906
1948-02-02,St.Moritz,Switzerland,L,Downhill,Olympic Winter Games,0,N/A,1,Hedy Schlunegger-Kaufmann,Switzerland,2736,1948,1,1923-01-01T00:00:00.000000,25.086926762491444,1,1300.0,1390.0
1948-02-02,St.Moritz,Switzerland,L,Downhill,Olympic Winter Games,0,N/A,2,Trude Jochum-Beiser,Austria,2700,1948,1,1927-01-01T00:00:00.000000,21.086926762491444,1,1300.0,1385.0
1948-02-02,St.Moritz,Switzerland,L,Downhill,Olympic Winter Games,0,N/A,3,Therese Resi Hammerer,Austria,2732,1948,1,1925-01-01T00:00:00.000000,23.085557837097877,1,1300.0,1380.0
1948-02-02,St.Moritz,Switzerland,L,Downhill,Olympic Winter Games,0,N/A,4,Celina Seghi,Italy,2706,1948,1,1920-01-01T00:00:00.000000,28.087611225188226,1,1300.0,1375.0
1948-02-02,St.Moritz,Switzerland,L,Downhill,Olympic Winter Games,0,N/A,5,Lina Mittner-Simmen,Switzerland,2737,1948,1,1919-01-01T00:00:00.000000,29.086926762491444,1,1300.0,1370.0
1948-02-02,St.Moritz,Switzerland,L,Downhill,Olympic Winter Games,0,N/A,6,Suzanne Thiolliere-Guirand,France,2651,1948,1,1924-01-01T00:00:00.000000,24.087611225188226,1,1300.0,1365.0
1948-02-02,St.Moritz,Switzerland,L,Downhill,Olympic Winter Games,0,N/A,7,Laila Schou-Nilsen,Norway,2738,1948,1,1919-01-01T00:00:00.000000,29.086926762491444,4,1300.0,1357.5
1948-02-02,St.Moritz,Switzerland,L,Downhill,Olympic Winter Games,0,N/A,7,Francoise Gignoux,France,2739,1948,1,1923-01-01T00:00:00.000000,25.086926762491444,1,1300.0,1357.5
1948-02-02,St.Moritz,Switzerland,L,Downhill,Olympic Winter Games,0,N/A,9,Rosmarie Bleuer-Hirschy,Switzerland,2740,1948,1,1926-01-01T00:00:00.000000,22.086242299794662,1,1300.0,1350.0
1948-02-02,St.Moritz,Switzerland,L,Downhill,Olympic Winter Games,0,N/A,10,Lucienne Schmith-Couttet,France,2692,1948,1,1926-01-01T00:00:00.000000,22.086242299794662,1,1300.0,1345.0
1948-02-02,St.Moritz,Switzerland,L,Downhill,Olympic Winter Games,0,N/A,11,Antoinette Josefa Clara Meyer-Molitor,Switzerland,2741,1948,1,1920-01-01T00:00:00.000000,28.087611225188226,1,1300.0,1340.0
1948-02-02,St.Moritz,Switzerland,L,Downhill,Olympic Winter Games,0,N/A,12,Brynhild Grasmoen,USA,2742,1948,1,1929-01-01T00:00:00.000000,19.085557837097877,1,1300.0,1335.0
1948-02-02,St.Moritz,Switzerland,L,Downhill,Olympic Winter Games,0,N/A,13,Gretchen Claudia Kunigk-Fraser,USA,2743,1948,1,1919-01-01T00:00:00.000000,29.086926762491444,1,1300.0,1330.0
1948-02-02,St.Moritz,Switzerland,L,Downhill,Olympic Winter Games,0,N/A,14,Alexandra Nekvapilova,Czechia,2745,1948,1,1919-01-01T00:00:00.000000,29.086926762491444,1,1300.0,1322.5
1948-02-02,St.Moritz,Switzerland,L,Downhill,Olympic Winter Games,0,N/A,14,Irene Molitor,Switzerland,2744,1948,1,1927-01-01T00:00:00.000000,21.086926762491444,1,1300.0,1322.5
1948-02-02,St.Moritz,Switzerland,L,Downhill,Olympic Winter Games,0,N/A,16,Annelore Zückert,Austria,2746,1948,1,1925-01-01T00:00:00.000000,23.085557837097877,1,1300.0,1315.0
1948-02-02,St.Moritz,Switzerland,L,Downhill,Olympic Winter Games,0,N/A,17,Anneliese Schuh-Proxauf,Austria,2730,1948,1,1922-01-01T00:00:00.000000,26.086242299794662,1,1300.0,1310.0
1948-02-02,St.Moritz,Switzerland,L,Downhill,Olympic Winter Games,0,N/A,18,May Ingeborg Nilsson-Lafforgue,Sweden,2747,1948,1,1921-01-01T00:00:00.000000,27.085557837097877,3,1300.0,1305.0
1948-02-02,St.Moritz,Switzerland,L,Downhill,Olympic Winter Games,0,N/A,19,Erika Mahringer,Austria,2698,1948,1,1924-01-01T00:00:00.000000,24.087611225188226,1,1300.0,1300.0
1948-02-02,St.Moritz,Switzerland,L,Downhill,Olympic Winter Games,0,N/A,20,Ruth-Marie Stewart-Rademacher,USA,2748,1948,1,1927-01-01T00:00:00.000000,21.086926762491444,1,1300.0,1295.0
1948-02-02,St.Moritz,Switzerland,L,Downhill,Olympic Winter Games,0,N/A,21,Fernande Bayetto-Jolivet,France,2749,1948,1,1928-01-01T00:00:00.000000,20.087611225188226,1,1300.0,1290.0
1948-02-02,St.Moritz,Switzerland,L,Downhill,Olympic Winter Games,0,N/A,22,Rebecca Ann Becky Fraser Cremer,USA,2750,1948,1,1924-01-01T00:00:00.000000,24.087611225188226,1,1300.0,1285.0
1948-02-02,St.Moritz,Switzerland,L,Downhill,Olympic Winter Games,0,N/A,23,Borghild Solveig Hansen-Niskin,Norway,2654,1948,1,1924-01-01T00:00:00.000000,24.087611225188226,1,1300.0,1280.0
1948-02-02,St.Moritz,Switzerland,L,Downhill,Olympic Winter Games,0,N/A,24,Olivia Ausoni,Switzerland,2727,1948,1,1923-01-01T00:00:00.000000,25.086926762491444,1,1300.0,1275.0
1948-02-02,St.Moritz,Switzerland,L,Downhill,Olympic Winter Games,0,N/A,25,Bozena Rheinwartová-Moserová,Czechia,2751,1948,1,1926-01-01T00:00:00.000000,22.086242299794662,1,1300.0,1270.0
1948-02-02,St.Moritz,Switzerland,L,Downhill,Olympic Winter Games,0,N/A,26,Sophie Nogler,Austria,2752,1948,1,1924-01-01T00:00:00.000000,24.087611225188226,1,1300.0,1265.0
1948-02-02,St.Moritz,Switzerland,L,Downhill,Olympic Winter Games,0,N/A,27,Isobel Marion Roe,Great Britain,2753,1948,1,1916-01-01T00:00:00.000000,32.087611225188226,1,1300.0,1260.0
1948-02-02,St.Moritz,Switzerland,L,Downhill,Olympic Winter Games,0,N/A,28,Paula Kann-Valar,Austria,2754,1948,1,1922-01-01T00:00:00.000000,26.086242299794662,1,1300.0,1255.0
1948-02-02,St.Moritz,Switzerland,L,Downhill,Olympic Winter Games,0,N/A,29,Micheline Desmazières,France,2733,1948,1,1926-01-01T00:00:00.000000,22.086242299794662,1,1300.0,1250.0
1948-02-02,St.Moritz,Switzerland,L,Downhill,Olympic Winter Games,0,N/A,30,Rosemary Sparrow,Great Britain,2755,1948,1,1925-01-01T00:00:00.000000,23.085557837097877,1,1300.0,1245.0
1948-02-02,St.Moritz,Switzerland,L,Downhill,Olympic Winter Games,0,N/A,31,Georgette Miller-Thiollière,France,2735,1948,1,1920-01-01T00:00:00.000000,28.087611225188226,1,1300.0,1240.0
1948-02-02,St.Moritz,Switzerland,L,Downhill,Olympic Winter Games,0,N/A,32,Renata Carraretto,Italy,2756,1948,1,1923-01-01T00:00:00.000000,25.086926762491444,1,1300.0,1235.0
1948-02-02,St.Moritz,Switzerland,L,Downhill,Olympic Winter Games,0,N/A,33,Sheena Mackintosh,Great Britain,2712,1948,1,1928-01-01T00:00:00.000000,20.087611225188226,1,1300.0,1230.0
1948-02-02,St.Moritz,Switzerland,L,Downhill,Olympic Winter Games,0,N/A,34,Xanthe Veronica Ryder-Dalglish,Great Britain,2757,1948,1,1926-01-01T00:00:00.000000,22.086242299794662,1,1300.0,1225.0
1948-02-02,St.Moritz,Switzerland,L,Downhill,Olympic Winter Games,0,N/A,35,Andrea Mead-Lawrence,USA,2653,1948,1,1932-01-01T00:00:00.000000,16.087611225188226,1,1300.0,1220.0
1948-02-02,St.Moritz,Switzerland,L,Downhill,Olympic Winter Games,0,N/A,36,Aniko Eleod-Igloi,Hungary,2758,1948,1,1908-01-01T00:00:00.000000,40.087611225188226,1,1300.0,1215.0
1948-02-02,St.Moritz,Switzerland,L,Downhill,Olympic Winter Games,0,N/A,37,Rhona Wurtele-Gillis,Canada,2759,1948,1,1922-01-01T00:00:00.000000,26.086242299794662,1,1300.0,1210.0
1950-02-17,Aspen,USA,L,Downhill,WSC,0,N/A,1,Trude Jochum-Beiser,Austria,2700,1950,3,1927-01-01T00:00:00.000000,23.12936344969199,4,1314.977964270663,1326.9332659254417
1950-02-17,Aspen,USA,L,Downhill,WSC,0,N/A,2,Erika Mahringer,Austria,2698,1950,3,1924-01-01T00:00:00.000000,26.130047912388775,6,1300.0000000000002,1307.6013821481429
1950-02-17,Aspen,USA,L,Downhill,WSC,0,N/A,3,Georgette Miller-Thiollière,France,2735,1950,3,1920-01-01T00:00:00.000000,30.130047912388775,5,1289.4273193383558,1292.48467340629
1950-02-17,Aspen,USA,L,Downhill,WSC,0,N/A,4,Anneliese Schuh-Proxauf,Austria,2730,1950,3,1922-01-01T00:00:00.000000,28.128678986995208,6,1301.7621134436076,1299.2874592839923
1950-02-17,Aspen,USA,L,Downhill,WSC,0,N/A,5,Catherine Louise Katy Rodolph,USA,2699,1950,3,1930-01-01T00:00:00.000000,20.128678986995208,2,1300.0,1292.6013821481426
1950-02-17,Aspen,USA,L,Downhill,WSC,0,N/A,6,Lucienne Schmith-Couttet,France,2692,1950,3,1926-01-01T00:00:00.000000,24.128678986995208,6,1307.9295104962334,1295.1887446368507
1952-02-17,Oslo,Norway,L,Downhill,Olympic Winter Games,0,N/A,1,Trude Jochum-Beiser,Austria,2700,1952,2,1927-01-01T00:00:00.000000,25.127994524298426,6,1304.9259924187625,1388.7038149600983
1952-02-17,Oslo,Norway,L,Downhill,Olympic Winter Games,0,N/A,2,Annemarie Mirl Buchner,Germany,2669,1952,2,1924-01-01T00:00:00.000000,28.128678986995208,2,1300.0,1380.0183174784906
1952-02-17,Oslo,Norway,L,Downhill,Olympic Winter Games,0,N/A,3,Giuliana Chenal-Minuzzo,Italy,2636,1952,2,1931-01-01T00:00:00.000000,21.127994524298426,2,1300.0,1375.0183174784906
1952-02-17,Oslo,Norway,L,Downhill,Olympic Winter Games,0,N/A,4,Erika Mahringer,Austria,2698,1952,2,1924-01-01T00:00:00.000000,28.128678986995208,8,1301.390264030271,1371.0584554789846
1952-02-17,Oslo,Norway,L,Downhill,Olympic Winter Games,0,N/A,5,Dagmar Rom-Pays,Austria,2701,1952,2,1928-01-01T00:00:00.000000,24.128678986995208,4,1300.0,1365.0183174784906
1952-02-17,Oslo,Norway,L,Downhill,Olympic Winter Games,0,N/A,6,Madeleine Chamot-Berthod,Switzerland,2638,1952,2,1931-01-01T00:00:00.000000,21.127994524298426,1,1300.0,1360.0183174784906
1952-02-17,Oslo,Norway,L,Downhill,Olympic Winter Games,0,N/A,7,Margit Hvammen,Norway,2697,1952,2,1932-01-01T00:00:00.000000,20.128678986995208,2,1300.0,1355.0183174784906
1952-02-17,Oslo,Norway,L,Downhill,Olympic Winter Games,0,N/A,8,Joanne Hewson,Canada,2702,1952,2,1930-01-01T00:00:00.000000,22.12731006160164,2,1300.0,1350.0183174784906
1952-02-17,Oslo,Norway,L,Downhill,Olympic Winter Games,0,N/A,9,Evi Lanig,Germany,2703,1952,2,1933-01-01T00:00:00.000000,19.12662559890486,2,1300.0,1345.0183174784906
1952-02-17,Oslo,Norway,L,Downhill,Olympic Winter Games,0,N/A,10,Hannelore Glaser-Franke,Germany,2662,1952,2,1933-01-01T00:00:00.000000,19.12662559890486,1,1300.0,1337.5183174784906
1952-02-17,Oslo,Norway,L,Downhill,Olympic Winter Games,0,N/A,10,Ida Schöpfer-Bieri,Switzerland,2691,1952,2,1929-01-01T00:00:00.000000,23.12662559890486,2,1300.0,1337.5183174784906
1952-02-17,Oslo,Norway,L,Downhill,Olympic Winter Games,0,N/A,12,Idly Walpoth,Switzerland,2704,1952,2,1920-01-01T00:00:00.000000,32.12867898699521,2,1300.0,1330.0183174784906
1952-02-17,Oslo,Norway,L,Downhill,Olympic Winter Games,0,N/A,13,Barbara Grocholska-Kurkowiak,Poland,2671,1952,2,1927-01-01T00:00:00.000000,25.127994524298426,1,1300.0,1325.0183174784906
1952-02-17,Oslo,Norway,L,Downhill,Olympic Winter Games,0,N/A,14,Rosemarie Schutz-Asch,Canada,2705,1952,2,1930-01-01T00:00:00.000000,22.12731006160164,2,1300.0,1320.0183174784906
1952-02-17,Oslo,Norway,L,Downhill,Olympic Winter Games,0,N/A,15,Celina Seghi,Italy,2706,1952,2,1920-01-01T00:00:00.000000,32.12867898699521,7,1302.4171291057603,1314.326719618786
1952-02-17,Oslo,Norway,L,Downhill,Olympic Winter Games,0,N/A,15,Silvia Glatthard,Switzerland,2707,1952,2,1930-01-01T00:00:00.000000,22.12731006160164,2,1300.0,1312.5183174784906
1952-02-17,Oslo,Norway,L,Downhill,Olympic Winter Games,0,N/A,17,Andrea Mead-Lawrence,USA,2653,1952,2,1932-01-01T00:00:00.000000,20.128678986995208,7,1297.4217289538556,1303.0893517986074
1952-02-17,Oslo,Norway,L,Downhill,Olympic Winter Games,0,N/A,18,Sarah Thomasson,Sweden,2696,1952,2,1925-01-01T00:00:00.000000,27.12662559890486,3,1300.0,1300.0183174784906
1952-02-17,Oslo,Norway,L,Downhill,Olympic Winter Games,0,N/A,19,Betty Ellen Weir-Bell,USA,2708,1952,2,1924-01-01T00:00:00.000000,28.128678986995208,1,1300.0,1295.0183174784906
1952-02-17,Oslo,Norway,L,Downhill,Olympic Winter Games,0,N/A,20,Rhoda Wurtele-Eaves,Canada,2709,1952,2,1922-01-01T00:00:00.000000,30.12731006160164,2,1300.0,1290.0183174784906
1952-02-17,Oslo,Norway,L,Downhill,Olympic Winter Games,0,N/A,21,Dagny Jørgensen,Norway,2710,1952,2,1929-01-01T00:00:00.000000,23.12662559890486,2,1300.0,1285.0183174784906
1952-02-17,Oslo,Norway,L,Downhill,Olympic Winter Games,0,N/A,22,Marysette Agnel,France,2655,1952,2,1926-01-01T00:00:00.000000,26.12731006160164,2,1300.0,1280.0183174784906
1952-02-17,Oslo,Norway,L,Downhill,Olympic Winter Games,0,N/A,23,Catherine Louise Katy Rodolph,USA,2699,1952,2,1930-01-01T00:00:00.000000,22.12731006160164,4,1298.6468207922328,1274.0059243397488
1952-02-17,Oslo,Norway,L,Downhill,Olympic Winter Games,0,N/A,24,Trude Klecker,Austria,2674,1952,2,1926-01-01T00:00:00.000000,26.12731006160164,2,1300.0,1270.0183174784906
1952-02-17,Oslo,Norway,L,Downhill,Olympic Winter Games,0,N/A,25,Margareta Jacobsson-Olsson,Sweden,2711,1952,2,1929-01-01T00:00:00.000000,23.12662559890486,1,1300.0,1265.0183174784906
1952-02-17,Oslo,Norway,L,Downhill,Olympic Winter Games,0,N/A,26,Sheena Mackintosh,Great Britain,2712,1952,2,1928-01-01T00:00:00.000000,24.128678986995208,5,1297.7440128346236,1258.3304750630546
1952-02-17,Oslo,Norway,L,Downhill,Olympic Winter Games,0,N/A,27,Lucile Wheeler,Canada,2643,1952,2,1935-01-01T00:00:00.000000,17.127994524298426,2,1300.0,1255.0183174784906
1952-02-17,Oslo,Norway,L,Downhill,Olympic Winter Games,0,N/A,28,Ana Maria Dellai,Argentina,2713,1952,2,1929-01-01T00:00:00.000000,23.12662559890486,2,1300.0,1250.0183174784906
1952-02-17,Oslo,Norway,L,Downhill,Olympic Winter Games,0,N/A,29,Ingrid Elisabeth Englund-Pettersson,Sweden,2667,1952,2,1926-01-01T00:00:00.000000,26.12731006160164,2,1300.0,1245.0183174784906
1952-02-17,Oslo,Norway,L,Downhill,Olympic Winter Games,0,N/A,30,Andree Bermond,France,2714,1952,2,1929-01-01T00:00:00.000000,23.12662559890486,2,1300.0,1240.0183174784906
1952-02-17,Oslo,Norway,L,Downhill,Olympic Winter Games,0,N/A,31,Karen-Sofie Styrmoe-Oseid,Norway,2715,1952,2,1930-01-01T00:00:00.000000,22.12731006160164,1,1300.0,1235.0183174784906
1952-02-17,Oslo,Norway,L,Downhill,Olympic Winter Games,0,N/A,32,Ildiko Szendrodi-Kovari,Hungary,2588,1952,2,1930-01-01T00:00:00.000000,22.12731006160164,2,1300.0,1230.0183174784906
1952-02-17,Oslo,Norway,L,Downhill,Olympic Winter Games,0,N/A,33,Fiona Margaret Campbell,Great Britain,2716,1952,2,1929-01-01T00:00:00.000000,23.12662559890486,2,1300.0,1225.0183174784906
1952-02-17,Oslo,Norway,L,Downhill,Olympic Winter Games,0,N/A,34,Maria Kowalska,Poland,2663,1952,2,1929-01-01T00:00:00.000000,23.12662559890486,1,1300.0,1220.0183174784906
1952-02-17,Oslo,Norway,L,Downhill,Olympic Winter Games,0,N/A,35,Lia Leismüller-Braun,Germany,2717,1952,2,1931-01-01T00:00:00.000000,21.127994524298426,1,1300.0,1215.0183174784906
1954-03-02,Åre,Sweden,L,Downhill,WSC,0,N/A,1,Ida Schöpfer-Bieri,Switzerland,2691,1954,1,1929-01-01T00:00:00.000000,25.163586584531142,3,1306.6419954772766,1318.9402224539579
1954-03-02,Åre,Sweden,L,Downhill,WSC,0,N/A,2,Trude Klecker,Austria,2674,1954,1,1926-01-01T00:00:00.000000,28.164271047227924,3,1294.6922406682236,1302.5062066641497
1954-03-02,Åre,Sweden,L,Downhill,WSC,0,N/A,3,Lucienne Schmith-Couttet,France,2692,1954,1,1926-01-01T00:00:00.000000,28.164271047227924,7,1299.8442176145822,1302.4358493228158
1954-03-02,Åre,Sweden,L,Downhill,WSC,0,N/A,4,Jannette Burr,USA,2693,1954,1,1927-01-01T00:00:00.000000,27.16495550992471,3,1300.0,1297.5849077785972
1954-03-02,Åre,Sweden,L,Downhill,WSC,0,N/A,5,Madeleine Chamot-Berthod,Switzerland,2638,1954,1,1931-01-01T00:00:00.000000,23.16495550992471,3,1310.6252470802942,1300.251606842259
1954-03-02,Åre,Sweden,L,Downhill,WSC,0,N/A,5,Luise Jaretz,Austria,2694,1954,1,1931-01-01T00:00:00.000000,23.16495550992471,1,1300.0,1290.0849077785972
