Nation,Season,Race,Place,Date,City,Country,Event,HillSize,TeamSize,RaceType,Sex,Total_Elo,Total_Normal_Elo,Total_Large_Elo,Total_Flying_Elo,Total_Pelo,Total_Normal_Pelo,Total_Large_Pelo,Total_Flying_Pelo,Avg_Elo,Avg_Normal_Elo,Avg_Large_Elo,Avg_Flying_Elo,Avg_Pelo,Avg_Normal_Pelo,Avg_Large_Pelo,Avg_Flying_Pelo,TeamMembers,MemberIDs,AvgAge,MaxAge,MinAge,AvgExp,MaxExp,MinExp
Japan,2019,9,3,2019-01-19,Zao,Japan,World Cup,102,4,Team Normal,L,6268.664407766753,6108.756664962878,5702.626673853872,5179.294117647059,6267.487700820759,6107.5205735862255,5686.791329668234,5200.0,1567.1661019416883,1527.1891662407195,1425.656668463468,1294.8235294117646,1566.8719252051897,1526.8801433965564,1421.6978324170584,1300.0,"Yuki Ito,Yuka Seto,Kaori Iwabuchi,Sara Takanashi","5,32,35,3",23.652292950034223,25.727583846680357,21.90554414784394,102.5,121,70
Norway,2019,9,4,2019-01-19,Zao,Japan,World Cup,102,4,Team Normal,L,5869.745127800357,5665.078048838345,5480.228041511569,5179.294117647059,5869.1820902973095,5663.726804255783,5406.9908811328005,5200.0,1467.4362819500893,1416.2695122095863,1370.0570103778923,1294.8235294117646,1467.2955225743274,1415.9317010639456,1351.7477202832001,1300.0,"Maren Lundby,Anna Odine Strøm,Ingebjørg Saglien Bråten,Silje Opseth","9,44,295,221",21.046543463381248,24.366872005475702,19.33196440793977,51.0,118,5
Slovenia,2019,9,5,2019-01-19,Zao,Japan,World Cup,102,4,Team Normal,L,5752.201689492881,5708.751572843329,5230.5378848736655,5179.294117647059,5755.360790798157,5712.181345050149,5214.855454722443,5200.0,1438.0504223732203,1427.1878932108323,1307.6344712184164,1294.8235294117646,1438.8401976995392,1428.0453362625371,1303.7138636806108,1300.0,"Ursa Bogataj,Maja Vtic,Nika Kriznar,Spela Rogelj","20,8,266,19",24.477754962354553,30.978781656399725,18.863791923340177,96.75,119,38
Russia,2019,9,6,2019-01-19,Zao,Japan,World Cup,102,4,Team Normal,L,5298.939637538455,5237.343992032347,5098.315216783954,5179.294117647059,5301.967617278717,5240.205908737989,5093.137766187761,5200.0,1324.7349093846137,1309.3359980080868,1274.5788041959886,1294.8235294117646,1325.4919043196792,1310.0514771844973,1273.2844415469403,1300.0,"Lidiia Iakovleva,Aleksandra Barantceva,Sofya Tikhonova,Alexandra Kustova","245,315,27,29",18.770704996577688,20.399726214921287,17.075975359342916,40.25,83,11
USA,2019,9,7,2019-01-19,Zao,Japan,World Cup,102,4,Team Normal,L,4780.45652481655,4868.5732703360045,4894.473484983998,5179.294117647059,4783.0716952697785,4872.084646515783,4979.976947902469,5200.0,1195.1141312041375,1217.1433175840011,1223.6183712459995,1294.8235294117646,1195.7679238174446,1218.0211616289457,1244.9942369756172,1300.0,"Tara Geraghty-Moats,Logan Sankey,Nina Lussi,Nita Englund","40,225,37,26",24.45927446954141,26.60917180013689,20.646132785763175,38.25,70,3
China,2019,9,8,2019-01-19,Zao,Japan,World Cup,102,4,Team Normal,L,4957.719693864987,4984.075797195317,4986.092756554044,5179.294117647059,4966.448424162326,4992.669477699808,5079.195534705759,5200.0,1239.4299234662467,1246.0189492988293,1246.523189138511,1294.8235294117646,1241.6121060405815,1248.167369424952,1269.7988836764398,1300.0,"Sijia Wang,Fangyu Zhou,Tong Ma,Xueyao Li","369,370,120,87",20.338124572210816,24.88432580424367,15.06091718001369,12.5,37,1
Germany,2019,16,1,2019-02-09,Ljubno,Slovenia,World Cup,94,4,Team Normal,L,6415.7522741868015,6192.613800721625,5621.525640335287,5179.294117647059,6405.687012076333,6182.586926233128,5532.447852602171,5200.0,1603.9380685467004,1548.1534501804063,1405.3814100838217,1294.8235294117646,1601.4217530190833,1545.646731558282,1383.1119631505428,1300.0,"Katharina Schmid,Carina Vogt,Juliane Seyfarth,Anna Rupprecht","13,4,63,67",25.203285420944557,28.971937029431896,22.11362080766598,98.75,120,56
Slovenia,2019,16,2,2019-02-09,Ljubno,Slovenia,World Cup,94,4,Team Normal,L,5845.390137811179,5739.228296704542,5242.714177953018,5179.294117647059,5833.605159011752,5728.385021614788,5236.866832943888,5200.0,1461.3475344527947,1434.8070741761355,1310.6785444882546,1294.8235294117646,1458.401289752938,1432.096255403697,1309.216708235972,1300.0,"Jerneja Brecl,Spela Rogelj,Nika Kriznar,Ursa Bogataj","281,19,266,20",21.151950718685832,24.254620123203285,17.503080082135522,76.75,126,15
Austria,2019,16,3,2019-02-09,Ljubno,Slovenia,World Cup,94,4,Team Normal,L,5755.526529357047,5661.3325566843105,5361.517450860475,5179.294117647059,5747.183619985955,5653.62594418395,5353.448990074946,5200.0,1438.8816323392618,1415.3331391710776,1340.3793627151188,1294.8235294117646,1436.7959049964888,1413.4064860459875,1338.3622475187365,1300.0,"Lisa Eder,Eva Pinkelnig,Jacqueline Seifriedsberger,Chiara Kreuzer","337,14,18,21",24.45448323066393,30.704996577686515,17.49486652977413,69.5,111,10
Japan,2019,16,4,2019-02-09,Ljubno,Slovenia,World Cup,94,4,Team Normal,L,6184.004961329191,6027.307662544019,5725.934481967266,5179.294117647059,6184.550147659234,6027.300723852227,5694.663881708302,5200.0,1546.0012403322978,1506.8269156360047,1431.4836204918165,1294.8235294117646,1546.1375369148086,1506.8251809630567,1423.6659704270755,1300.0,"Yuka Seto,Nozomi Maruyama,Sara Takanashi,Yuki Ito","32,222,3,5",22.436002737850785,24.752908966461327,20.689938398357288,85.25,128,14
