Nation,Season,Race,Place,Date,City,Country,Event,TeamSize,RaceType,Distance,MassStart,Sex,Team_Elo,Team_Individual_Elo,Team_IndividualCompact_Elo,Team_Sprint_Elo,Team_MassStart_Elo,Team_Pelo,Team_Individual_Pelo,Team_IndividualCompact_Pelo,Team_Sprint_Pelo,Team_MassStart_Pelo,Avg_Elo,Avg_Individual_Elo,Avg_IndividualCompact_Elo,Avg_Sprint_Elo,Avg_MassStart_Elo,Avg_Pelo,Avg_Individual_Pelo,Avg_IndividualCompact_Pelo,Avg_Sprint_Pelo,Avg_MassStart_Pelo,TeamMembers,MemberIDs,AvgAge,MaxAge,MinAge,AvgExp,MaxExp,MinExp
Ukraine,1985,6,4,1985-01-19,Seefeld,Austria,World Championship,1,Team,5,0,M,1369.6120096367038,1371.1838336966273,1256.1200339825045,1273.3381235214322,1273.9352919032058,1371.7996498334953,1403.5236396740956,1265.5597051391383,1276.8028095479933,1288.1637137115458,1369.6120096367038,1371.1838336966273,1256.1200339825045,1273.3381235214322,1273.9352919032058,1371.7996498334953,1403.5236396740956,1265.5597051391383,1276.8028095479933,1288.1637137115458,Alexander Proswirnin,677,20.40520191649555,20.40520191649555,20.40520191649555,9.0,9,9
Russia,1985,6,4,1985-01-19,Seefeld,Austria,World Championship,1,Team,5,0,M,1302.4969543780455,1301.0115055993276,1256.1200339825045,1273.3381235214322,1273.9352919032058,1302.5434104936014,1313.4279190975487,1265.5597051391383,1276.8028095479933,1288.1637137115458,1302.4969543780455,1301.0115055993276,1256.1200339825045,1273.3381235214322,1273.9352919032058,1302.5434104936014,1313.4279190975487,1265.5597051391383,1276.8028095479933,1288.1637137115458,Alexander Majorov,676,27.62217659137577,27.62217659137577,27.62217659137577,13.0,13,13
Germany,1985,6,5,1985-01-19,Seefeld,Austria,World Championship,3,Team,5,0,M,4170.745571506616,4191.639793778678,3768.3601019475136,3820.0143705642968,3821.8058757096173,4190.753128758558,4145.028647568466,3796.679115417415,3830.40842864398,3864.4911411346375,1390.2485238355387,1397.2132645928925,1256.1200339825045,1273.3381235214322,1273.9352919032058,1396.917709586186,1381.6762158561553,1265.5597051391383,1276.8028095479933,1288.1637137115458,"Oliver Warg,Uwe Dotzauer,Heiko Hunger","669,657,640",22.67670545288615,25.91649555099247,20.57221081451061,8.0,14,3
Poland,1985,6,6,1985-01-19,Seefeld,Austria,World Championship,3,Team,5,0,M,3862.1905630110114,3810.4407795529087,3768.3601019475136,3820.0143705642968,3821.8058757096173,3884.120631420954,3812.469130786142,3796.679115417415,3830.40842864398,3864.4911411346375,1287.3968543370038,1270.1469265176363,1256.1200339825045,1273.3381235214322,1273.9352919032058,1294.706877140318,1270.8230435953808,1265.5597051391383,1276.8028095479933,1288.1637137115458,"Janusz Gunka,Karol Koltas,Tadeusz Bafia","678,679,637",22.129135295459733,24.04928131416838,20.33675564681725,1.6666666666666667,3,1
Germany,1987,7,1,1987-02-19,Oberstdorf,Germany,World Championship,3,Team,5,0,M,4194.815576940311,4168.637448670119,3768.3601019475136,3820.0143705642968,3821.8058757096173,4171.544360283513,4166.084783557238,3796.679115417415,3830.40842864398,3864.4911411346375,1398.2718589801036,1389.5458162233729,1256.1200339825045,1273.3381235214322,1273.9352919032058,1390.514786761171,1388.6949278524125,1265.5597051391383,1276.8028095479933,1288.1637137115458,"Hans-Peter Pohl,Thomas Müller,Hermann Weinbuch","570,584,650",24.97558749714807,26.913073237508556,22.053388090349074,21.0,31,9
Norway,1987,7,2,1987-02-19,Oberstdorf,Germany,World Championship,3,Team,5,0,M,4145.602059599161,4129.917182088326,3768.3601019475136,3820.0143705642968,3821.8058757096173,4132.467623612469,4089.440614203543,3796.679115417415,3830.40842864398,3864.4911411346375,1381.8673531997204,1376.6390606961086,1256.1200339825045,1273.3381235214322,1273.9352919032058,1377.4892078708228,1363.146871401181,1265.5597051391383,1276.8028095479933,1288.1637137115458,"Trond-Arne Bredesen,Hallstein Bøgseth,Torbjørn Løkken","600,639,609",25.435546429386264,32.61875427789185,20.041067761806982,16.666666666666668,30,5
Estonia,1987,7,3,1987-02-19,Oberstdorf,Germany,World Championship,1,Team,5,0,M,1381.6179896867557,1380.7603714310717,1256.1200339825045,1273.3381235214322,1273.9352919032058,1381.1023067538563,1362.1870952938934,1265.5597051391383,1276.8028095479933,1288.1637137115458,1381.6179896867557,1380.7603714310717,1256.1200339825045,1273.3381235214322,1273.9352919032058,1381.1023067538563,1362.1870952938934,1265.5597051391383,1276.8028095479933,1288.1637137115458,Allar Levandi,547,21.144421629021217,21.144421629021217,21.144421629021217,13.0,13,13
Russia,1987,7,3,1987-02-19,Oberstdorf,Germany,World Championship,2,Team,5,0,M,2553.3584321781263,2545.910933000425,2512.240067965009,2546.6762470428644,2547.8705838064116,2545.587738947042,2595.0090234634695,2531.1194102782765,2553.6056190959866,2576.3274274230916,1276.6792160890632,1272.9554665002124,1256.1200339825045,1273.3381235214322,1273.9352919032058,1272.793869473521,1297.5045117317347,1265.5597051391383,1276.8028095479933,1288.1637137115458,"Sergej Tschervjakow,Andrej Dundukov","656,579",24.187542778918548,28.10403832991102,20.27104722792608,8.0,12,4
Austria,1987,7,4,1987-02-19,Oberstdorf,Germany,World Championship,3,Team,5,0,M,3923.18162833286,3925.276534564041,3768.3601019475136,3820.0143705642968,3821.8058757096173,3926.173105178377,3957.9089526071957,3796.679115417415,3830.40842864398,3864.4911411346375,1307.7272094442867,1308.425511521347,1256.1200339825045,1273.3381235214322,1273.9352919032058,1308.7243683927925,1319.3029842023986,1265.5597051391383,1276.8028095479933,1288.1637137115458,"Werner Schwarz,Günther Csar,Klaus Sulzenbacher","660,551,580",22.023271731690624,23.071868583162217,20.9555099247091,9.0,19,4
Switzerland,1987,7,5,1987-02-19,Oberstdorf,Germany,World Championship,3,Team,5,0,M,4031.6706415931726,4048.5922122168745,3768.3601019475136,3820.0143705642968,3821.8058757096173,4049.693478825021,3989.6103713547645,3796.679115417415,3830.40842864398,3864.4911411346375,1343.890213864391,1349.530737405625,1256.1200339825045,1273.3381235214322,1273.9352919032058,1349.897826275007,1329.8701237849216,1265.5597051391383,1276.8028095479933,1288.1637137115458,"Hippolyt Kempf,Freddy Glanzmann,Andreas Schaad","548,630,549",22.210358202144647,23.59753593429158,21.193702943189596,12.0,15,10
Germany,1987,7,6,1987-02-19,Oberstdorf,Germany,World Championship,3,Team,5,0,M,3846.484307392509,3796.443387548638,3768.3601019475136,3820.0143705642968,3821.8058757096173,3870.162022122618,3841.2937520346422,3796.679115417415,3830.40842864398,3864.4911411346375,1282.161435797503,1265.4811291828794,1256.1200339825045,1273.3381235214322,1273.9352919032058,1290.054007374206,1280.4312506782142,1265.5597051391383,1276.8028095479933,1288.1637137115458,"Thomas Abratis,Marko Frank,Uwe Prenzel","532,642,610",19.541866301619894,20.681724845995895,18.151950718685832,1.3333333333333333,2,1
Germany,1988,5,1,1988-02-23,Calgary,Canada,Olympic Winter Games,3,Team,5,0,M,4377.6588245024295,4336.174287337134,3768.3601019475136,3820.0143705642968,3821.8058757096173,4344.091748574419,4362.623043272193,3796.679115417415,3830.40842864398,3864.4911411346375,1459.2196081674765,1445.391429112378,1256.1200339825045,1273.3381235214322,1273.9352919032058,1448.0305828581397,1454.207681090731,1265.5597051391383,1276.8028095479933,1288.1637137115458,"Thomas Müller,Hubert Schwarz,Hans-Peter Pohl","584,624,570",25.82614647501711,27.444216290212182,23.06365503080082,26.0,32,15
Switzerland,1988,5,2,1988-02-23,Calgary,Canada,Olympic Winter Games,3,Team,5,0,M,4131.876328154386,4104.047846117784,3768.3601019475136,3820.0143705642968,3821.8058757096173,4097.626684506776,4031.3641288537674,3796.679115417415,3830.40842864398,3864.4911411346375,1377.2921093847954,1368.015948705928,1256.1200339825045,1273.3381235214322,1273.9352919032058,1365.8755615022585,1343.7880429512559,1265.5597051391383,1276.8028095479933,1288.1637137115458,"Andreas Schaad,Hippolyt Kempf,Freddy Glanzmann","549,548,630",23.220625142596393,24.607802874743324,22.203969883641342,18.333333333333332,21,17
Austria,1988,5,3,1988-02-23,Calgary,Canada,Olympic Winter Games,3,Team,5,0,M,4058.370393651563,4032.174334493269,3768.3601019475136,3820.0143705642968,3821.8058757096173,4031.6664379525855,4011.7717487663353,3796.679115417415,3830.40842864398,3864.4911411346375,1352.7901312171878,1344.0581114977563,1256.1200339825045,1273.3381235214322,1273.9352919032058,1343.8888126508618,1337.2572495887784,1265.5597051391383,1276.8028095479933,1288.1637137115458,"Klaus Sulzenbacher,Günther Csar,Hansjörg Aschenwald","580,551,571",22.558065252110424,23.052703627652292,21.965776865160848,13.0,27,4
Norway,1988,5,4,1988-02-23,Calgary,Canada,Olympic Winter Games,3,Team,5,0,M,4306.518837439382,4298.7460545188405,3768.3601019475136,3820.0143705642968,3821.8058757096173,4304.4835747789275,4268.492966019779,3796.679115417415,3830.40842864398,3864.4911411346375,1435.5062791464607,1432.91535150628,1256.1200339825045,1273.3381235214322,1273.9352919032058,1434.8278582596424,1422.8309886732595,1265.5597051391383,1276.8028095479933,1288.1637137115458,"Trond-Arne Bredesen,Torbjørn Løkken,Hallstein Bøgseth","600,609,639",26.44581336983801,33.6290212183436,21.05133470225873,24.333333333333332,38,12
Germany,1988,5,5,1988-02-23,Calgary,Canada,Olympic Winter Games,3,Team,5,0,M,3891.503446932859,3890.823486752651,3768.3601019475136,3820.0143705642968,3821.8058757096173,3879.92119278048,3901.0807030567166,3796.679115417415,3830.40842864398,3864.4911411346375,1297.1678156442863,1296.9411622508837,1256.1200339825045,1273.3381235214322,1273.9352919032058,1293.30706426016,1300.3602343522389,1265.5597051391383,1276.8028095479933,1288.1637137115458,"Marko Frank,Uwe Prenzel,Thomas Prenzel","642,610,641",20.133242071640428,21.691991786447637,19.16221765913758,4.333333333333333,5,4
Czechia,1988,5,6,1988-02-23,Calgary,Canada,Olympic Winter Games,3,Team,5,0,M,3945.0653784857554,3915.027511897102,3768.3601019475136,3820.0143705642968,3821.8058757096173,3948.214138217066,3897.198784145987,3796.679115417415,3830.40842864398,3864.4911411346375,1315.0217928285851,1305.0091706323674,1256.1200339825045,1273.3381235214322,1273.9352919032058,1316.0713794056887,1299.0662613819957,1265.5597051391383,1276.8028095479933,1288.1637137115458,"Ján Klimko,Ladislav Patráš,Miroslav Kopal","649,648,537",24.42254163814739,27.567419575633128,20.59958932238193,6.333333333333333,10,1
Finland,1988,5,7,1988-02-23,Calgary,Canada,Olympic Winter Games,3,Team,5,0,M,3964.4459663364205,3976.6858457446756,3768.3601019475136,3820.0143705642968,3821.8058757096173,3980.4980317562818,3990.2186420525595,3796.679115417415,3830.40842864398,3864.4911411346375,1321.481988778807,1325.5619485815585,1256.1200339825045,1273.3381235214322,1273.9352919032058,1326.8326772520938,1330.0728806841864,1265.5597051391383,1276.8028095479933,1288.1637137115458,"Jouko Parviainen,Jukka Ylipulli,Pasi Saapunki","651,602,586",25.005703855806527,29.973990417522245,19.99726214921287,8.333333333333334,12,2
France,1988,5,8,1988-02-23,Calgary,Canada,Olympic Winter Games,3,Team,5,0,M,3788.082052248178,3769.258882085285,3768.3601019475136,3820.0143705642968,3821.8058757096173,3806.642840441212,3797.3767221502703,3796.679115417415,3830.40842864398,3864.4911411346375,1262.6940174160593,1256.4196273617617,1256.1200339825045,1273.3381235214322,1273.9352919032058,1268.8809468137372,1265.7922407167569,1265.5597051391383,1276.8028095479933,1288.1637137115458,"Jean-Pierre Bohard,Fabrice Guy,Xavier Girard","633,323,581",18.741501254848277,19.148528405201915,18.023271731690624,3.3333333333333335,5,1
Japan,1988,5,9,1988-02-23,Calgary,Canada,Olympic Winter Games,3,Team,5,0,M,3821.4990362052695,3852.592957713077,3768.3601019475136,3820.0143705642968,3821.8058757096173,3853.5912473427898,3844.2270090742086,3796.679115417415,3830.40842864398,3864.4911411346375,1273.8330120684232,1284.1976525710256,1256.1200339825045,1273.3381235214322,1273.9352919032058,1284.5304157809298,1281.4090030247362,1265.5597051391383,1276.8028095479933,1288.1637137115458,"Kazuoki Kodama,Masashi Abe,Hideki Miyazaki","601,539,626",23.54734200319416,25.401779603011637,22.529774127310063,4.333333333333333,6,2
USA,1988,5,10,1988-02-23,Calgary,Canada,Olympic Winter Games,3,Team,5,0,M,3713.690787263893,3751.5874238913475,3768.3601019475136,3820.0143705642968,3821.8058757096173,3751.9751548695963,3725.396969283938,3796.679115417415,3830.40842864398,3864.4911411346375,1237.8969290879643,1250.5291412971158,1256.1200339825045,1273.3381235214322,1273.9352919032058,1250.658384956532,1241.7989897613127,1265.5597051391383,1276.8028095479933,1288.1637137115458,"Hans Johnstone,Todd Wilson,Joe Holland","1567,595,583",24.24823180469998,26.7378507871321,22.806297056810404,2.3333333333333335,3,2
Norway,1989,7,1,1989-02-26,Lahti,Finland,World Championship,3,Team,5,0,M,4405.730640691924,4351.55589612967,3768.3601019475136,3820.0143705642968,3821.8058757096173,4369.995736108031,4177.955861184261,3796.679115417415,3830.40842864398,3864.4911411346375,1468.5768802306413,1450.5186320432233,1256.1200339825045,1273.3381235214322,1273.9352919032058,1456.665245369344,1392.6519537280872,1265.5597051391383,1276.8028095479933,1288.1637137115458,"Bård Jørgen Elden,Trond Einar Elden,Trond-Arne Bredesen","527,313,600",20.59046315309149,22.06160164271047,19.014373716632445,12.333333333333334,20,7
Switzerland,1989,7,2,1989-02-26,Lahti,Finland,World Championship,3,Team,5,0,M,4148.464407546984,4099.056169223198,3768.3601019475136,3820.0143705642968,3821.8058757096173,4111.088732088107,4110.097317834261,3796.679115417415,3830.40842864398,3864.4911411346375,1382.821469182328,1366.3520564077326,1256.1200339825045,1273.3381235214322,1273.9352919032058,1370.3629106960354,1370.032439278087,1265.5597051391383,1276.8028095479933,1288.1637137115458,"Hippolyt Kempf,Freddy Glanzmann,Andreas Schaad","548,630,549",24.230892083048143,25.61806981519507,23.214236824093085,24.666666666666668,26,24
Germany,1989,7,3,1989-02-26,Lahti,Finland,World Championship,3,Team,5,0,M,3997.125886061168,3968.024461022146,3768.3601019475136,3820.0143705642968,3821.8058757096173,3964.3936760612833,3896.270045910336,3796.679115417415,3830.40842864398,3864.4911411346375,1332.3752953537225,1322.6748203407153,1256.1200339825045,1273.3381235214322,1273.9352919032058,1321.4645586870945,1298.7566819701121,1265.5597051391383,1276.8028095479933,1288.1637137115458,"Bernd Blechschmidt,Ralph Leonhardt,Thomas Abratis","623,612,532",23.11567419575633,26.16290212183436,21.371663244353183,3.3333333333333335,4,2
Russia,1989,7,4,1989-02-26,Lahti,Finland,World Championship,2,Team,5,0,M,2895.600999095969,2890.818818601612,2512.240067965009,2546.6762470428644,2547.8705838064116,2893.3475707936655,2779.051631871058,2531.1194102782765,2553.6056190959866,2576.3274274230916,1447.8004995479846,1445.409409300806,1256.1200339825045,1273.3381235214322,1273.9352919032058,1446.6737853968327,1389.525815935529,1265.5597051391383,1276.8028095479933,1288.1637137115458,"Andrej Dundukov,Sergej Savialov","579,611",23.14715947980835,24.00273785078713,22.29158110882957,10.5,14,7
Estonia,1989,7,4,1989-02-26,Lahti,Finland,World Championship,1,Team,5,0,M,1460.1464044317108,1458.6799549542354,1256.1200339825045,1273.3381235214322,1273.9352919032058,1459.7532673650032,1418.7853528671974,1265.5597051391383,1276.8028095479933,1288.1637137115458,1460.1464044317108,1458.6799549542354,1256.1200339825045,1273.3381235214322,1273.9352919032058,1459.7532673650032,1418.7853528671974,1265.5597051391383,1276.8028095479933,1288.1637137115458,Allar Levandi,547,23.16495550992471,23.16495550992471,23.16495550992471,20.0,20,20
Austria,1989,7,5,1989-02-26,Lahti,Finland,World Championship,3,Team,5,0,M,4231.296713914759,4227.102625022739,3768.3601019475136,3820.0143705642968,3821.8058757096173,4233.986716192465,4173.424889358579,3796.679115417415,3830.40842864398,3864.4911411346375,1410.4322379715861,1409.034208340913,1256.1200339825045,1273.3381235214322,1273.9352919032058,1411.3289053974884,1391.141629786193,1265.5597051391383,1276.8028095479933,1288.1637137115458,"Klaus Ofner,Günther Csar,Klaus Sulzenbacher","533,551,580",22.579968058407484,24.06297056810404,20.700889801505816,18.666666666666668,38,6
Czechia,1989,7,6,1989-02-26,Lahti,Finland,World Championship,3,Team,5,0,M,4011.8293412749827,4016.3528514134864,3768.3601019475136,3820.0143705642968,3821.8058757096173,4015.345563803279,3936.227938439989,3796.679115417415,3830.40842864398,3864.4911411346375,1337.2764470916609,1338.7842838044955,1256.1200339825045,1273.3381235214322,1273.9352919032058,1338.4485212677598,1312.0759794799962,1265.5597051391383,1276.8028095479933,1288.1637137115458,"Frantisek Repka,Miroslav Kopal,Jaroslav Kerda","622,537,627",23.78097193702943,26.11088295687885,22.099931553730322,9.0,14,3
Germany,1989,7,7,1989-02-26,Lahti,Finland,World Championship,3,Team,5,0,M,3996.835442307759,4001.0173642045575,3768.3601019475136,3820.0143705642968,3821.8058757096173,4011.3899409024334,4019.8258413897483,3796.679115417415,3830.40842864398,3864.4911411346375,1332.278480769253,1333.6724547348524,1256.1200339825045,1273.3381235214322,1273.9352919032058,1337.1299803008112,1339.9419471299161,1265.5597051391383,1276.8028095479933,1288.1637137115458,"Thomas Dufter,Thomas Müller,Hubert Schwarz","546,584,624",26.207620351357516,28.45448323066393,22.187542778918548,26.0,38,3
