"Date","City","Country","Nation","RaceType","Season","Race","Event","Elevation","Place","Points","Avg_Elo","Avg_Individual_Elo","Avg_Sprint_Elo","Avg_MassStart_Elo","Avg_IndividualCompact_Elo","Avg_Pelo","Avg_Individual_Pelo","Avg_Sprint_Pelo","Avg_MassStart_Pelo","Avg_IndividualCompact_Pelo","MassStart","Sex"
2012-02-04,"Val Di Fiemme","Italy","USA","Team Sprint",2012,16,"World Cup",1082,6,55,1415.22129996565,1407.53751121887,1347.60076861555,1355.12460516766,NA,1413.8226801712,1407.49309336735,1366.49030840593,1340.30364556525,NA,0,"M"
2012-12-02,"Kuusamo","Finland","Austria","Team Sprint",2013,4,"World Cup",388,1,100,1494.31050557234,1484.25590510713,1408.30661798356,1366.39375998181,NA,1488.64371179276,1474.9724966846,1427.41955056889,1355.75542032795,NA,0,"M"
2012-12-02,"Kuusamo","Finland","Czechia","Team Sprint",2013,4,"World Cup",388,14,34,1313.08557700246,1318.2723406833,1267.38365484226,1299.87178918147,NA,1317.5636304829,1320.45538985753,1266.47411781642,1285.75707564972,NA,0,"M"
2012-12-02,"Kuusamo","Finland","Estonia","Team Sprint",2013,4,"World Cup",388,16,30,1221.67673662384,1224.07103187468,NA,1263.88780078567,NA,1223.15526097407,1235.62767286773,NA,1300,NA,0,"M"
2012-12-02,"Kuusamo","Finland","Finland","Team Sprint",2013,4,"World Cup",388,12,38,1280.95012289743,1278.75744716816,1314.17173503691,1371.78082307823,NA,1281.11157598832,1286.31808536808,1318.55015785447,1338.12256504135,NA,0,"M"
2012-12-02,"Kuusamo","Finland","France","Team Sprint",2013,4,"World Cup",388,3,80,1547.97851652402,1544.58871259569,1319.82018633672,1342.94788195616,NA,1547.64543990698,1534.83828309071,1323.3178662785,1326.3452058109,NA,0,"M"
2012-12-02,"Kuusamo","Finland","Germany","Team Sprint",2013,4,"World Cup",388,7,52,1583.13903387843,1578.87219959527,1403.2935102858,1402.45968602921,NA,1584.37036663533,1577.3772267459,1421.52177680682,1376.89992089792,NA,0,"M"
2012-12-02,"Kuusamo","Finland","Italy","Team Sprint",2013,4,"World Cup",388,17,28,1310.14019529833,1313.99855882045,1229.13303142642,1269.02825561429,NA,1315.6081730005,1322.91751387288,1216.62709579578,1282.14808585076,NA,0,"M"
2012-12-02,"Kuusamo","Finland","Japan","Team Sprint",2013,4,"World Cup",388,5,60,1423.56173000614,1420.12455747491,1263.99996412734,1289.62465725047,NA,1422.20132618266,1421.63950143228,1263.56205402041,1297.074171538,NA,0,"M"
2012-12-02,"Kuusamo","Finland","Norway","Team Sprint",2013,4,"World Cup",388,2,90,1564.42488991761,1557.02882594481,1328.74957803171,1346.52555115624,NA,1563.45266368331,1557.44250390749,1333.82303297849,1329.82273130053,NA,0,"M"
2012-12-02,"Kuusamo","Finland","Russia","Team Sprint",2013,4,"World Cup",388,20,22,1153.70893995431,1161.33321765477,NA,1233.14031663253,NA,1158.23984882151,1163.0976700825,NA,1256.17644322887,NA,0,"M"
2012-12-02,"Kuusamo","Finland","Slovenia","Team Sprint",2013,4,"World Cup",388,4,70,1314.84769919287,1310.98772978744,1250.7180598441,1254.97259072277,NA,1304.94366901966,1298.97978862899,1242.02124687542,1264.40338205935,NA,0,"M"
2012-12-02,"Kuusamo","Finland","USA","Team Sprint",2013,4,"World Cup",388,9,46,1390.11553905965,1379.46084179877,1273.25201941154,1298.17644322887,NA,1387.99750286342,1375.61325186687,1300,1300,NA,0,"M"
2013-01-13,"Chaux-Neuve","France","Austria","Team Sprint",2013,10,"World Cup",1098,6,55,1487.35861789061,1482.04814622922,1423.09795196,1397.6659096344,NA,1487.19904068045,1475.09272817636,1444.82111995295,1380.10234453893,NA,0,"M"
